census division,housing types,air conditioning type,vintage,value
56,28,64,2009,1.0
56,29,64,2009,1.0
56,30,64,2009,1.0
57,28,64,2009,1.0
57,29,64,2009,1.0
57,30,64,2009,1.0
58,28,64,2009,1.0
58,29,64,2009,1.0
58,30,64,2009,1.0
59,28,64,2009,1.0
59,29,64,2009,1.0
59,30,64,2009,1.0
60,28,64,2009,1.0
60,29,64,2009,1.0
60,30,64,2009,1.0
61,28,64,2009,1.0
61,29,64,2009,1.0
61,30,64,2009,1.0
62,28,64,2009,1.0
62,29,64,2009,1.0
62,30,64,2009,1.0
63,28,64,2009,1.0
63,29,64,2009,1.0
63,30,64,2009,1.0
64,28,64,2009,1.0
64,29,64,2009,1.0
64,30,64,2009,1.0
