census region,housing types,air conditioning type,vintage,value
66,28,64,2000,1.0
66,28,64,2001,1.0
66,28,64,2002,1.0
66,28,64,2003,1.0
66,28,64,2004,1.0
66,28,64,2005,1.0
66,28,64,2006,1.0
66,28,64,2007,1.0
66,28,64,2008,1.0
66,28,64,2009,1.0
66,28,64,2010,1.0
66,28,64,2011,1.0
66,28,64,2012,1.0
66,28,64,2013,1.0
66,28,64,2014,1.0
66,28,64,2015,1.0
66,28,64,2016,1.0
66,29,64,2000,1.0
66,29,64,2001,1.0
66,29,64,2002,1.0
66,29,64,2003,1.0
66,29,64,2004,1.0
66,29,64,2005,1.0
66,29,64,2006,1.0
66,29,64,2007,1.0
66,29,64,2008,1.0
66,29,64,2009,1.0
66,29,64,2010,1.0
66,29,64,2011,1.0
66,29,64,2012,1.0
66,29,64,2013,1.0
66,29,64,2014,1.0
66,29,64,2015,1.0
66,29,64,2016,1.0
66,30,64,2000,1.0
66,30,64,2001,1.0
66,30,64,2002,1.0
66,30,64,2003,1.0
66,30,64,2004,1.0
66,30,64,2005,1.0
66,30,64,2006,1.0
66,30,64,2007,1.0
66,30,64,2008,1.0
66,30,64,2009,1.0
66,30,64,2010,1.0
66,30,64,2011,1.0
66,30,64,2012,1.0
66,30,64,2013,1.0
66,30,64,2014,1.0
66,30,64,2015,1.0
66,30,64,2016,1.0
67,28,64,2000,1.0
67,28,64,2001,1.0
67,28,64,2002,1.0
67,28,64,2003,1.0
67,28,64,2004,1.0
67,28,64,2005,1.0
67,28,64,2006,1.0
67,28,64,2007,1.0
67,28,64,2008,1.0
67,28,64,2009,1.0
67,28,64,2010,1.0
67,28,64,2011,1.0
67,28,64,2012,1.0
67,28,64,2013,1.0
67,28,64,2014,1.0
67,28,64,2015,1.0
67,28,64,2016,1.0
67,29,64,2000,1.0
67,29,64,2001,1.0
67,29,64,2002,1.0
67,29,64,2003,1.0
67,29,64,2004,1.0
67,29,64,2005,1.0
67,29,64,2006,1.0
67,29,64,2007,1.0
67,29,64,2008,1.0
67,29,64,2009,1.0
67,29,64,2010,1.0
67,29,64,2011,1.0
67,29,64,2012,1.0
67,29,64,2013,1.0
67,29,64,2014,1.0
67,29,64,2015,1.0
67,29,64,2016,1.0
67,30,64,2000,1.0
67,30,64,2001,1.0
67,30,64,2002,1.0
67,30,64,2003,1.0
67,30,64,2004,1.0
67,30,64,2005,1.0
67,30,64,2006,1.0
67,30,64,2007,1.0
67,30,64,2008,1.0
67,30,64,2009,1.0
67,30,64,2010,1.0
67,30,64,2011,1.0
67,30,64,2012,1.0
67,30,64,2013,1.0
67,30,64,2014,1.0
67,30,64,2015,1.0
67,30,64,2016,1.0
68,28,64,2000,1.0
68,28,64,2001,1.0
68,28,64,2002,1.0
68,28,64,2003,1.0
68,28,64,2004,1.0
68,28,64,2005,1.0
68,28,64,2006,1.0
68,28,64,2007,1.0
68,28,64,2008,1.0
68,28,64,2009,1.0
68,28,64,2010,1.0
68,28,64,2011,1.0
68,28,64,2012,1.0
68,28,64,2013,1.0
68,28,64,2014,1.0
68,28,64,2015,1.0
68,28,64,2016,1.0
68,29,64,2000,1.0
68,29,64,2001,1.0
68,29,64,2002,1.0
68,29,64,2003,1.0
68,29,64,2004,1.0
68,29,64,2005,1.0
68,29,64,2006,1.0
68,29,64,2007,1.0
68,29,64,2008,1.0
68,29,64,2009,1.0
68,29,64,2010,1.0
68,29,64,2011,1.0
68,29,64,2012,1.0
68,29,64,2013,1.0
68,29,64,2014,1.0
68,29,64,2015,1.0
68,29,64,2016,1.0
68,30,64,2000,1.0
68,30,64,2001,1.0
68,30,64,2002,1.0
68,30,64,2003,1.0
68,30,64,2004,1.0
68,30,64,2005,1.0
68,30,64,2006,1.0
68,30,64,2007,1.0
68,30,64,2008,1.0
68,30,64,2009,1.0
68,30,64,2010,1.0
68,30,64,2011,1.0
68,30,64,2012,1.0
68,30,64,2013,1.0
68,30,64,2014,1.0
68,30,64,2015,1.0
68,30,64,2016,1.0
69,28,64,2000,1.0
69,28,64,2001,1.0
69,28,64,2002,1.0
69,28,64,2003,1.0
69,28,64,2004,1.0
69,28,64,2005,1.0
69,28,64,2006,1.0
69,28,64,2007,1.0
69,28,64,2008,1.0
69,28,64,2009,1.0
69,28,64,2010,1.0
69,28,64,2011,1.0
69,28,64,2012,1.0
69,28,64,2013,1.0
69,28,64,2014,1.0
69,28,64,2015,1.0
69,28,64,2016,1.0
69,29,64,2000,1.0
69,29,64,2001,1.0
69,29,64,2002,1.0
69,29,64,2003,1.0
69,29,64,2004,1.0
69,29,64,2005,1.0
69,29,64,2006,1.0
69,29,64,2007,1.0
69,29,64,2008,1.0
69,29,64,2009,1.0
69,29,64,2010,1.0
69,29,64,2011,1.0
69,29,64,2012,1.0
69,29,64,2013,1.0
69,29,64,2014,1.0
69,29,64,2015,1.0
69,29,64,2016,1.0
69,30,64,2000,1.0
69,30,64,2001,1.0
69,30,64,2002,1.0
69,30,64,2003,1.0
69,30,64,2004,1.0
69,30,64,2005,1.0
69,30,64,2006,1.0
69,30,64,2007,1.0
69,30,64,2008,1.0
69,30,64,2009,1.0
69,30,64,2010,1.0
69,30,64,2011,1.0
69,30,64,2012,1.0
69,30,64,2013,1.0
69,30,64,2014,1.0
69,30,64,2015,1.0
69,30,64,2016,1.0
