census division,housing types,year,value
56,30,2023,230165944.2
56,30,2024,231959468.4
56,30,2025,234007200.8
56,30,2026,236145273.0
56,30,2027,237987251.0
56,30,2028,239911376.8
56,30,2029,241957676.9
56,30,2030,244077005.2
56,30,2031,246435387.4
56,30,2032,248619582.5
56,30,2033,250946959.7
56,30,2034,253331228.1
56,30,2035,255927594.6
56,30,2036,258622852.8
56,30,2037,261105315.6
56,30,2038,264138639.0
56,30,2039,266832967.4
56,30,2040,269735147.1
56,30,2041,272653812.5
56,30,2042,275657028.5
56,30,2043,278741835.9
56,30,2044,281916353.1
56,30,2045,285687054.8
56,30,2046,289048812.2
56,30,2047,292503341.5
56,30,2048,296055394.9
56,30,2049,299714059.3
56,30,2050,303992857.9
57,28,2010,22103397287.0
57,28,2011,22221001583.0
57,28,2012,22321249369.0
57,28,2013,22414635560.0
57,28,2014,22512406041.0
57,28,2015,22590539508.0
57,28,2016,22668269666.0
57,28,2017,22739911808.0
57,28,2018,22812212894.0
57,28,2019,22895674086.0
57,28,2020,22976161353.0
57,28,2021,23067928795.0
57,28,2022,23160892596.0
57,28,2023,23256126163.0
57,28,2024,23350462975.0
57,28,2025,23446180647.0
57,28,2026,23541096761.0
57,28,2027,23632016386.0
57,28,2028,23723001872.0
57,28,2029,23815373905.0
57,28,2030,23907405278.0
57,28,2031,24004651660.0
57,28,2032,24103423443.0
57,28,2033,24204855792.0
57,28,2034,24307037196.0
57,28,2035,24415292127.0
57,28,2036,24530036615.0
57,28,2037,24644877203.0
57,28,2038,24755928026.0
57,28,2039,24870704786.0
57,28,2040,24991571850.0
57,28,2041,25121271498.0
57,28,2042,25251122759.0
57,28,2043,25386872820.0
57,28,2044,25528642459.0
57,28,2045,25682334024.0
57,28,2046,25837144581.0
57,28,2047,25998850680.0
57,28,2048,26167020632.0
57,28,2049,26342249165.0
57,28,2050,26529371162.0
57,29,2010,4392237827.0
57,29,2011,4421005335.0
57,29,2012,4457156560.0
57,29,2013,4489443010.0
57,29,2014,4513734631.0
57,29,2015,4531114696.0
57,29,2016,4549776885.0
57,29,2017,4568602558.0
57,29,2018,4588018729.0
57,29,2019,4610551330.0
57,29,2020,4632043007.0
57,29,2021,4656319277.0
57,29,2022,4681573645.0
57,29,2023,4706267611.0
57,29,2024,4729702079.0
57,29,2025,4753775095.0
57,29,2026,4778346535.0
57,29,2027,4803089593.0
57,29,2028,4828998868.0
57,29,2029,4855573750.0
57,29,2030,4881415599.0
57,29,2031,4908582571.0
57,29,2032,4936574554.0
57,29,2033,4965022555.0
57,29,2034,4993104839.0
57,29,2035,5022283849.0
57,29,2036,5052840303.0
57,29,2037,5083506904.0
57,29,2038,5113168953.0
57,29,2039,5143887751.0
57,29,2040,5176144559.0
57,29,2041,5210506571.0
57,29,2042,5244520393.0
57,29,2043,5279741759.0
57,29,2044,5316221285.0
57,29,2045,5355514149.0
57,29,2046,5394643568.0
57,29,2047,5434998161.0
57,29,2048,5476671204.0
57,29,2049,5519713208.0
57,29,2050,5565589019.0
57,30,2010,219682369.3
57,30,2011,224672568.5
57,30,2012,228943021.7
57,30,2013,233006373.4
57,30,2014,236307696.4
57,30,2015,238311325.4
57,30,2016,240116410.6
57,30,2017,241674396.9
57,30,2018,243208495.3
57,30,2019,244960333.7
57,30,2020,246679832.4
57,30,2021,248687877.4
57,30,2022,250737776.1
57,30,2023,252786684.5
57,30,2024,254672541.4
57,30,2025,256527307.5
57,30,2026,258360709.5
57,30,2027,260164256.4
57,30,2028,262031578.9
57,30,2029,263987807.8
57,30,2030,265982386.6
57,30,2031,268164576.0
57,30,2032,270481065.8
57,30,2033,272903457.6
57,30,2034,275341539.7
57,30,2035,277925554.3
57,30,2036,280693204.2
57,30,2037,283525538.7
57,30,2038,286290463.6
57,30,2039,289166975.4
57,30,2040,292217334.4
57,30,2041,295437198.4
57,30,2042,298579747.1
57,30,2043,301796827.5
57,30,2044,305092385.2
57,30,2045,308633039.1
57,30,2046,312107434.3
57,30,2047,315672626.1
57,30,2048,319333059.1
57,30,2049,323092712.4
57,30,2050,327098363.1
58,28,2010,31587636941.0
58,28,2011,31723244227.0
58,28,2012,31855238937.0
58,28,2013,31988826580.0
58,28,2014,32139088803.0
58,28,2015,32269522259.0
58,28,2016,32400337089.0
58,28,2017,32518245361.0
58,28,2018,32649920896.0
58,28,2019,32783420973.0
58,28,2020,32919056553.0
58,28,2021,33063284858.0
58,28,2022,33202514366.0
58,28,2023,33358022704.0
58,28,2024,33511978769.0
58,28,2025,33668183011.0
58,28,2026,33824539487.0
58,28,2027,33982227436.0
58,28,2028,34133967800.0
58,28,2029,34287505616.0
58,28,2030,34433680006.0
58,28,2031,34586907923.0
58,28,2032,34742072722.0
58,28,2033,34893891771.0
58,28,2034,35039566710.0
58,28,2035,35192854383.0
58,28,2036,35340494198.0
58,28,2037,35488553315.0
58,28,2038,35637958445.0
58,28,2039,35791904044.0
58,28,2040,35947068054.0
58,28,2041,36112400285.0
58,28,2042,36277466878.0
58,28,2043,36455845591.0
58,28,2044,36634742257.0
58,28,2045,36827685431.0
58,28,2046,37021632358.0
58,28,2047,37230049978.0
58,28,2048,37445727841.0
58,28,2049,37662670039.0
58,28,2050,37893920060.0
58,29,2010,3292571989.0
58,29,2011,3314109267.0
58,29,2012,3343795392.0
58,29,2013,3372122268.0
58,29,2014,3394753551.0
58,29,2015,3412221914.0
58,29,2016,3431103322.0
58,29,2017,3449694408.0
58,29,2018,3470896832.0
58,29,2019,3492471566.0
58,29,2020,3514140509.0
58,29,2021,3536996706.0
58,29,2022,3559660481.0
58,29,2023,3583849742.0
58,29,2024,3606788859.0
58,29,2025,3630373145.0
58,29,2026,3654717394.0
58,29,2027,3680545369.0
58,29,2028,3706618522.0
58,29,2029,3733396610.0
58,29,2030,3758357598.0
58,29,2031,3784504134.0
58,29,2032,3811518963.0
58,29,2033,3837852145.0
58,29,2034,3862708248.0
58,29,2035,3888526336.0
58,29,2036,3913150778.0
58,29,2037,3938027921.0
58,29,2038,3963228305.0
58,29,2039,3989407244.0
58,29,2040,4015716309.0
58,29,2041,4043621660.0
58,29,2042,4071203040.0
58,29,2043,4100832880.0
58,29,2044,4130289137.0
58,29,2045,4161874751.0
58,29,2046,4193257021.0
58,29,2047,4226809041.0
58,29,2048,4261436434.0
58,29,2049,4295881455.0
58,29,2050,4332484811.0
58,30,2010,381713064.5
58,30,2011,388003341.9
58,30,2012,394271999.0
58,30,2013,400689891.9
58,30,2014,406174580.8
58,30,2015,409690588.9
58,30,2016,412881616.0
58,30,2017,415559058.1
58,30,2018,418472566.9
58,30,2019,421376727.4
58,30,2020,424359957.1
58,30,2021,427615385.8
58,30,2022,430757491.7
58,30,2023,434154853.5
58,30,2024,437255288.8
58,30,2025,440276972.6
58,30,2026,443269503.4
58,30,2027,446338120.8
58,30,2028,449379908.3
58,30,2029,452559394.4
58,30,2030,455650054.8
58,30,2031,459014636.4
58,30,2032,462592048.8
58,30,2033,466168837.3
58,30,2034,469604375.3
58,30,2035,473244217.6
58,30,2036,476790192.6
58,30,2037,480399204.5
58,30,2038,484070503.1
58,30,2039,487849186.3
58,30,2040,491655735.9
58,30,2041,495666998.7
58,30,2042,499607998.3
58,30,2043,503841882.3
58,30,2044,508015730.4
58,30,2045,512501442.2
58,30,2046,516938715.8
58,30,2047,521688882.3
58,30,2048,526584915.0
58,30,2049,531470548.4
58,30,2050,536695271.5
59,28,2010,14046530894.0
59,28,2011,14148283852.0
59,28,2012,14239378543.0
59,28,2013,14325019465.0
59,28,2014,14426123309.0
59,28,2015,14522556933.0
59,28,2016,14612991387.0
59,28,2017,14696815940.0
59,28,2018,14786731415.0
59,28,2019,14877477116.0
59,28,2020,14960925228.0
59,28,2021,15053906478.0
59,28,2022,15144663102.0
59,28,2023,15240615166.0
59,28,2024,15343027825.0
59,28,2025,15440524899.0
59,28,2026,15540703196.0
59,28,2027,15638106331.0
59,28,2028,15735118530.0
59,28,2029,15832857041.0
59,28,2030,15930700142.0
59,28,2031,16031783142.0
59,28,2032,16133552645.0
59,28,2033,16237018446.0
59,28,2034,16347075960.0
59,28,2035,16455169093.0
59,28,2036,16570056134.0
59,28,2037,16682121127.0
59,28,2038,16794867942.0
59,28,2039,16915698470.0
59,28,2040,17033952258.0
59,28,2041,17159979202.0
59,28,2042,17282784015.0
59,28,2043,17408644424.0
59,28,2044,17543863094.0
59,28,2045,17676284594.0
59,28,2046,17818347345.0
59,28,2047,17957744824.0
59,28,2048,18100625055.0
59,28,2049,18253412087.0
59,28,2050,18403447967.0
59,29,2010,1109661450.0
59,29,2011,1126078028.0
59,29,2012,1146905314.0
59,29,2013,1165412596.0
59,29,2014,1180991673.0
59,29,2015,1194209831.0
59,29,2016,1207576087.0
59,29,2017,1221099950.0
59,29,2018,1236000191.0
59,29,2019,1251161970.0
59,29,2020,1264994817.0
59,29,2021,1280257821.0
59,29,2022,1295548388.0
59,29,2023,1310918399.0
59,29,2024,1326594707.0
59,29,2025,1341690145.0
59,29,2026,1357669888.0
59,29,2027,1374016705.0
59,29,2028,1391097501.0
59,29,2029,1408509267.0
59,29,2030,1425508845.0
59,29,2031,1443020011.0
59,29,2032,1460920949.0
59,29,2033,1478950700.0
59,29,2034,1497766418.0
59,29,2035,1515895152.0
59,29,2036,1534922194.0
59,29,2037,1553512249.0
59,29,2038,1572243483.0
59,29,2039,1592457632.0
59,29,2040,1612210979.0
59,29,2041,1633180887.0
59,29,2042,1653468913.0
59,29,2043,1674139076.0
59,29,2044,1696310231.0
59,29,2045,1717833361.0
59,29,2046,1740795106.0
59,29,2047,1763117118.0
59,29,2048,1785863505.0
59,29,2049,1810128197.0
59,29,2050,1833745138.0
59,30,2010,413361337.0
59,30,2011,423780477.8
59,30,2012,433511416.8
59,30,2013,442973966.6
59,30,2014,451676013.0
59,30,2015,457976466.4
59,30,2016,463318666.0
59,30,2017,467934562.7
59,30,2018,472745104.3
59,30,2019,477509015.4
59,30,2020,481933074.1
59,30,2021,486964325.1
59,30,2022,491841603.0
59,30,2023,496792479.0
59,30,2024,501639002.8
59,30,2025,506060067.7
59,30,2026,510535765.6
59,30,2027,514949321.7
59,30,2028,519463901.8
59,30,2029,524124539.2
59,30,2030,528854236.5
59,30,2031,533873458.4
59,30,2032,539118863.9
59,30,2033,544510057.0
59,30,2034,550205449.3
59,30,2035,555766047.6
59,30,2036,561701364.6
59,30,2037,567547487.0
59,30,2038,573453974.6
59,30,2039,579777684.5
59,30,2040,585972739.0
59,30,2041,592564720.9
59,30,2042,598969148.7
59,30,2043,605511508.0
59,30,2044,612527353.8
59,30,2045,619376269.0
59,30,2046,626703934.9
59,30,2047,633875041.1
59,30,2048,641229288.1
59,30,2049,649103586.7
59,30,2050,656841862.7
60,28,2010,31412021135.0
60,28,2011,31816457568.0
60,28,2012,32205066733.0
60,28,2013,32616985086.0
60,28,2014,33113792901.0
60,28,2015,33640475624.0
60,28,2016,34187687342.0
60,28,2017,34735137783.0
60,28,2018,35290503680.0
60,28,2019,35845227139.0
60,28,2020,36392940230.0
60,28,2021,36947950008.0
60,28,2022,37496227971.0
60,28,2023,38070699568.0
60,28,2024,38648025276.0
60,28,2025,39236097339.0
60,28,2026,39832328818.0
60,28,2027,40418180873.0
60,28,2028,41005704070.0
60,28,2029,41595833426.0
60,28,2030,42189406348.0
60,28,2031,42794289239.0
60,28,2032,43400514314.0
60,28,2033,44019651767.0
60,28,2034,44638415559.0
60,28,2035,45283758477.0
60,28,2036,45927807370.0
60,28,2037,46587602008.0
60,28,2038,47255491666.0
60,28,2039,47930573915.0
60,28,2040,48623554717.0
60,28,2041,49316825698.0
60,28,2042,50020374061.0
60,28,2043,50734301679.0
60,28,2044,51465161909.0
60,28,2045,52201530266.0
60,28,2046,52949415733.0
60,28,2047,53709612467.0
60,28,2048,54481724977.0
60,28,2049,55266131968.0
60,28,2050,56068653293.0
60,29,2010,4598729803.0
60,29,2011,4669842974.0
60,29,2012,4766603012.0
60,29,2013,4865125177.0
60,29,2014,4950592531.0
60,29,2015,5031602834.0
60,29,2016,5122661182.0
60,29,2017,5222292616.0
60,29,2018,5325724111.0
60,29,2019,5429541883.0
60,29,2020,5531020011.0
60,29,2021,5632882460.0
60,29,2022,5736198729.0
60,29,2023,5839553772.0
60,29,2024,5938915280.0
60,29,2025,6041365835.0
60,29,2026,6148400052.0
60,29,2027,6258925360.0
60,29,2028,6374908855.0
60,29,2029,6492695575.0
60,29,2030,6608231919.0
60,29,2031,6725468263.0
60,29,2032,6844846332.0
60,29,2033,6965668778.0
60,29,2034,7084012064.0
60,29,2035,7205185731.0
60,29,2036,7324782283.0
60,29,2037,7447911283.0
60,29,2038,7573191394.0
60,29,2039,7700642343.0
60,29,2040,7831563208.0
60,29,2041,7962170883.0
60,29,2042,8094452563.0
60,29,2043,8228296520.0
60,29,2044,8365027905.0
60,29,2045,8502331126.0
60,29,2046,8641534829.0
60,29,2047,8782491455.0
60,29,2048,8925224233.0
60,29,2049,9069994393.0
60,29,2050,9217730212.0
60,30,2010,2087426824.0
60,30,2011,2136444755.0
60,30,2012,2187674416.0
60,30,2013,2244907026.0
60,30,2014,2299477442.0
60,30,2015,2344037887.0
60,30,2016,2386159330.0
60,30,2017,2425592159.0
60,30,2018,2464265415.0
60,30,2019,2502049723.0
60,30,2020,2539571141.0
60,30,2021,2578370551.0
60,30,2022,2616572870.0
60,30,2023,2655176397.0
60,30,2024,2690988854.0
60,30,2025,2726050255.0
60,30,2026,2761126650.0
60,30,2027,2796072606.0
60,30,2028,2832051334.0
60,30,2029,2869092016.0
60,30,2030,2906859571.0
60,30,2031,2946302638.0
60,30,2032,2987396947.0
60,30,2033,3029823814.0
60,30,2034,3072035274.0
60,30,2035,3115890884.0
60,30,2036,3159948040.0
60,30,2037,3205755768.0
60,30,2038,3252519775.0
60,30,2039,3299866191.0
60,30,2040,3348649896.0
60,30,2041,3397554447.0
60,30,2042,3447232145.0
60,30,2043,3497710616.0
60,30,2044,3549399300.0
60,30,2045,3601665539.0
60,30,2046,3654825747.0
60,30,2047,3708904737.0
60,30,2048,3763931487.0
60,30,2049,3819923678.0
60,30,2050,3877188759.0
61,28,2010,9717735388.0
61,28,2011,9786443333.0
61,28,2012,9852735143.0
61,28,2013,9918335873.0
61,28,2014,9996533890.0
61,28,2015,10080604515.0
61,28,2016,10162835765.0
61,28,2017,10246360190.0
61,28,2018,10331082658.0
61,28,2019,10421592588.0
61,28,2020,10506312534.0
61,28,2021,10593484268.0
61,28,2022,10679347477.0
61,28,2023,10764437622.0
61,28,2024,10855487348.0
61,28,2025,10943248378.0
61,28,2026,11033542396.0
61,28,2027,11122127076.0
61,28,2028,11210612191.0
61,28,2029,11294749421.0
61,28,2030,11383423571.0
61,28,2031,11469443008.0
61,28,2032,11555779345.0
61,28,2033,11643250441.0
61,28,2034,11731306838.0
61,28,2035,11822366912.0
61,28,2036,11909288825.0
61,28,2037,12003614636.0
61,28,2038,12098904660.0
61,28,2039,12191463298.0
61,28,2040,12291985249.0
61,28,2041,12389526574.0
61,28,2042,12494827168.0
61,28,2043,12598227489.0
61,28,2044,12709691904.0
61,28,2045,12824469848.0
61,28,2046,12937669845.0
61,28,2047,13059307702.0
61,28,2048,13179179625.0
61,28,2049,13307594900.0
61,28,2050,13434344422.0
61,29,2010,622110367.8
61,29,2011,629222017.9
61,29,2012,638787953.1
61,29,2013,647705312.0
61,29,2014,655216626.7
61,29,2015,662366922.8
61,29,2016,669884538.5
61,29,2017,678240907.2
61,29,2018,686917307.2
61,29,2019,696241120.2
61,29,2020,704888647.5
61,29,2021,713731051.9
61,29,2022,722689904.2
61,29,2023,731186294.3
61,29,2024,739896675.4
61,29,2025,748411640.8
61,29,2026,757436434.9
61,29,2027,766761427.8
61,29,2028,776530990.4
61,29,2029,785934758.4
61,29,2030,795612155.7
61,29,2031,804954273.5
61,29,2032,814477262.3
61,29,2033,824046505.8
61,29,2034,833477364.1
61,29,2035,843047109.8
61,29,2036,852028461.9
61,29,2037,861813550.7
61,29,2038,871678372.5
61,29,2039,881265509.2
61,29,2040,891650220.0
61,29,2041,901587115.2
61,29,2042,912255912.1
61,29,2043,922576719.3
61,29,2044,933652393.7
61,29,2045,944932619.9
61,29,2046,955877555.7
61,29,2047,967579112.1
61,29,2048,978971351.5
61,29,2049,991132271.9
61,29,2050,1002957149.0
61,30,2010,860156465.3
61,30,2011,891629415.9
61,30,2012,923345571.9
61,30,2013,954820281.8
61,30,2014,983164624.6
61,30,2015,1005921876.0
61,30,2016,1025828257.0
61,30,2017,1044631381.0
61,30,2018,1063028960.0
61,30,2019,1082209794.0
61,30,2020,1100337743.0
61,30,2021,1119388770.0
61,30,2022,1138100507.0
61,30,2023,1156057372.0
61,30,2024,1173750830.0
61,30,2025,1190167445.0
61,30,2026,1206873882.0
61,30,2027,1223530986.0
61,30,2028,1240646969.0
61,30,2029,1257411916.0
61,30,2030,1275345986.0
61,30,2031,1293274872.0
61,30,2032,1312009600.0
61,30,2033,1331250445.0
61,30,2034,1350546473.0
61,30,2035,1370446882.0
61,30,2036,1389500675.0
61,30,2037,1410397330.0
61,30,2038,1431571693.0
61,30,2039,1452026624.0
61,30,2040,1474234776.0
61,30,2041,1495580403.0
61,30,2042,1518505737.0
61,30,2043,1540788692.0
61,30,2044,1564709213.0
61,30,2045,1589144715.0
61,30,2046,1612985843.0
61,30,2047,1638544892.0
61,30,2048,1663538890.0
61,30,2049,1690257013.0
61,30,2050,1716431826.0
62,28,2010,17520336063.0
62,28,2011,17788290474.0
62,28,2012,18030957198.0
62,28,2013,18267854066.0
62,28,2014,18533676350.0
62,28,2015,18810477822.0
62,28,2016,19085970496.0
62,28,2017,19366440562.0
62,28,2018,19649396494.0
62,28,2019,19930830810.0
62,28,2020,20206304199.0
62,28,2021,20492471343.0
62,28,2022,20771203263.0
62,28,2023,21060483282.0
62,28,2024,21359196393.0
62,28,2025,21656739313.0
62,28,2026,21959623891.0
62,28,2027,22262671566.0
62,28,2028,22564479661.0
62,28,2029,22867251823.0
62,28,2030,23171029957.0
62,28,2031,23485117313.0
62,28,2032,23794837745.0
62,28,2033,24112570203.0
62,28,2034,24432651636.0
62,28,2035,24760410935.0
62,28,2036,25089843251.0
62,28,2037,25429610031.0
62,28,2038,25770462231.0
62,28,2039,26115144894.0
62,28,2040,26466265313.0
62,28,2041,26820333228.0
62,28,2042,27179488573.0
62,28,2043,27548971192.0
62,28,2044,27918999971.0
62,28,2045,28294808296.0
62,28,2046,28676585713.0
62,28,2047,29064235137.0
62,28,2048,29463247954.0
62,28,2049,29863639189.0
62,28,2050,30270580616.0
62,29,2010,1957538064.0
62,29,2011,1994246033.0
62,29,2012,2041312246.0
62,29,2013,2085483288.0
62,29,2014,2121176914.0
62,29,2015,2154451709.0
62,29,2016,2190274103.0
62,29,2017,2230250110.0
62,29,2018,2271503574.0
62,29,2019,2312732845.0
62,29,2020,2352649170.0
62,29,2021,2393742917.0
62,29,2022,2434833594.0
62,29,2023,2475570143.0
62,29,2024,2515830158.0
62,29,2025,2556438006.0
62,29,2026,2598979823.0
62,29,2027,2643724846.0
62,29,2028,2690399940.0
62,29,2029,2737731916.0
62,29,2030,2784039853.0
62,29,2031,2831715342.0
62,29,2032,2879421104.0
62,29,2033,2927965391.0
62,29,2034,2975889837.0
62,29,2035,3024087591.0
62,29,2036,3071964808.0
62,29,2037,3121623889.0
62,29,2038,3171657444.0
62,29,2039,3222670030.0
62,29,2040,3274598878.0
62,29,2041,3326897017.0
62,29,2042,3379803620.0
62,29,2043,3434087406.0
62,29,2044,3488272120.0
62,29,2045,3543206311.0
62,29,2046,3598829536.0
62,29,2047,3655159603.0
62,29,2048,3712973743.0
62,29,2049,3770858531.0
62,29,2050,3829498014.0
62,30,2010,1441828870.0
62,30,2011,1510163101.0
62,30,2012,1576503039.0
62,30,2013,1643743298.0
62,30,2014,1702705520.0
62,30,2015,1749735295.0
62,30,2016,1792138736.0
62,30,2017,1832470975.0
62,30,2018,1871804616.0
62,30,2019,1910003353.0
62,30,2020,1947636769.0
62,30,2021,1987521150.0
62,30,2022,2026184099.0
62,30,2023,2064900083.0
62,30,2024,2101741524.0
62,30,2025,2136966616.0
62,30,2026,2172291432.0
62,30,2027,2207997606.0
62,30,2028,2244445008.0
62,30,2029,2281913422.0
62,30,2030,2319914324.0
62,30,2031,2360151150.0
62,30,2032,2401288645.0
62,30,2033,2443826922.0
62,30,2034,2486395395.0
62,30,2035,2529684132.0
62,30,2036,2573326332.0
62,30,2037,2618762614.0
62,30,2038,2664581521.0
62,30,2039,2710866349.0
62,30,2040,2757957704.0
62,30,2041,2805383395.0
62,30,2042,2853435373.0
62,30,2043,2902736311.0
62,30,2044,2952081195.0
62,30,2045,3002157134.0
62,30,2046,3052996515.0
62,30,2047,3104638009.0
62,30,2048,3157781239.0
62,30,2049,3211056935.0
62,30,2050,3265242534.0
63,28,2010,12506748263.0
63,28,2011,12695711483.0
63,28,2012,12886736942.0
63,28,2013,13089226962.0
63,28,2014,13327908105.0
63,28,2015,13577822140.0
63,28,2016,13842356999.0
63,28,2017,14113919497.0
63,28,2018,14393494180.0
63,28,2019,14675869665.0
63,28,2020,14963089162.0
63,28,2021,15255428604.0
63,28,2022,15546038628.0
63,28,2023,15851056037.0
63,28,2024,16160703743.0
63,28,2025,16479884359.0
63,28,2026,16797709570.0
63,28,2027,17124179005.0
63,28,2028,17444035053.0
63,28,2029,17770824527.0
63,28,2030,18098789128.0
63,28,2031,18437222636.0
63,28,2032,18776040376.0
63,28,2033,19123697793.0
63,28,2034,19473555755.0
63,28,2035,19830080130.0
63,28,2036,20200061988.0
63,28,2037,20568566906.0
63,28,2038,20950169160.0
63,28,2039,21334986349.0
63,28,2040,21725174049.0
63,28,2041,22111677262.0
63,28,2042,22508614633.0
63,28,2043,22909856621.0
63,28,2044,23315538026.0
63,28,2045,23726037013.0
63,28,2046,24141258801.0
63,28,2047,24555103594.0
63,28,2048,24980116642.0
63,28,2049,25410220371.0
63,28,2050,25845505890.0
63,29,2010,834313099.8
63,29,2011,849848542.4
63,29,2012,871938345.1
63,29,2013,894518496.3
63,29,2014,913705089.6
63,29,2015,931698019.4
63,29,2016,952323692.8
63,29,2017,975502523.8
63,29,2018,999921323.2
63,29,2019,1024715798.0
63,29,2020,1049674474.0
63,29,2021,1074835963.0
63,29,2022,1100527082.0
63,29,2023,1126293612.0
63,29,2024,1151326667.0
63,29,2025,1177453760.0
63,29,2026,1204254461.0
63,29,2027,1233157557.0
63,29,2028,1262835341.0
63,29,2029,1293520244.0
63,29,2030,1323514326.0
63,29,2031,1354348684.0
63,29,2032,1385701333.0
63,29,2033,1417625400.0
63,29,2034,1449143753.0
63,29,2035,1480711700.0
63,29,2036,1513138266.0
63,29,2037,1545672796.0
63,29,2038,1579565522.0
63,29,2039,1614059878.0
63,29,2040,1649143035.0
63,29,2041,1683894063.0
63,29,2042,1719560810.0
63,29,2043,1755612125.0
63,29,2044,1792106817.0
63,29,2045,1829012270.0
63,29,2046,1866339529.0
63,29,2047,1903541413.0
63,29,2048,1941740954.0
63,29,2049,1980445263.0
63,29,2050,2019609978.0
63,30,2010,1026902132.0
63,30,2011,1059917748.0
63,30,2012,1094371433.0
63,30,2013,1132462779.0
63,30,2014,1167492945.0
63,30,2015,1195281472.0
63,30,2016,1221765662.0
63,30,2017,1247023854.0
63,30,2018,1272072724.0
63,30,2019,1296713494.0
63,30,2020,1321896830.0
63,30,2021,1348009031.0
63,30,2022,1373776769.0
63,30,2023,1399803096.0
63,30,2024,1424064082.0
63,30,2025,1447996910.0
63,30,2026,1471443341.0
63,30,2027,1495807614.0
63,30,2028,1520261917.0
63,30,2029,1545873066.0
63,30,2030,1571842090.0
63,30,2031,1599344445.0
63,30,2032,1627916244.0
63,30,2033,1657496812.0
63,30,2034,1687079101.0
63,30,2035,1717033340.0
63,30,2036,1748245691.0
63,30,2037,1779757455.0
63,30,2038,1812596609.0
63,30,2039,1845686393.0
63,30,2040,1879255770.0
63,30,2041,1912487948.0
63,30,2042,1946579902.0
63,30,2043,1981079092.0
63,30,2044,2015945734.0
63,30,2045,2051196778.0
63,30,2046,2086845049.0
63,30,2047,2122375274.0
63,30,2048,2158872392.0
63,30,2049,2195823167.0
63,30,2050,2233251325.0
64,28,2010,20110489138.0
64,28,2011,20336612542.0
64,28,2012,20549854419.0
64,28,2013,20761514703.0
64,28,2014,21010357175.0
64,28,2015,21256885611.0
64,28,2016,21500290151.0
64,28,2017,21741784801.0
64,28,2018,21988603913.0
64,28,2019,22237804373.0
64,28,2020,22481508580.0
64,28,2021,22735799089.0
64,28,2022,22986220994.0
64,28,2023,23247634371.0
64,28,2024,23512791827.0
64,28,2025,23780774820.0
64,28,2026,24053320742.0
64,28,2027,24320265595.0
64,28,2028,24581492890.0
64,28,2029,24843911554.0
64,28,2030,25107350694.0
64,28,2031,25376584941.0
64,28,2032,25646412003.0
64,28,2033,25919500242.0
64,28,2034,26190549634.0
64,28,2035,26473211337.0
64,28,2036,26753376596.0
64,28,2037,27042754220.0
64,28,2038,27332878704.0
