vintage,census region,technology,final_energy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
1999,67,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
1999,68,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
1999,69,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2000,66,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2000,67,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2000,68,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2000,69,8,4,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2001,66,8,4,0.0,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2001,67,8,4,0.0,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2001,68,8,4,0.0,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
2001,69,8,4,0.0,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577,1.31881981577
