vintage,census region,technology,final_energy,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2008,67,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2008,68,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2008,69,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2009,66,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2009,67,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2009,68,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2009,69,29,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2010,66,29,4,0.0,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628
2010,67,29,4,0.0,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628
2010,68,29,4,0.0,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628
2010,69,29,4,0.0,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628,1.7442455628
2011,66,29,4,0.0,0.0,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457
2011,67,29,4,0.0,0.0,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457
2011,68,29,4,0.0,0.0,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457
2011,69,29,4,0.0,0.0,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457,1.73006470457
2012,66,29,4,0.0,0.0,0.0,1.71588384633,1.71588384633,1.71588384633,1.71588384633,1.71588384633
2012,67,29,4,0.0,0.0,0.0,1.71588384633,1.71588384633,1.71588384633,1.71588384633,1.71588384633
2012,68,29,4,0.0,0.0,0.0,1.71588384633,1.71588384633,1.71588384633,1.71588384633,1.71588384633
2012,69,29,4,0.0,0.0,0.0,1.71588384633,1.71588384633,1.71588384633,1.71588384633,1.71588384633
2013,66,29,4,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881,1.7017029881
2013,67,29,4,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881,1.7017029881
2013,68,29,4,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881,1.7017029881
2013,69,29,4,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881,1.7017029881
2014,66,29,4,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881
2014,67,29,4,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881
2014,68,29,4,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881
2014,69,29,4,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881,1.7017029881
2015,66,29,4,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881
2015,67,29,4,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881
2015,68,29,4,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881
2015,69,29,4,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881,1.7017029881
2016,66,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881
2016,67,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881
2016,68,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881
2016,69,29,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7017029881
