vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,35,0.923076923077,0.846153846154,0.769230769231,0.692307692308,0.615384615385,0.538461538462,0.461538461538,0.384615384615
2009,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
