,,,,value,value,value,value,value
technology,,,,42,44,45,72,73
census region,air conditioning type,housing types,year,,,,,
67,63,28,2005,,,,,
67,63,28,2006,,,,,
67,63,28,2007,,,,,
67,63,28,2008,,,,,
67,63,28,2009,,,,,
67,63,28,2010,,,,,
67,63,28,2011,,,,,
67,63,28,2012,,,,,
67,63,28,2013,,,,,
67,63,28,2014,,,,,
67,63,28,2015,,,,,
67,63,28,2016,,,,,
67,63,29,2000,,,,,
67,63,29,2001,,,,,
67,63,29,2002,,,,,
67,63,29,2003,,,,,
67,63,29,2004,,,,,
67,63,29,2005,,,,,
67,63,29,2006,,,,,
67,63,29,2007,,,,,
67,63,29,2008,,,,,
67,63,29,2009,,,,,
67,63,29,2010,,,,,
67,63,29,2011,,,,,
67,63,29,2012,,,,,
67,63,29,2013,,,,,
67,63,29,2014,,,,,
67,63,29,2015,,,,,
67,63,29,2016,,,,,
67,63,30,2000,,,,,
67,63,30,2001,,,,,
67,63,30,2002,,,,,
67,63,30,2003,,,,,
67,63,30,2004,,,,,
67,63,30,2005,,,,,
67,63,30,2006,,,,,
67,63,30,2007,,,,,
67,63,30,2008,,,,,
67,63,30,2009,,,,,
67,63,30,2010,,,,,
67,63,30,2011,,,,,
67,63,30,2012,,,,,
67,63,30,2013,,,,,
67,63,30,2014,,,,,
67,63,30,2015,,,,,
67,63,30,2016,,,,,
67,64,28,2000,,,,,
67,64,28,2001,,,,,
67,64,28,2002,,,,,
67,64,28,2003,,,,,
67,64,28,2004,,,,,
67,64,28,2005,,,,,
67,64,28,2006,,,,,
67,64,28,2007,,,,,
67,64,28,2008,,,,,
67,64,28,2009,,,,,
67,64,28,2010,,,,,
67,64,28,2011,,,,,
67,64,28,2012,,,,,
67,64,28,2013,,,,,
67,64,28,2014,,,,,
67,64,28,2015,,,,,
67,64,28,2016,,,,,
67,64,29,2000,,,,,
67,64,29,2001,,,,,
67,64,29,2002,,,,,
67,64,29,2003,,,,,
67,64,29,2004,,,,,
67,64,29,2005,,,,,
67,64,29,2006,,,,,
67,64,29,2007,,,,,
67,64,29,2008,,,,,
67,64,29,2009,,,,,
67,64,29,2010,,,,,
67,64,29,2011,,,,,
67,64,29,2012,,,,,
67,64,29,2013,,,,,
67,64,29,2014,,,,,
67,64,29,2015,,,,,
67,64,29,2016,,,,,
67,64,30,2000,,,,,
67,64,30,2001,,,,,
67,64,30,2002,,,,,
67,64,30,2003,,,,,
67,64,30,2004,,,,,
67,64,30,2005,,,,,
67,64,30,2006,,,,,
67,64,30,2007,,,,,
67,64,30,2008,,,,,
67,64,30,2009,,,,,
67,64,30,2010,,,,,
67,64,30,2011,,,,,
67,64,30,2012,,,,,
67,64,30,2013,,,,,
67,64,30,2014,,,,,
67,64,30,2015,,,,,
67,64,30,2016,,,,,
68,63,28,2000,,,,,
68,63,28,2001,,,,,
68,63,28,2002,,,,,
68,63,28,2003,,,,,
68,63,28,2004,,,,,
68,63,28,2005,,,,,
68,63,28,2006,,,,,
68,63,28,2007,,,,,
68,63,28,2008,,,,,
68,63,28,2009,,,,,
68,63,28,2010,,,,,
68,63,28,2011,,,,,
68,63,28,2012,,,,,
68,63,28,2013,,,,,
68,63,28,2014,,,,,
68,63,28,2015,,,,,
68,63,28,2016,,,,,
68,63,29,2000,,,,,
68,63,29,2001,,,,,
68,63,29,2002,,,,,
68,63,29,2003,,,,,
68,63,29,2004,,,,,
68,63,29,2005,,,,,
68,63,29,2006,,,,,
68,63,29,2007,,,,,
68,63,29,2008,,,,,
68,63,29,2009,,,,,
68,63,29,2010,,,,,
68,63,29,2011,,,,,
68,63,29,2012,,,,,
68,63,29,2013,,,,,
68,63,29,2014,,,,,
68,63,29,2015,,,,,
68,63,29,2016,,,,,
68,63,30,2000,,,,,
68,63,30,2001,,,,,
68,63,30,2002,,,,,
68,63,30,2003,,,,,
68,63,30,2004,,,,,
68,63,30,2005,,,,,
68,63,30,2006,,,,,
68,63,30,2007,,,,,
68,63,30,2008,,,,,
68,63,30,2009,,,,,
68,63,30,2010,,,,,
68,63,30,2011,,,,,
68,63,30,2012,,,,,
68,63,30,2013,,,,,
68,63,30,2014,,,,,
68,63,30,2015,,,,,
68,63,30,2016,,,,,
68,64,28,2000,,,,,
68,64,28,2001,,,,,
68,64,28,2002,,,,,
68,64,28,2003,,,,,
68,64,28,2004,,,,,
68,64,28,2005,,,,,
68,64,28,2006,,,,,
68,64,28,2007,,,,,
68,64,28,2008,,,,,
68,64,28,2009,,,,,
68,64,28,2010,,,,,
68,64,28,2011,,,,,
68,64,28,2012,,,,,
68,64,28,2013,,,,,
68,64,28,2014,,,,,
68,64,28,2015,,,,,
68,64,28,2016,,,,,
68,64,29,2000,,,,,
68,64,29,2001,,,,,
68,64,29,2002,,,,,
