census region,air conditioning type,year,housing types,value
67,64,2008,29,3001002.74972
67,64,2008,30,484772.162736
67,64,2009,28,5726039.0
67,64,2009,29,3011699.0
67,64,2009,30,486500.0
67,64,2010,28,5743603.93577
67,64,2010,29,3020937.55033
67,64,2010,30,487992.365185
67,64,2011,28,5756469.60092
67,64,2011,29,3027704.44641
67,64,2011,30,489085.467431
67,64,2012,28,5768270.82822
67,64,2012,29,3033911.4849
67,64,2012,30,490088.132115
67,64,2013,28,5779531.28003
67,64,2013,29,3039834.09413
67,64,2013,30,491044.851028
67,64,2014,28,5790758.36119
67,64,2014,29,3045739.15156
67,64,2014,30,491998.734679
67,64,2015,28,5805156.5088
67,64,2015,29,3053312.08055
67,64,2015,30,493222.040844
67,64,2016,28,5819287.6913
67,64,2016,29,3060744.5951
67,64,2016,30,494422.66492
68,63,2000,28,22509464.8211
68,63,2000,29,6365302.44046
68,63,2000,30,2265708.66882
68,63,2001,28,22803034.2296
68,63,2001,29,6448318.98872
68,63,2001,30,2295258.13875
68,63,2002,28,23098456.7971
68,63,2002,29,6531859.57954
68,63,2002,30,2324994.13992
68,63,2003,28,23394640.7228
68,63,2003,29,6615615.46976
68,63,2003,30,2354806.77621
68,63,2004,28,23713044.6944
68,63,2004,29,6705654.81961
68,63,2004,30,2386855.98948
68,63,2005,28,24051585.5828
68,63,2005,29,6801388.55474
68,63,2005,30,2420932.10065
68,63,2006,28,24393450.9937
68,63,2006,29,6898062.40958
68,63,2006,30,2455342.84437
68,63,2007,28,24750829.3549
68,63,2007,29,6999123.06882
68,63,2007,30,2491315.05682
68,63,2008,28,25066042.7672
68,63,2008,29,7088260.18155
68,63,2008,30,2523043.12174
68,63,2009,28,25357212.0
68,63,2009,29,7170598.0
68,63,2009,30,2552351.0
68,63,2010,28,25636101.2636
68,63,2010,29,7249463.24732
68,63,2010,30,2580422.82788
68,63,2011,28,25895141.6315
68,63,2011,29,7322715.55693
68,63,2011,30,2606496.74887
68,63,2012,28,26153775.6441
68,63,2012,29,7395852.956
68,63,2012,30,2632529.76783
68,63,2013,28,26418772.9135
68,63,2013,29,7470789.7783
68,63,2013,30,2659203.28562
68,63,2014,28,26694418.0325
68,63,2014,29,7548737.63546
68,63,2014,30,2686948.57146
68,63,2015,28,26992941.8504
68,63,2015,29,7633155.20833
68,63,2015,30,2716996.73153
68,63,2016,28,27296754.986
68,63,2016,29,7719068.5123
68,63,2016,30,2747577.29222
68,64,2000,28,8136304.13251
68,64,2000,29,1376077.82282
68,64,2000,30,2346860.83825
68,64,2001,28,8242418.16102
68,64,2001,29,1394024.68898
68,64,2001,30,2377468.69826
68,64,2002,28,8349202.0351
68,64,2002,29,1412084.84486
68,64,2002,30,2408269.77061
68,64,2003,28,8456261.11079
68,64,2003,29,1430191.54508
68,64,2003,30,2439150.22297
68,64,2004,28,8571351.87688
68,64,2004,29,1449656.62999
68,64,2004,30,2472347.36105
68,64,2005,28,8693721.36238
68,64,2005,29,1470352.75104
68,64,2005,30,2507643.99557
68,64,2006,28,8817292.53469
68,64,2006,29,1491252.11111
68,64,2006,30,2543287.24837
68,64,2007,28,8946471.04068
68,64,2007,29,1513099.829
68,64,2007,30,2580547.89791
68,64,2008,28,9060408.54254
68,64,2008,29,1532369.8645
68,64,2008,30,2613412.38488
68,64,2009,28,9165655.0
68,64,2009,29,1550170.0
68,64,2009,30,2643770.0
68,64,2010,28,9266462.72181
68,64,2010,29,1567219.42049
68,64,2010,30,2672847.29242
68,64,2011,28,9360095.83272
68,64,2011,29,1583055.41252
68,64,2011,30,2699855.11779
68,64,2012,28,9453582.06184
68,64,2012,29,1598866.56271
68,64,2012,30,2726820.57612
68,64,2013,28,9549368.36307
68,64,2013,29,1615066.71977
68,64,2013,30,2754449.47439
68,64,2014,28,9649003.45162
68,64,2014,29,1631917.81499
68,64,2014,30,2783188.52884
68,64,2015,28,9756908.30821
68,64,2015,29,1650167.56054
68,64,2015,30,2814312.94086
68,64,2016,28,9866725.0493
68,64,2016,29,1668740.65952
68,64,2016,30,2845988.82279
69,63,2000,28,7848841.67671
69,63,2000,29,1903399.1754
69,63,2000,30,505059.256283
69,63,2001,28,7972151.58498
69,63,2001,29,1933302.69332
69,63,2001,30,512994.033557
69,63,2002,28,8084988.73548
69,63,2002,29,1960666.494
69,63,2002,30,520254.907156
69,63,2003,28,8192130.06743
69,63,2003,29,1986649.01872
69,63,2003,30,527149.264777
69,63,2004,28,8296322.35169
69,63,2004,29,2011916.37869
69,63,2004,30,533853.856329
69,63,2005,28,8403948.4079
