census region,air conditioning type,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,42,2.0,1999,0.8923250451,0.82221401232,0.753073066329,0.684973205941,0.618429662493,0.552869592824,0.487795373004,0.423476025307,0.360952377962,0.300821625146,0.244412485797,0.192715081116,0.146505744363,0.106639200041,0.0737186883287,0.0479291154513,0.0290241899702
66,63,28,42,2.0,2000,0.0660981515203,0.0657768267694,0.0654777326959,0.0651915510986,0.0649319587942,0.0645740322369,0.0639299664064,0.0628287001709,0.0611590688921,0.058713924683,0.0554092181097,0.0511488990048,0.0458655400095,0.0396577902318,0.0327855767813,0.0256568218327,0.0188199986455
66,63,28,42,2.0,2001,0.0,0.0704323576282,0.0701182696337,0.0698410376569,0.0696411323625,0.0694165478958,0.0690010406506,0.0682453080262,0.0670585077951,0.0652304395685,0.0626603238398,0.0591975591647,0.0546711665877,0.0490416143923,0.042410768443,0.0350427002587,0.0274239587433
66,63,28,42,2.0,2002,0.0,0.0,0.069754140208,0.0694844673612,0.0693145942107,0.0691687335596,0.0689128543792,0.068432665246,0.0676718579884,0.0664481382543,0.0646757272428,0.0621947756499,0.0587848404142,0.0543095344765,0.0487250036728,0.0421143758862,0.0347988061253
66,63,28,42,2.0,2003,0.0,0.0,0.0,0.0689330425379,0.0687705740627,0.0686545935024,0.0684775108873,0.0681567648628,0.0676705446742,0.0668710200273,0.0657014188019,0.0640182069924,0.0615908735654,0.0582349889866,0.0538101394502,0.048251078279,0.041705954459
66,63,28,42,2.0,2004,0.0,0.0,0.0,0.0,0.0673356909079,0.0672280509797,0.067082725274,0.0668435721761,0.0665193721437,0.0659982584275,0.0652578610227,0.0641859376289,0.0625703984795,0.0602196149319,0.0569475429922,0.0525923063119,0.0471604211546
66,63,28,42,2.0,2005,0.0,0.0,0.0,0.0,0.0,0.0665127387513,0.0663748049016,0.0661658692149,0.0659189776915,0.065553001834,0.0650787198532,0.064418352786,0.0633894441204,0.0618161809016,0.0595032389967,0.0562399244937,0.0519403063784
66,63,28,42,2.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0668511963987,0.0666466306366,0.0664257476118,0.0661312181059,0.0658037624957,0.0653984414565,0.0647646891447,0.0637531736647,0.0621808162999,0.0598221422025,0.0565429725294
66,63,28,42,2.0,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676316992053,0.0674134884795,0.0671426818494,0.0668853245601,0.0666262388728,0.0662463939151,0.065628023554,0.0646133460958,0.0629859881946,0.060598523455
66,63,28,42,2.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676396333199,0.067373851807,0.0671437113614,0.0669588140035,0.0667302088657,0.0663736384236,0.0657645860724,0.0647130848638,0.0630850383472
