census region,year,value
66,2000,62127800000.0
66,2001,58679170000.0
66,2002,56854830000.0
66,2003,55795660000.0
66,2004,54871660000.0
66,2005,56266760000.0
66,2006,58168720000.0
66,2007,58597630000.0
66,2008,57564350000.0
66,2009,46037440000.0
66,2010,49805980000.0
66,2011,52623980000.0
66,2012,56725650000.0
66,2013,58827080000.0
66,2014,61034570000.0
66,2015,64457890000.0
66,2016,65970720000.0
67,2000,1.3769245e+11
67,2001,1.249111e+11
67,2002,1.2354448e+11
67,2003,1.238272e+11
67,2004,1.2389986e+11
67,2005,1.2768563e+11
67,2006,1.3134188e+11
67,2007,1.3342874e+11
67,2008,1.270273e+11
67,2009,1.003026e+11
67,2010,1.0748577e+11
67,2011,1.1332517e+11
67,2012,1.2195109e+11
67,2013,1.2632046e+11
67,2014,1.3099223e+11
67,2015,1.3768283e+11
67,2016,1.4072062e+11
68,2000,1.0169214e+11
68,2001,97900870000.0
68,2002,95919970000.0
68,2003,95220370000.0
68,2004,94573990000.0
68,2005,1.0143245e+11
68,2006,1.0983055e+11
68,2007,1.1824849e+11
68,2008,1.1579084e+11
68,2009,87540450000.0
68,2010,89176040000.0
68,2011,90645520000.0
68,2012,95949640000.0
68,2013,99026500000.0
68,2014,1.0287262e+11
68,2015,1.0874351e+11
68,2016,1.1147758e+11
69,2000,52975730000.0
69,2001,50307560000.0
69,2002,47509010000.0
69,2003,45349880000.0
69,2004,45964810000.0
69,2005,48749360000.0
69,2006,51745960000.0
69,2007,54589390000.0
69,2008,51621410000.0
69,2009,40453710000.0
69,2010,43242530000.0
69,2011,45507370000.0
69,2012,49057520000.0
69,2013,50937340000.0
69,2014,52900680000.0
69,2015,55952230000.0
69,2016,57353020000.0
