vintage,census region,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,66,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2008,67,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2008,68,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2008,69,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2009,66,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2009,67,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2009,68,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2009,69,33,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694,83.2414487694
2010,66,33,0.0,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059
2010,67,33,0.0,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059
2010,68,33,0.0,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059
2010,69,33,0.0,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059,83.4415484059
2011,66,33,0.0,0.0,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424
2011,67,33,0.0,0.0,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424
2011,68,33,0.0,0.0,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424
2011,69,33,0.0,0.0,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424,83.6416480424
2012,66,33,0.0,0.0,0.0,83.8417476788,83.8417476788,83.8417476788,83.8417476788,83.8417476788
2012,67,33,0.0,0.0,0.0,83.8417476788,83.8417476788,83.8417476788,83.8417476788,83.8417476788
2012,68,33,0.0,0.0,0.0,83.8417476788,83.8417476788,83.8417476788,83.8417476788,83.8417476788
2012,69,33,0.0,0.0,0.0,83.8417476788,83.8417476788,83.8417476788,83.8417476788,83.8417476788
2013,66,33,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153,84.0418473153
2013,67,33,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153,84.0418473153
2013,68,33,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153,84.0418473153
2013,69,33,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153,84.0418473153
2014,66,33,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153
2014,67,33,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153
2014,68,33,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153
2014,69,33,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153,84.0418473153
2015,66,33,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153
2015,67,33,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153
2015,68,33,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153
2015,69,33,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153,84.0418473153
2016,66,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153
2016,67,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153
2016,68,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153
2016,69,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0418473153
