census region,housing types,year,value
66,28,2000,622435902.426
66,28,2001,589187064.212
66,28,2002,594877162.615
66,28,2003,668161532.562
66,28,2004,644197866.452
66,28,2005,638975831.379
66,28,2006,567159569.864
66,28,2007,631921001.626
66,28,2008,623975576.939
66,28,2009,646879160.841
66,28,2010,579683547.323
66,28,2011,598609383.016
66,28,2012,545443750.256
66,28,2013,630981496.454
66,28,2014,668264799.949
66,28,2015,625236361.164
66,28,2016,603548442.325
66,29,2000,73469069.3772
66,29,2001,69544550.8975
66,29,2002,70216180.2696
66,29,2003,78866282.937
66,29,2004,76037737.4739
66,29,2005,75421355.8423
66,29,2006,66944540.9942
66,29,2007,74588640.7394
66,29,2008,73650804.4814
66,29,2009,76354223.4006
66,29,2010,68422805.6079
66,29,2011,70656711.991
66,29,2012,64381319.5427
66,29,2013,74477746.4763
66,29,2014,78878472.0779
66,29,2015,73799620.8387
66,29,2016,71239692.6475
66,30,2000,15115137.2885
66,30,2001,14307727.6382
66,30,2002,14445905.1087
66,30,2003,16225531.4261
66,30,2004,15643601.4607
66,30,2005,15516790.3678
66,30,2006,13772815.3687
66,30,2007,15345471.972
66,30,2008,15152526.5065
66,30,2009,15708713.5994
66,30,2010,14076945.7024
66,30,2011,14536537.7723
66,30,2012,13245471.7605
66,30,2013,15322657.1736
66,30,2014,16228039.1554
66,30,2015,15183143.1958
66,30,2016,14656477.1255
67,28,2000,909285174.605
67,28,2001,855942547.259
67,28,2002,898502831.591
67,28,2003,939187208.0
67,28,2004,898020425.475
67,28,2005,895913216.826
67,28,2006,833596259.065
67,28,2007,904827882.519
67,28,2008,1005361084.72
67,28,2009,976617239.353
67,28,2010,935375315.581
67,28,2011,936514702.709
67,28,2012,800951786.144
67,28,2013,1015490865.64
67,28,2014,1090023251.33
67,28,2015,947253191.775
67,28,2016,926665561.42
67,29,2000,109687258.246
67,29,2001,103252526.102
67,29,2002,108386581.983
67,29,2003,113294346.705
67,29,2004,108328389.234
67,29,2005,108074196.22
67,29,2006,100556888.746
67,29,2007,109149574.182
67,29,2008,121276915.108
67,29,2009,117809539.111
67,29,2010,112834517.336
67,29,2011,112971961.84
67,29,2012,96618979.2409
67,29,2013,122498872.672
67,29,2014,131489729.737
67,29,2015,114267347.992
67,29,2016,111783857.894
67,30,2000,31199202.9688
67,30,2001,29368921.8822
67,30,2002,30829241.4677
67,30,2003,32225195.2924
67,30,2004,30812689.2498
67,30,2005,30740387.1468
67,30,2006,28602180.7096
67,30,2007,31046265.2939
67,30,2008,34495739.5272
67,30,2009,33509486.7094
67,30,2010,32094402.436
67,30,2011,32133496.8491
67,30,2012,27482090.3739
67,30,2013,34843310.4542
67,30,2014,37400650.1028
67,30,2015,32501953.6428
67,30,2016,31795555.1706
68,28,2000,604746802.308
68,28,2001,569095427.916
68,28,2002,598412701.758
68,28,2003,623982047.974
68,28,2004,588515091.752
68,28,2005,603816556.16
68,28,2006,563416209.04
68,28,2007,596788057.915
68,28,2008,652325088.116
68,28,2009,664830114.85
68,28,2010,756278583.352
68,28,2011,640833695.333
68,28,2012,551234093.766
68,28,2013,709694089.888
68,28,2014,793098607.387
68,28,2015,705551850.023
68,28,2016,674341008.976
68,29,2000,71560306.0306
68,29,2001,67341642.5301
68,29,2002,70810785.451
68,29,2003,73836432.2725
68,29,2004,69639591.1623
68,29,2005,71450229.0549
68,29,2006,66669614.767
68,29,2007,70618539.6877
68,29,2008,77190293.1257
68,29,2009,78670025.6958
68,29,2010,89491216.2619
68,29,2011,75830504.8952
68,29,2012,65228092.6395
68,29,2013,83978825.6286
68,29,2014,93848167.2667
68,29,2015,83488670.1598
68,29,2016,79795459.4999
68,30,2000,40833297.5495
68,30,2001,38426069.9742
68,30,2002,40405610.7697
68,30,2003,42132086.5744
68,30,2004,39737311.156
68,30,2005,40770486.109
68,30,2006,38042601.6642
68,30,2007,40295912.6858
68,30,2008,44045845.8323
68,30,2009,44890201.6446
68,30,2010,51064922.2227
68,30,2011,43269931.9143
68,30,2012,37220049.2574
68,30,2013,47919476.1029
68,30,2014,53551058.5553
68,30,2015,47639786.6324
68,30,2016,45532389.6947
69,28,2000,351605514.434
69,28,2001,384683788.471
69,28,2002,396909852.742
69,28,2003,376806359.29
69,28,2004,390191897.199
69,28,2005,391327237.867
69,28,2006,406163756.259
69,28,2007,410186883.037
69,28,2008,432906039.263
69,28,2009,432065734.806
69,28,2010,438752516.17
69,28,2011,465812734.158
69,28,2012,411464753.066
69,28,2013,450519092.361
69,28,2014,400162764.533
69,28,2015,414109362.47
69,28,2016,452972822.533
69,29,2000,34394849.004
69,29,2001,37630640.8052
69,29,2002,38826622.1457
69,29,2003,36860052.8135
69,29,2004,38169456.4955
69,29,2005,38280518.095
69,29,2006,39731859.9793
69,29,2007,40125411.3668
69,29,2008,42347850.765
69,29,2009,42265650.2769
69,29,2010,42919766.3982
69,29,2011,45566858.3052
69,29,2012,40250415.5118
69,29,2013,44070799.5725
69,29,2014,39144829.3561
69,29,2015,40509117.2027
69,29,2016,44310829.024
69,30,2000,21781263.3228
69,30,2001,23830396.7052
69,30,2002,24587777.1056
69,30,2003,23342405.6122
69,30,2004,24171613.1017
69,30,2005,24241945.2012
69,30,2006,25161038.05
69,30,2007,25410262.7639
69,30,2008,26817669.3713
69,30,2009,26765614.1791
69,30,2010,27179847.0045
69,30,2011,28856173.7666
69,30,2012,25489424.2743
69,30,2013,27908763.0308
69,30,2014,24789288.5307
69,30,2015,25653252.5746
69,30,2016,28060766.7418
