census division,housing types,vintage,value
56,28,2009,0.041731581
56,29,2009,0.025908561
56,30,2009,0.088527541
57,28,2009,0.041175445
57,29,2009,0.009194756
57,30,2009,0.135671869
58,28,2009,0.042786478
58,29,2009,0.023845801
58,30,2009,0.082018408
59,28,2009,0.079577818
59,29,2009,0.00989647
59,30,2009,0.100242747
60,28,2009,0.026513727
60,29,2009,0.003117907
60,30,2009,0.008385019
61,28,2009,0.032398033
61,29,2009,0.0
61,30,2009,0.0
62,28,2009,0.042329733
62,29,2009,0.0
62,30,2009,0.039440061
63,28,2009,0.061574087
63,29,2009,0.047927006
63,30,2009,0.165684563
64,28,2009,0.030832593
64,29,2009,0.037423357
64,30,2009,0.188482568
