Constraint Name,Child Column,Parent Column,Delete Rule
DemandEnergyDemandsData_oth_1_id_fkey,DemandEnergyDemandsData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandEnergyDemandsData_oth_2_id_fkey,DemandEnergyDemandsData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandEnergyDemandsData_subsector_id_fkey,DemandEnergyDemandsData.subsector_id,DemandSubsectors.id,Restrict delete 
DemandEnergyEfficiencyMeasurePackages_subsector_id_fkey,DemandEnergyEfficiencyMeasurePackages.subsector_id,DemandSubsectors.id,Restrict delete 
DemandEnergyEfficiencyMeasurePackagesData_measure_id_fkey,DemandEnergyEfficiencyMeasurePackagesData.measure_id,DemandEnergyEfficiencyMeasures.id,Restrict delete 
DemandEnergyEfficiencyMeasurePackagesData_package_id_fkey,DemandEnergyEfficiencyMeasurePackagesData.package_id,DemandEnergyEfficiencyMeasurePackages.id,Cascade on delete 
DemandEnergyEfficiencyMeasures_extrapolation_method_id_fkey,DemandEnergyEfficiencyMeasures.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandEnergyEfficiencyMeasures_geography_id_fkey,DemandEnergyEfficiencyMeasures.geography_id,Geographies.id,Restrict delete 
DemandEnergyEfficiencyMeasures_input_type_id_fkey,DemandEnergyEfficiencyMeasures.input_type_id,InputTypes.id,Restrict delete 
DemandEnergyEfficiencyMeasures_interpolation_method_id_fkey,DemandEnergyEfficiencyMeasures.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandEnergyEfficiencyMeasures_other_index_1_id_fkey,DemandEnergyEfficiencyMeasures.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandEnergyEfficiencyMeasures_other_index_2_id_fkey,DemandEnergyEfficiencyMeasures.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandEnergyEfficiencyMeasures_stock_decay_function_id_fkey,DemandEnergyEfficiencyMeasures.stock_decay_function_id,StockDecayFunctions.id,Restrict delete 
DemandEnergyEfficiencyMeasures_subsector_id_fkey,DemandEnergyEfficiencyMeasures.subsector_id,DemandSubsectors.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_currency_id_fkey,DemandEnergyEfficiencyMeasuresCost.currency_id,Currencies.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_currency_year_id_fkey,DemandEnergyEfficiencyMeasuresCost.currency_year_id,CurrencyYears.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_extrapolation_method_id_fkey,DemandEnergyEfficiencyMeasuresCost.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandEnergyEfficiencyMeasuresCost_geography_id_fkey,DemandEnergyEfficiencyMeasuresCost.geography_id,Geographies.id,Restrict delete 
