vintage,census region,technology,final_energy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
1999,67,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
1999,68,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
1999,69,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2000,66,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2000,67,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2000,68,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2000,69,7,2,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2001,66,7,2,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2001,67,7,2,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2001,68,7,2,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2001,69,7,2,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2002,66,7,2,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2002,67,7,2,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2002,68,7,2,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2002,69,7,2,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2003,66,7,2,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2003,67,7,2,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2003,68,7,2,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2003,69,7,2,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2004,66,7,2,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2004,67,7,2,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2004,68,7,2,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2004,69,7,2,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2005,66,7,2,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2005,67,7,2,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2005,68,7,2,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2005,69,7,2,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2006,66,7,2,0.0,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2006,67,7,2,0.0,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
2006,68,7,2,0.0,0.0,0.0,0.0,0.0,0.0,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244,1.06571298244
