census region,air conditioning type,technology,housing types,final_energy,vintage,year,sector,value
66,63,42,28,2,2003,2004,N/A,1670418.06887
66,63,42,28,2,2003,2005,N/A,2598271.57435
66,63,42,28,2,2003,2006,N/A,2057778.46632
66,63,42,28,2,2003,2007,N/A,1996044.83964
66,63,42,28,2,2003,2008,N/A,1973679.97294
66,63,42,28,2,2003,2009,N/A,1520421.97099
66,63,42,28,2,2003,2010,N/A,2654895.31494
66,63,42,28,2,2003,2011,N/A,2339181.60487
66,63,42,28,2,2003,2012,N/A,2242279.43305
66,63,42,28,2,2003,2013,N/A,1894887.83541
66,63,42,28,2,2003,2014,N/A,1439700.09803
66,63,42,28,2,2003,2015,N/A,1571977.81153
66,63,42,28,2,2003,2016,N/A,1473950.47787
66,63,42,28,2,2004,2000,N/A,0.0
66,63,42,28,2,2004,2001,N/A,0.0
66,63,42,28,2,2004,2002,N/A,0.0
66,63,42,28,2,2004,2003,N/A,0.0
66,63,42,28,2,2004,2004,N/A,1635565.15713
66,63,42,28,2,2004,2005,N/A,2544283.27295
66,63,42,28,2,2004,2006,N/A,2015864.56257
66,63,42,28,2,2004,2007,N/A,1957586.5664
66,63,42,28,2,2004,2008,N/A,1940104.86017
66,63,42,28,2,2004,2009,N/A,1500578.30909
66,63,42,28,2,2004,2010,N/A,2636971.81358
66,63,42,28,2,2004,2011,N/A,2345310.36789
66,63,42,28,2,2004,2012,N/A,2277940.05031
66,63,42,28,2,2004,2013,N/A,1959464.88139
66,63,42,28,2,2004,2014,N/A,1523641.90217
66,63,42,28,2,2004,2015,N/A,1713411.21335
66,63,42,28,2,2004,2016,N/A,1666719.44568
66,63,42,28,2,2005,2000,N/A,0.0
66,63,42,28,2,2005,2001,N/A,0.0
66,63,42,28,2,2005,2002,N/A,0.0
66,63,42,28,2,2005,2003,N/A,0.0
66,63,42,28,2,2005,2004,N/A,0.0
66,63,42,28,2,2005,2005,N/A,2517211.88071
66,63,42,28,2,2005,2006,N/A,1994591.25285
66,63,42,28,2,2005,2007,N/A,1937739.29957
66,63,42,28,2,2005,2008,N/A,1922593.74789
66,63,42,28,2,2005,2009,N/A,1490454.67247
66,63,42,28,2,2005,2010,N/A,2629732.9889
66,63,42,28,2,2005,2011,N/A,2353802.65916
66,63,42,28,2,2005,2012,N/A,2307758.25371
66,63,42,28,2,2005,2013,N/A,2011414.98024
66,63,42,28,2,2005,2014,N/A,1592020.01503
66,63,42,28,2,2005,2015,N/A,1832247.41456
66,63,42,28,2,2005,2016,N/A,1835647.70068
66,63,42,28,2,2006,2000,N/A,0.0
66,63,42,28,2,2006,2001,N/A,0.0
66,63,42,28,2,2006,2002,N/A,0.0
66,63,42,28,2,2006,2003,N/A,0.0
66,63,42,28,2,2006,2004,N/A,0.0
66,63,42,28,2,2006,2005,N/A,0.0
66,63,42,28,2,2006,2006,N/A,2008907.02092
66,63,42,28,2,2006,2007,N/A,1951818.91965
66,63,42,28,2,2006,2008,N/A,1937374.20587
66,63,42,28,2,2006,2009,N/A,1503601.36477
66,63,42,28,2,2006,2010,N/A,2659030.86937
66,63,42,28,2,2006,2011,N/A,2389614.43047
66,63,42,28,2,2006,2012,N/A,2357825.47073
66,63,42,28,2,2006,2013,N/A,2074442.10685
66,63,42,28,2,2006,2014,N/A,1663659.08427
66,63,42,28,2,2006,2015,N/A,1948952.92571
66,63,42,28,2,2006,2016,N/A,1998312.76999
66,63,42,28,2,2007,2000,N/A,0.0
66,63,42,28,2,2007,2001,N/A,0.0
66,63,42,28,2,2007,2002,N/A,0.0
66,63,42,28,2,2007,2003,N/A,0.0
66,63,42,28,2,2007,2004,N/A,0.0
66,63,42,28,2,2007,2005,N/A,0.0
66,63,42,28,2,2007,2006,N/A,0.0
66,63,42,28,2,2007,2007,N/A,1980667.72193
66,63,42,28,2,2007,2008,N/A,1966182.66868
66,63,42,28,2,2007,2009,N/A,1526598.64666
66,63,42,28,2,2007,2010,N/A,2702735.16236
66,63,42,28,2,2007,2011,N/A,2434477.31036
66,63,42,28,2,2007,2012,N/A,2411768.46488
66,63,42,28,2,2007,2013,N/A,2135447.18834
66,63,42,28,2,2007,2014,N/A,1728741.86275
66,63,42,28,2,2007,2015,N/A,2052028.25327
66,63,42,28,2,2007,2016,N/A,2141641.97327
66,63,42,28,2,2008,2000,N/A,0.0
66,63,42,28,2,2008,2001,N/A,0.0
66,63,42,28,2,2008,2002,N/A,0.0
66,63,42,28,2,2008,2003,N/A,0.0
66,63,42,28,2,2008,2004,N/A,0.0
66,63,42,28,2,2008,2005,N/A,0.0
66,63,42,28,2,2008,2006,N/A,0.0
66,63,42,28,2,2008,2007,N/A,0.0
66,63,42,28,2,2008,2008,N/A,1972778.41199
66,63,42,28,2,2008,2009,N/A,1531854.6736
66,63,42,28,2,2008,2010,N/A,2713176.18359
66,63,42,28,2,2008,2011,N/A,2446629.37873
66,63,42,28,2,2008,2012,N/A,2429382.24839
66,63,42,28,2,2008,2013,N/A,2159708.48848
66,63,42,28,2,2008,2014,N/A,1759543.49835
66,63,42,28,2,2008,2015,N/A,2108295.548
66,63,42,28,2,2008,2016,N/A,2229519.10883
66,63,42,28,2,2009,2000,N/A,0.0
66,63,42,28,2,2009,2001,N/A,0.0
66,63,42,28,2,2009,2002,N/A,0.0
66,63,42,28,2,2009,2003,N/A,0.0
66,63,42,28,2,2009,2004,N/A,0.0
66,63,42,28,2,2009,2005,N/A,0.0
66,63,42,28,2,2009,2006,N/A,0.0
66,63,42,28,2,2009,2007,N/A,0.0
66,63,42,28,2,2009,2008,N/A,0.0
66,63,42,28,2,2009,2009,N/A,1549461.61734
66,63,42,28,2,2009,2010,N/A,2744602.80231
66,63,42,28,2,2009,2011,N/A,2476004.92448
66,63,42,28,2,2009,2012,N/A,2461314.56858
66,63,42,28,2,2009,2013,N/A,2193129.06308
66,63,42,28,2,2009,2014,N/A,1793969.77168
66,63,42,28,2,2009,2015,N/A,2163267.19211
66,63,42,28,2,2009,2016,N/A,2309235.19527
66,63,42,28,2,2010,2000,N/A,0.0
66,63,42,28,2,2010,2001,N/A,0.0
66,63,42,28,2,2010,2002,N/A,0.0
66,63,42,28,2,2010,2003,N/A,0.0
66,63,42,28,2,2010,2004,N/A,0.0
66,63,42,28,2,2010,2005,N/A,0.0
66,63,42,28,2,2010,2006,N/A,0.0
66,63,42,28,2,2010,2007,N/A,0.0
66,63,42,28,2,2010,2008,N/A,0.0
66,63,42,28,2,2010,2009,N/A,0.0
66,63,42,28,2,2010,2010,N/A,2503743.41556
66,63,42,28,2,2010,2011,N/A,2258915.94782
66,63,42,28,2,2010,2012,N/A,2246453.85043
66,63,42,28,2,2010,2013,N/A,2003929.87483
66,63,42,28,2,2010,2014,N/A,1642976.06626
66,63,42,28,2,2010,2015,N/A,1989172.004
66,63,42,28,2,2010,2016,N/A,2136947.73946
66,63,42,28,2,2011,2000,N/A,0.0
66,63,42,28,2,2011,2001,N/A,0.0
66,63,42,28,2,2011,2002,N/A,0.0
66,63,42,28,2,2011,2003,N/A,0.0
66,63,42,28,2,2011,2004,N/A,0.0
66,63,42,28,2,2011,2005,N/A,0.0
66,63,42,28,2,2011,2006,N/A,0.0
66,63,42,28,2,2011,2007,N/A,0.0
66,63,42,28,2,2011,2008,N/A,0.0
66,63,42,28,2,2011,2009,N/A,0.0
66,63,42,28,2,2011,2010,N/A,0.0
66,63,42,28,2,2011,2011,N/A,2031405.25904
66,63,42,28,2,2011,2012,N/A,2020376.23667
66,63,42,28,2,2011,2013,N/A,1803013.92922
66,63,42,28,2,2011,2014,N/A,1479911.51655
66,63,42,28,2,2011,2015,N/A,1795868.93257
66,63,42,28,2,2011,2016,N/A,1937056.36841
66,63,42,28,2,2012,2000,N/A,0.0
66,63,42,28,2,2012,2001,N/A,0.0
66,63,42,28,2,2012,2002,N/A,0.0
66,63,42,28,2,2012,2003,N/A,0.0
66,63,42,28,2,2012,2004,N/A,0.0
66,63,42,28,2,2012,2005,N/A,0.0
66,63,42,28,2,2012,2006,N/A,0.0
66,63,42,28,2,2012,2007,N/A,0.0
66,63,42,28,2,2012,2008,N/A,0.0
66,63,42,28,2,2012,2009,N/A,0.0
66,63,42,28,2,2012,2010,N/A,0.0
66,63,42,28,2,2012,2011,N/A,0.0
66,63,42,28,2,2012,2012,N/A,1816704.70066
66,63,42,28,2,2012,2013,N/A,1621397.20373
66,63,42,28,2,2012,2014,N/A,1331397.99657
66,63,42,28,2,2012,2015,N/A,1617464.42546
66,63,42,28,2,2012,2016,N/A,1748638.93993
66,63,42,28,2,2013,2000,N/A,0.0
66,63,42,28,2,2013,2001,N/A,0.0
66,63,42,28,2,2013,2002,N/A,0.0
66,63,42,28,2,2013,2003,N/A,0.0
66,63,42,28,2,2013,2004,N/A,0.0
66,63,42,28,2,2013,2005,N/A,0.0
66,63,42,28,2,2013,2006,N/A,0.0
66,63,42,28,2,2013,2007,N/A,0.0
66,63,42,28,2,2013,2008,N/A,0.0
66,63,42,28,2,2013,2009,N/A,0.0
66,63,42,28,2,2013,2010,N/A,0.0
66,63,42,28,2,2013,2011,N/A,0.0
66,63,42,28,2,2013,2012,N/A,0.0
66,63,42,28,2,2013,2013,N/A,1443863.62433
66,63,42,28,2,2013,2014,N/A,1185722.07215
66,63,42,28,2,2013,2015,N/A,1441091.49218
66,63,42,28,2,2013,2016,N/A,1559713.79316
66,63,42,28,2,2014,2000,N/A,0.0
66,63,42,28,2,2014,2001,N/A,0.0
66,63,42,28,2,2014,2002,N/A,0.0
66,63,42,28,2,2014,2003,N/A,0.0
66,63,42,28,2,2014,2004,N/A,0.0
66,63,42,28,2,2014,2005,N/A,0.0
66,63,42,28,2,2014,2006,N/A,0.0
66,63,42,28,2,2014,2007,N/A,0.0
66,63,42,28,2,2014,2008,N/A,0.0
66,63,42,28,2,2014,2009,N/A,0.0
66,63,42,28,2,2014,2010,N/A,0.0
66,63,42,28,2,2014,2011,N/A,0.0
66,63,42,28,2,2014,2012,N/A,0.0
66,63,42,28,2,2014,2013,N/A,0.0
66,63,42,28,2,2014,2014,N/A,1188496.32084
66,63,42,28,2,2014,2015,N/A,1444590.45585
66,63,42,28,2,2014,2016,N/A,1564155.44655
66,63,42,28,2,2015,2000,N/A,0.0
66,63,42,28,2,2015,2001,N/A,0.0
66,63,42,28,2,2015,2002,N/A,0.0
66,63,42,28,2,2015,2003,N/A,0.0
66,63,42,28,2,2015,2004,N/A,0.0
66,63,42,28,2,2015,2005,N/A,0.0
66,63,42,28,2,2015,2006,N/A,0.0
66,63,42,28,2,2015,2007,N/A,0.0
66,63,42,28,2,2015,2008,N/A,0.0
66,63,42,28,2,2015,2009,N/A,0.0
66,63,42,28,2,2015,2010,N/A,0.0
66,63,42,28,2,2015,2011,N/A,0.0
66,63,42,28,2,2015,2012,N/A,0.0
66,63,42,28,2,2015,2013,N/A,0.0
66,63,42,28,2,2015,2014,N/A,0.0
66,63,42,28,2,2015,2015,N/A,1462948.62088
66,63,42,28,2,2015,2016,N/A,1584172.58596
66,63,42,28,2,2016,2000,N/A,0.0
66,63,42,28,2,2016,2001,N/A,0.0
66,63,42,28,2,2016,2002,N/A,0.0
66,63,42,28,2,2016,2003,N/A,0.0
66,63,42,28,2,2016,2004,N/A,0.0
66,63,42,28,2,2016,2005,N/A,0.0
66,63,42,28,2,2016,2006,N/A,0.0
66,63,42,28,2,2016,2007,N/A,0.0
66,63,42,28,2,2016,2008,N/A,0.0
66,63,42,28,2,2016,2009,N/A,0.0
66,63,42,28,2,2016,2010,N/A,0.0
66,63,42,28,2,2016,2011,N/A,0.0
66,63,42,28,2,2016,2012,N/A,0.0
66,63,42,28,2,2016,2013,N/A,0.0
66,63,42,28,2,2016,2014,N/A,0.0
66,63,42,28,2,2016,2015,N/A,0.0
66,63,42,28,2,2016,2016,N/A,1591060.09703
66,63,42,29,2,1999,2000,N/A,1828866.66371
66,63,42,29,2,1999,2001,N/A,2209922.86573
66,63,42,29,2,1999,2002,N/A,2404851.46128
66,63,42,29,2,1999,2003,N/A,1877163.79801
66,63,42,29,2,1999,2004,N/A,1499718.09633
66,63,42,29,2,1999,2005,N/A,2088980.74703
66,63,42,29,2,1999,2006,N/A,1463474.36504
66,63,42,29,2,1999,2007,N/A,1238189.00676
66,63,42,29,2,1999,2008,N/A,1051050.92793
66,63,42,29,2,1999,2009,N/A,682860.564181
66,63,42,29,2,1999,2010,N/A,986036.136753
66,63,42,29,2,1999,2011,N/A,703028.492015
66,63,42,29,2,1999,2012,N/A,532506.377393
66,63,42,29,2,1999,2013,N/A,346428.153554
66,63,42,29,2,1999,2014,N/A,196916.589944
66,63,42,29,2,1999,2015,N/A,155896.222882
66,63,42,29,2,1999,2016,N/A,102409.849043
66,63,42,29,2,2000,2000,N/A,135382.123463
66,63,42,29,2,2000,2001,N/A,176676.263635
66,63,42,29,2,2000,2002,N/A,208957.431051
66,63,42,29,2,2000,2003,N/A,178538.937967
66,63,42,29,2,2000,2004,N/A,157358.740396
66,63,42,29,2,2000,2005,N/A,243827.499481
66,63,42,29,2,2000,2006,N/A,191674.776493
66,63,42,29,2,2000,2007,N/A,183581.636433
66,63,42,29,2,2000,2008,N/A,177970.394802
66,63,42,29,2,2000,2009,N/A,133191.69232
66,63,42,29,2,2000,2010,N/A,223390.402938
66,63,42,29,2,2000,2011,N/A,186468.964975
66,63,42,29,2,2000,2012,N/A,166597.974677
66,63,42,29,2,2000,2013,N/A,128747.219353
66,63,42,29,2,2000,2014,N/A,87518.6443319
66,63,42,29,2,2000,2015,N/A,83397.3178851
66,63,42,29,2,2000,2016,N/A,66361.2032706
66,63,42,29,2,2001,2000,N/A,0.0
66,63,42,29,2,2001,2001,N/A,189189.262999
66,63,42,29,2,2001,2002,N/A,223776.434191
66,63,42,29,2,2001,2003,N/A,191280.759438
66,63,42,29,2,2001,2004,N/A,168778.515099
66,63,42,29,2,2001,2005,N/A,262123.985349
66,63,42,29,2,2001,2006,N/A,206887.904759
66,63,42,29,2,2001,2007,N/A,199417.34579
66,63,42,29,2,2001,2008,N/A,195146.045701
66,63,42,29,2,2001,2009,N/A,147980.7766
66,63,42,29,2,2001,2010,N/A,252635.336633
66,63,42,29,2,2001,2011,N/A,215820.672773
66,63,42,29,2,2001,2012,N/A,198591.437168
66,63,42,29,2,2001,2013,N/A,159218.334392
66,63,42,29,2,2001,2014,N/A,113217.318946
66,63,42,29,2,2001,2015,N/A,113911.025212
66,63,42,29,2,2001,2016,N/A,96703.8539813
66,63,42,29,2,2002,2000,N/A,0.0
66,63,42,29,2,2002,2001,N/A,0.0
66,63,42,29,2,2002,2002,N/A,222613.581448
66,63,42,29,2,2002,2003,N/A,190303.530137
66,63,42,29,2,2002,2004,N/A,167986.557492
66,63,42,29,2,2002,2005,N/A,261187.315558
66,63,42,29,2,2002,2006,N/A,206622.783186
66,63,42,29,2,2002,2007,N/A,199964.128963
66,63,42,29,2,2002,2008,N/A,196930.270999
66,63,42,29,2,2002,2009,N/A,150742.711205
66,63,42,29,2,2002,2010,N/A,260760.190443
66,63,42,29,2,2002,2011,N/A,226747.054921
66,63,42,29,2,2002,2012,N/A,213533.505041
66,63,42,29,2,2002,2013,N/A,176320.539496
66,63,42,29,2,2002,2014,N/A,130072.986834
66,63,42,29,2,2002,2015,N/A,136897.990544
66,63,42,29,2,2002,2016,N/A,122709.020027
66,63,42,29,2,2003,2000,N/A,0.0
66,63,42,29,2,2003,2001,N/A,0.0
66,63,42,29,2,2003,2002,N/A,0.0
66,63,42,29,2,2003,2003,N/A,188792.082285
66,63,42,29,2,2003,2004,N/A,166667.035984
66,63,42,29,2,2003,2005,N/A,259244.215593
66,63,42,29,2,2003,2006,N/A,205316.168499
66,63,42,29,2,2003,2007,N/A,199156.656236
66,63,42,29,2,2003,2008,N/A,196925.187293
66,63,42,29,2,2003,2009,N/A,151701.078952
66,63,42,29,2,2003,2010,N/A,264893.885689
66,63,42,29,2,2003,2011,N/A,233393.347436
66,63,42,29,2,2003,2012,N/A,223724.870988
66,63,42,29,2,2003,2013,N/A,189063.651151
66,63,42,29,2,2003,2014,N/A,143647.002218
66,63,42,29,2,2003,2015,N/A,156845.096065
66,63,42,29,2,2003,2016,N/A,147064.355871
66,63,42,29,2,2004,2000,N/A,0.0
66,63,42,29,2,2004,2001,N/A,0.0
66,63,42,29,2,2004,2002,N/A,0.0
66,63,42,29,2,2004,2003,N/A,0.0
66,63,42,29,2,2004,2004,N/A,163186.743346
66,63,42,29,2,2004,2005,N/A,253853.109828
66,63,42,29,2,2004,2006,N/A,201130.704919
66,63,42,29,2,2004,2007,N/A,195316.080926
66,63,42,29,2,2004,2008,N/A,193571.862608
66,63,42,29,2,2004,2009,N/A,149718.576683
66,63,42,29,2,2004,2010,N/A,263101.00865
66,63,42,29,2,2004,2011,N/A,234000.803578
66,63,42,29,2,2004,2012,N/A,227279.003058
66,63,42,29,2,2004,2013,N/A,195503.487772
66,63,42,29,2,2004,2014,N/A,152019.72172
66,63,42,29,2,2004,2015,N/A,170953.749352
66,63,42,29,2,2004,2016,N/A,166295.128768
66,63,42,29,2,2005,2000,N/A,0.0
66,63,42,29,2,2005,2001,N/A,0.0
66,63,42,29,2,2005,2002,N/A,0.0
66,63,42,29,2,2005,2003,N/A,0.0
66,63,42,29,2,2005,2004,N/A,0.0
66,63,42,29,2,2005,2005,N/A,251148.495574
66,63,42,29,2,2005,2006,N/A,199005.334544
66,63,42,29,2,2005,2007,N/A,193333.073641
66,63,42,29,2,2005,2008,N/A,191821.964246
66,63,42,29,2,2005,2009,N/A,148706.372944
66,63,42,29,2,2005,2010,N/A,262375.006643
66,63,42,29,2,2005,2011,N/A,234844.750756
66,63,42,29,2,2005,2012,N/A,230250.785804
66,63,42,29,2,2005,2013,N/A,200683.879706
66,63,42,29,2,2005,2014,N/A,158839.800004
66,63,42,29,2,2005,2015,N/A,182807.885666
66,63,42,29,2,2005,2016,N/A,183147.140677
66,63,42,29,2,2006,2000,N/A,0.0
66,63,42,29,2,2006,2001,N/A,0.0
66,63,42,29,2,2006,2002,N/A,0.0
66,63,42,29,2,2006,2003,N/A,0.0
66,63,42,29,2,2006,2004,N/A,0.0
66,63,42,29,2,2006,2005,N/A,0.0
66,63,42,29,2,2006,2006,N/A,200432.363938
66,63,42,29,2,2006,2007,N/A,194736.578632
66,63,42,29,2,2006,2008,N/A,193295.402859
66,63,42,29,2,2006,2009,N/A,150017.085321
66,63,42,29,2,2006,2010,N/A,265296.421079
66,63,42,29,2,2006,2011,N/A,238416.245357
66,63,42,29,2,2006,2012,N/A,235244.602129
66,63,42,29,2,2006,2013,N/A,206970.920505
66,63,42,29,2,2006,2014,N/A,165986.339624
66,63,42,29,2,2006,2015,N/A,194450.633123
66,63,42,29,2,2006,2016,N/A,199375.355954
66,63,42,29,2,2007,2000,N/A,0.0
66,63,42,29,2,2007,2001,N/A,0.0
66,63,42,29,2,2007,2002,N/A,0.0
66,63,42,29,2,2007,2003,N/A,0.0
66,63,42,29,2,2007,2004,N/A,0.0
66,63,42,29,2,2007,2005,N/A,0.0
66,63,42,29,2,2007,2006,N/A,0.0
66,63,42,29,2,2007,2007,N/A,197613.909734
66,63,42,29,2,2007,2008,N/A,196168.71629
66,63,42,29,2,2007,2009,N/A,152310.821155
66,63,42,29,2,2007,2010,N/A,269655.559333
66,63,42,29,2,2007,2011,N/A,242891.108959
66,63,42,29,2,2007,2012,N/A,240625.416591
66,63,42,29,2,2007,2013,N/A,213056.467395
66,63,42,29,2,2007,2014,N/A,172478.924474
66,63,42,29,2,2007,2015,N/A,204733.646903
66,63,42,29,2,2007,2016,N/A,213674.529505
66,63,42,29,2,2008,2000,N/A,0.0
66,63,42,29,2,2008,2001,N/A,0.0
66,63,42,29,2,2008,2002,N/A,0.0
66,63,42,29,2,2008,2003,N/A,0.0
66,63,42,29,2,2008,2004,N/A,0.0
66,63,42,29,2,2008,2005,N/A,0.0
66,63,42,29,2,2008,2006,N/A,0.0
66,63,42,29,2,2008,2007,N/A,0.0
66,63,42,29,2,2008,2008,N/A,196823.757844
66,63,42,29,2,2008,2009,N/A,152832.873422
66,63,42,29,2,2008,2010,N/A,270693.114291
66,63,42,29,2,2008,2011,N/A,244099.786091
66,63,42,29,2,2008,2012,N/A,242379.042908
66,63,42,29,2,2008,2013,N/A,215473.738949
66,63,42,29,2,2008,2014,N/A,175549.347727
66,63,42,29,2,2008,2015,N/A,210344.278851
66,63,42,29,2,2008,2016,N/A,222438.732358
66,63,42,29,2,2009,2000,N/A,0.0
66,63,42,29,2,2009,2001,N/A,0.0
66,63,42,29,2,2009,2002,N/A,0.0
66,63,42,29,2,2009,2003,N/A,0.0
66,63,42,29,2,2009,2004,N/A,0.0
66,63,42,29,2,2009,2005,N/A,0.0
66,63,42,29,2,2009,2006,N/A,0.0
66,63,42,29,2,2009,2007,N/A,0.0
66,63,42,29,2,2009,2008,N/A,0.0
66,63,42,29,2,2009,2009,N/A,154587.698853
66,63,42,29,2,2009,2010,N/A,273825.325343
66,63,42,29,2,2009,2011,N/A,247027.676801
66,63,42,29,2,2009,2012,N/A,245562.039777
66,63,42,29,2,2009,2013,N/A,218805.533067
66,63,42,29,2,2009,2014,N/A,178981.948124
66,63,42,29,2,2009,2015,N/A,215826.254416
66,63,42,29,2,2009,2016,N/A,230389.285512
66,63,42,29,2,2010,2000,N/A,0.0
66,63,42,29,2,2010,2001,N/A,0.0
66,63,42,29,2,2010,2002,N/A,0.0
66,63,42,29,2,2010,2003,N/A,0.0
66,63,42,29,2,2010,2004,N/A,0.0
66,63,42,29,2,2010,2005,N/A,0.0
66,63,42,29,2,2010,2006,N/A,0.0
66,63,42,29,2,2010,2007,N/A,0.0
66,63,42,29,2,2010,2008,N/A,0.0
66,63,42,29,2,2010,2009,N/A,0.0
66,63,42,29,2,2010,2010,N/A,249788.904004
66,63,42,29,2,2010,2011,N/A,225363.403988
66,63,42,29,2,2010,2012,N/A,224120.108197
66,63,42,29,2,2010,2013,N/A,199924.418781
66,63,42,29,2,2010,2014,N/A,163913.437912
66,63,42,29,2,2010,2015,N/A,198452.082456
66,63,42,29,2,2010,2016,N/A,213195.102356
66,63,42,29,2,2011,2000,N/A,0.0
66,63,42,29,2,2011,2001,N/A,0.0
66,63,42,29,2,2011,2002,N/A,0.0
66,63,42,29,2,2011,2003,N/A,0.0
66,63,42,29,2,2011,2004,N/A,0.0
66,63,42,29,2,2011,2005,N/A,0.0
66,63,42,29,2,2011,2006,N/A,0.0
66,63,42,29,2,2011,2007,N/A,0.0
66,63,42,29,2,2011,2008,N/A,0.0
66,63,42,29,2,2011,2009,N/A,0.0
66,63,42,29,2,2011,2010,N/A,0.0
66,63,42,29,2,2011,2011,N/A,202659.757388
66,63,42,29,2,2011,2012,N/A,201559.465367
66,63,42,29,2,2011,2013,N/A,179874.677314
66,63,42,29,2,2011,2014,N/A,147640.904032
66,63,42,29,2,2011,2015,N/A,179161.86864
66,63,42,29,2,2011,2016,N/A,193247.197684
66,63,42,29,2,2012,2000,N/A,0.0
66,63,42,29,2,2012,2001,N/A,0.0
66,63,42,29,2,2012,2002,N/A,0.0
66,63,42,29,2,2012,2003,N/A,0.0
66,63,42,29,2,2012,2004,N/A,0.0
66,63,42,29,2,2012,2005,N/A,0.0
66,63,42,29,2,2012,2006,N/A,0.0
66,63,42,29,2,2012,2007,N/A,0.0
66,63,42,29,2,2012,2008,N/A,0.0
66,63,42,29,2,2012,2009,N/A,0.0
66,63,42,29,2,2012,2010,N/A,0.0
66,63,42,29,2,2012,2011,N/A,0.0
66,63,42,29,2,2012,2012,N/A,181237.312481
66,63,42,29,2,2012,2013,N/A,161753.130028
66,63,42,29,2,2012,2014,N/A,132822.353932
66,63,42,29,2,2012,2015,N/A,161360.789894
66,63,42,29,2,2012,2016,N/A,174446.965353
66,63,42,29,2,2013,2000,N/A,0.0
