census region,air conditioning type,technology,housing types,final_energy,vintage,year,sector,value
66,63,42,28,2,1999,2000,N/A,18318303.631
66,63,42,28,2,1999,2001,N/A,22135040.7106
66,63,42,28,2,1999,2002,N/A,24087485.5064
66,63,42,28,2,1999,2003,N/A,18802057.6346
66,63,42,28,2,1999,2004,N/A,15021484.0669
66,63,42,28,2,1999,2005,N/A,20923659.6427
66,63,42,28,2,1999,2006,N/A,14658459.4202
66,63,42,28,2,1999,2007,N/A,12401955.0624
66,63,42,28,2,1999,2008,N/A,10527541.6801
66,63,42,28,2,1999,2009,N/A,6839671.47552
66,63,42,28,2,1999,2010,N/A,9876340.19615
66,63,42,28,2,1999,2011,N/A,7041677.57745
66,63,42,28,2,1999,2012,N/A,5333693.10081
66,63,42,28,2,1999,2013,N/A,3469895.44348
66,63,42,28,2,1999,2014,N/A,1972356.95535
66,63,42,28,2,1999,2015,N/A,1561488.54498
66,63,42,28,2,1999,2016,N/A,1025758.05377
66,63,42,28,2,2000,2000,N/A,1356911.38072
66,63,42,28,2,2000,2001,N/A,1770795.33618
66,63,42,28,2,2000,2002,N/A,2094343.83969
66,63,42,28,2,2000,2003,N/A,1789464.59571
66,63,42,28,2,2000,2004,N/A,1577179.17431
66,63,42,28,2,2000,2005,N/A,2443840.44596
66,63,42,28,2,2000,2006,N/A,1921122.81126
66,63,42,28,2,2000,2007,N/A,1840006.6818
66,63,42,28,2,2000,2008,N/A,1783766.18686
66,63,42,28,2,2000,2009,N/A,1334957.0719
66,63,42,28,2,2000,2010,N/A,2239002.99638
66,63,42,28,2,2000,2011,N/A,1868945.87153
66,63,42,28,2,2000,2012,N/A,1669782.40599
66,63,42,28,2,2000,2013,N/A,1290410.89553
66,63,42,28,2,2000,2014,N/A,877184.088132
66,63,42,28,2,2000,2015,N/A,835876.752893
66,63,42,28,2,2000,2016,N/A,665126.75125
66,63,42,28,2,2001,2000,N/A,0.0
66,63,42,28,2,2001,2001,N/A,1896128.11274
66,63,42,28,2,2001,2002,N/A,2242774.14643
66,63,42,28,2,2001,2003,N/A,1917089.90059
66,63,42,28,2,2001,2004,N/A,1691563.68724
66,63,42,28,2,2001,2005,N/A,2627108.16547
66,63,42,28,2,2001,2006,N/A,2073510.75944
66,63,42,28,2,2001,2007,N/A,1998637.92229
66,63,42,28,2,2001,2008,N/A,1955829.29749
66,63,42,28,2,2001,2009,N/A,1483120.69199
66,63,42,28,2,2001,2010,N/A,2532009.25077
66,63,42,28,2,2001,2011,N/A,2163038.4223
66,63,42,28,2,2001,2012,N/A,1990360.34601
66,63,42,28,2,2001,2013,N/A,1595747.85122
66,63,42,28,2,2001,2014,N/A,1134707.84705
66,63,42,28,2,2001,2015,N/A,1141660.44009
66,63,42,28,2,2001,2016,N/A,969203.501494
66,63,42,28,2,2002,2000,N/A,0.0
66,63,42,28,2,2002,2001,N/A,0.0
66,63,42,28,2,2002,2002,N/A,2231127.25232
66,63,42,28,2,2002,2003,N/A,1907302.2838
66,63,42,28,2,2002,2004,N/A,1683632.16658
66,63,42,28,2,2002,2005,N/A,2617729.493
66,63,42,28,2,2002,2006,N/A,2070860.7243
66,63,42,28,2,2002,2007,N/A,2004124.88184
66,63,42,28,2,2002,2008,N/A,1973718.27708
66,63,42,28,2,2002,2009,N/A,1510807.06249
66,63,42,28,2,2002,2010,N/A,2613448.66486
66,63,42,28,2,2002,2011,N/A,2272554.66771
66,63,42,28,2,2002,2012,N/A,2140122.89493
66,63,42,28,2,2002,2013,N/A,1767158.85101
66,63,42,28,2,2002,2014,N/A,1303646.36258
66,63,42,28,2,2002,2015,N/A,1372049.42979
66,63,42,28,2,2002,2016,N/A,1229841.57977
66,63,42,28,2,2003,2000,N/A,0.0
66,63,42,28,2,2003,2001,N/A,0.0
66,63,42,28,2,2003,2002,N/A,0.0
66,63,42,28,2,2003,2003,N/A,1892166.04019
