census region,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,5,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500607.253148,500607.186726,500604.487143,500582.750417,500492.081507
66,28,5,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500854.600103,500854.533648,500851.832731,500830.085266
66,28,5,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501399.602887,501399.53636,501396.832504
66,28,5,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502517.252386,502517.18571
66,28,5,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504633.782264
66,28,6,1999,14242609.0426,13661278.0613,13079947.08,12498616.0986,11917285.1174,11335954.1372,10754623.1661,10173292.2516,9591961.6088,9010632.04359,8429306.15615,7847991.3917,7266707.08565,6685499.5335,6104472.21694,5523843.17353,4944048.7024
66,28,6,2000,787275.990687,787275.990687,787275.990687,787275.990684,787275.990586,787275.989169,787275.976778,787275.900177,787275.53223,787274.072894,787269.0922,787254.02874,787212.780005,787108.834909,786864.748224,786325.380992,785195.149246
66,28,6,2001,0.0,787275.990687,787275.990687,787275.990687,787275.990684,787275.990586,787275.989169,787275.976778,787275.900177,787275.53223,787274.072894,787269.0922,787254.02874,787212.780005,787108.834909,786864.748224,786325.380992
66,28,6,2002,0.0,0.0,787275.990687,787275.990687,787275.990687,787275.990684,787275.990586,787275.989169,787275.976778,787275.900177,787275.53223,787274.072894,787269.0922,787254.02874,787212.780005,787108.834909,786864.748224
66,28,6,2003,0.0,0.0,0.0,787275.990688,787275.990688,787275.990688,787275.990685,787275.990587,787275.98917,787275.976779,787275.900178,787275.532231,787274.072895,787269.092201,787254.028741,787212.780006,787108.83491
66,28,6,2004,0.0,0.0,0.0,0.0,787275.990723,787275.990723,787275.990723,787275.99072,787275.990622,787275.989205,787275.976814,787275.900213,787275.532266,787274.07293,787269.092236,787254.028776,787212.780041
66,28,6,2005,0.0,0.0,0.0,0.0,0.0,787275.991237,787275.991237,787275.991237,787275.991234,787275.991137,787275.98972,787275.977328,787275.900727,787275.53278,787274.073444,787269.09275,787254.02929
66,28,6,2006,0.0,0.0,0.0,0.0,0.0,0.0,787275.995802,787275.995802,787275.995802,787275.995799,787275.995702,787275.994285,787275.981894,787275.905292,787275.537345,787274.078009,787269.097315
66,28,6,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787276.024466,787276.024466,787276.024466,787276.024463,787276.024365,787276.022948,787276.010557,787275.933956,787275.566009,787274.106673
66,28,6,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787276.164205,787276.164205,787276.164205,787276.164202,787276.164104,787276.162687,787276.150296,787276.073695,787275.705747
66,28,6,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787276.726001,787276.726001,787276.726001,787276.725998,787276.7259,787276.724483,787276.712092,787276.63549
66,28,6,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787278.666869,787278.666869,787278.666869,787278.666866,787278.666768,787278.665351,787278.65296
66,28,6,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787284.600274,787284.600274,787284.600274,787284.600271,787284.600173,787284.598756
66,28,6,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787301.002017,787301.002017,787301.002017,787301.002014,787301.001916
66,28,6,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787342.675969,787342.675969,787342.675969,787342.675966
66,28,6,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787441.243012,787441.243012,787441.243012
66,28,6,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787660.431696,787660.431696
66,28,6,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788122.333745
66,28,7,1999,9379293.29443,8827570.23268,8275850.14616,7724154.01586,7172557.81246,6621256.20848,6070656.5087,5521504.65925,4975042.69011,4433192.49396,3898753.33656,3375588.94407,2868764.18277,2384572.86013,1930382.09126,1514214.96014,1144016.66944
66,28,7,2000,527420.563314,527420.493334,527417.649158,527394.748179,527299.222898,527017.600147,526346.613772,524962.539053,522391.143918,517982.512572,510897.918895,500119.79036,484499.895279,462863.425438,434184.350797,397835.596926,353891.614558
66,28,7,2001,0.0,551723.058524,551722.985319,551720.010089,551696.053878,551596.126982,551301.527612,550599.623514,549151.773372,546461.89344,541850.121092,534439.083367,523164.32001,506824.691093,484191.255564,454190.705952,416167.073476
66,28,7,2002,0.0,0.0,551722.933901,551722.860697,551719.885467,551695.929261,551596.002388,551301.403084,550599.499144,549151.64933,546461.770006,541849.998699,534438.962648,523164.201838,506824.576611,484191.146196,454190.603359
66,28,7,2003,0.0,0.0,0.0,551722.139553,551722.066349,551719.091123,551695.134952,551595.208223,551300.609343,550598.706414,549150.858684,546460.983233,541849.218566,534438.193185,523163.448608,506823.846907,484190.449077
66,28,7,2004,0.0,0.0,0.0,0.0,551153.09434,551153.021211,551150.049054,551126.117591,551026.293926,550731.998895,550030.819908,548584.465485,545897.364366,541290.356265,533886.974602,522623.858777,506301.10971
66,28,7,2005,0.0,0.0,0.0,0.0,0.0,543532.458498,543532.38638,543529.455319,543505.854749,543407.411317,543117.185419,542425.701433,540999.345338,538349.397996,533806.089676,526505.072449,515397.688497
