intersection_id,geography_map_key_id,value,id
1,2,39319.03608,1
1,3,2926433,2
1,1,1147035,3
1,4,1339175,4
1,5,788196,5
1,6,358835,6
1,7,192140,7
1,8,1286377,8
1,9,1175298,9
1,10,14604,10
1,11,9666,11
1,12,80677,12
1,13,157208,13
1,14,25659,14
1,15,147568,15
1,16,45606,16
1,17,16842,17
1,18,16868,18
1,19,47471,19
1,20,17366,20
1,21,51898,21
1,22,428,22
1,23,44264,23
1,24,115301,24
1,25,153526,25
1,26,13958,26
1,27,84646,27
1,28,63290,28
1,29,68439,29
1,30,111079,30
1,31,98107,31
1,32,43870,32
1,33,18019,33
1,34,17072,34
1,35,5908,35
1,36,17454,36
1,37,9951,37
1,38,75442,38
1,39,12554,39
1,40,75632,40
1,41,25640,41
1,42,27328,42
1,43,66909,43
1,44,49108,44
1,45,35491,45
1,46,132774,46
1,47,160217,47
1,48,6627,48
1,49,75246,49
1,50,52450,50
1,51,91694,51
1,52,77820,52
1,53,54562165509.0,53
1,54,460000000000.0,54
1,55,239000000000.0,55
1,56,3024356,56
1,57,1187763,57
1,58,1388787,58
1,59,815591,59
1,60,372169,60
1,61,118585,61
1,62,322210063,62
1,63,1285310,63
1,64,133686066.0,64
1,65,201766214.0,65
1,66,4034275306.0,66
1,67,253696262.0,67
1,68,42048266.0,68
1,69,1525261738.0,69
1,70,308181315.0,70
1,71,4887257182.0,71
1,72,3922332896.0,72
1,73,3454359392.0,73
1,74,1012371869.0,74
1,75,1650727093.0,75
1,76,371234615.0,76
1,77,21371.772680000002,77
1,78,2822329.55,78
1,79,2843701.3230000003,79
1,80,9217.447979,80
1,81,0.0,81
1,82,215.47179759999997,82
1,83,0.0,83
1,84,8522.176079,84
1,85,7747748.357999999,85
1,86,1167.202352,86
1,87,248353.7076,87
1,88,0.0,88
1,89,407713.7558,89
1,90,3123.960373,90
1,91,1853.971121,91
2,2,12280.41186,92
2,3,1975466,93
2,1,792272,94
2,4,905824,95
2,5,538206,96
2,6,254063,97
2,7,113552,98
2,8,902293,99
2,9,828810,100
2,10,8442,101
2,11,2419,102
2,12,51445,103
2,13,131357,104
2,14,17970,105
2,15,95973,106
2,16,26534,107
2,17,11164,108
2,18,14835,109
2,19,34034,110
2,20,11161,111
2,21,53738,112
2,22,357,113
2,23,31744,114
2,24,74066,115
2,25,110281,116
2,26,9043,117
2,27,58171,118
2,28,42639,119
2,29,43446,120
2,30,73480,121
2,31,68695,122
2,32,34904,123
2,33,20117,124
2,34,19762,125
2,35,4019,126
2,36,13177,127
2,37,8295,128
2,38,50252,129
2,39,10707,130
2,40,53485,131
2,41,17325,132
2,42,15615,133
2,43,46381,134
2,44,35357,135
2,45,23562,136
2,46,90218,137
2,47,108456,138
2,48,3706,139
2,49,45999,140
2,50,33045,141
2,51,71160,142
2,52,54586,143
2,53,39437803856.0,144
2,54,364000000000.0,145
2,55,196000000000.0,146
2,56,2022163,147
2,57,811364,148
2,58,928269,149
2,59,551607,150
2,60,259759,151
2,61,86181,152
2,62,236709090,153
2,63,1015585,154
2,64,97696215.0,155
2,65,142093179.0,156
2,66,2898595359.0,157
2,67,182400780.0,158
2,68,30495165.0,159
2,69,1117878977.0,160
2,70,216888895.0,161
2,71,3503944387.0,162
2,72,2797058167.0,163
2,73,2452874079.0,164
2,74,735888599.0,165
2,75,1223529922.0,166
2,76,282120660.0,167
2,77,14426.85012,168
2,78,881490.8181,169
2,79,895917.6682,170
2,80,6234.723317,171
2,81,0.0,172
2,82,67.29774385,173
2,83,0.0,174
2,84,2661.7090000000003,175
2,85,2419834.012,176
2,86,364.5492626,177
2,87,77567.66492000001,178
2,88,0.0,179
2,89,127340.1726,180
2,90,975.6983852,181
2,91,579.0459586000001,182
3,2,42.0538036,183
3,3,7172,184
3,1,2872,185
3,4,3462,186
3,5,550,187
3,6,2321,188
3,7,590,189
3,8,2126,190
3,9,1788,191
3,10,20,192
3,11,0,193
3,12,80,194
3,13,133,195
3,14,25,196
3,15,228,197
3,16,102,198
3,17,8,199
3,18,12,200
3,19,90,201
3,20,3,202
3,21,108,203
3,22,0,204
3,23,100,205
3,24,115,206
3,25,261,207
3,26,80,208
3,27,290,209
3,28,83,210
3,29,48,211
3,30,338,212
3,31,91,213
3,32,87,214
3,33,18,215
3,34,10,216
3,35,49,217
3,36,6,218
3,37,18,219
3,38,101,220
3,39,36,221
3,40,60,222
3,41,86,223
3,42,22,224
3,43,186,225
3,44,96,226
3,45,52,227
3,46,193,228
3,47,262,229
3,48,21,230
3,49,75,231
3,50,51,232
3,51,126,233
3,52,138,234
3,53,64507593.0,235
3,54,240957386.0,236
3,55,598069128.0,237
3,56,7657,238
3,57,3164,239
3,58,3819,240
3,59,593,241
3,60,2573,242
3,61,910,243
3,62,1908686,244
3,63,14378,245
3,64,159290.0,246
3,65,159284.0,247
3,66,4115268.0,248
3,67,247972.0,249
3,68,48851.0,250
3,69,1369592.0,251
3,70,253694.0,252
3,71,5501135.0,253
3,72,3978761.0,254
3,73,3703191.0,255
3,74,1136151.0,256
3,75,1766331.0,257
3,76,447500.0,258
3,77,52.3771956,259
3,78,3018.631799,260
3,79,3071.008995,261
3,80,23.82870417,262
3,81,0.0,263
3,82,0.230458566,264
3,83,0.0,265
3,84,9.114921292,266
3,85,8286.629590999999,267
3,86,1.248385093,268
3,87,265.62752,269
3,88,0.0,270
3,89,436.0715807,271
3,90,3.341242032,272
3,91,1.9829208740000002,273
4,2,5917.81134,274
4,3,754304,275
4,1,286257,276
4,4,325815,277
4,5,173967,278
4,6,112292,279
4,7,39558,280
4,8,348936,281
4,9,330632,282
4,10,5264,283
4,11,1704,284
4,12,21724,285
4,13,51193,286
4,14,7893,287
4,15,56985,288
4,16,14548,289
4,17,2730,290
4,18,3884,291
4,19,10169,292
4,20,5327,293
4,21,12692,294
4,22,875,295
4,23,10909,296
4,24,32309,297
4,25,38711,298
4,26,3480,299
4,27,23850,300
4,28,16393,301
4,29,9984,302
4,30,18304,303
4,31,28514,304
4,32,14476,305
4,33,6898,306
4,34,3337,307
4,35,2158,308
4,36,4375,309
4,37,2551,310
4,38,22121,311
4,39,3872,312
4,40,17120,313
4,41,6651,314
4,42,5971,315
4,43,21501,316
4,44,12159,317
4,45,10376,318
4,46,39050,319
4,47,42356,320
4,48,2841,321
4,49,18151,322
4,50,11220,323
4,51,30954,324
4,52,23986,325
4,53,14374438108.0,326
4,54,107000000000.0,327
4,55,64535203195.0,328
4,56,804992,329
4,57,305151,330
4,58,346840,331
4,59,185032,332
4,60,120119,333
4,61,30248,334
4,62,128382981,335
4,63,410890,336
4,64,35388222.0,337
4,65,49312123.0,338
4,66,1048356983.0,339
4,67,64423317.0,340
4,68,10821614.0,341
4,69,386706914.0,342
4,70,75312092.0,343
4,71,1222804217.0,344
4,72,996013495.0,345
4,73,867668648.0,346
4,74,263971341.0,347
4,75,440228227.0,348
4,76,103893102.0,349
4,77,7248.701809,350
4,78,555567.9769,351
4,79,562816.6787,352
4,80,2016.4142809999998,353
4,81,0.0,354
4,82,2550.5555480000003,355
4,83,0.0,356
4,84,1602.286359,357
4,85,1456668.935,358
4,86,118.4361588,359
4,87,25200.05035,360
4,88,0.0,361
4,89,70039.11102000001,362
4,90,678.8631379,363
4,91,364.1104111,364
5,2,47128.85445,365
5,3,2259315,366
5,1,902292,367
5,4,1045092,368
5,5,586983,369
5,6,315313,370
5,7,142800,371
5,8,995219,372
5,9,926476,373
5,10,25472,374
5,11,8922,375
5,12,63168,376
5,13,121531,377
5,14,20292,378
5,15,112893,379
5,16,41628,380
5,17,11749,381
5,18,16010,382
5,19,31746,383
5,20,12451,384
5,21,31400,385
5,22,282,386
5,23,33215,387
5,24,88927,388
5,25,139984,389
5,26,12070,390
5,27,62122,391
5,28,46533,392
5,29,46069,393
5,30,68745,394
5,31,73786,395
5,32,29916,396
5,33,10761,397
5,34,9560,398
5,35,5169,399
5,36,14406,400
5,37,7666,401
5,38,58985,402
5,39,10292,403
5,40,62100,404
5,41,25479,405
5,42,17803,406
5,43,52650,407
5,44,40269,408
5,45,31354,409
5,46,98416,410
5,47,128249,411
5,48,12396,412
5,49,53887,413
5,50,37532,414
5,51,78326,415
5,52,67471,416
5,53,41143989540.0,417
5,54,328000000000.0,418
5,55,167000000000.0,419
5,56,2316227,420
5,57,926653,421
5,58,1075119,422
5,59,602394,423
5,60,324256,424
5,61,96186,425
5,62,252470756,426
5,63,1062090,427
5,64,97777235.0,428
5,65,153410517.0,429
5,66,2953991116.0,430
5,67,186805082.0,431
5,68,31364247.0,432
5,69,1117655037.0,433
5,70,233106774.0,434
5,71,3620607851.0,435
5,72,2900454840.0,436
5,73,2559147864.0,437
5,74,747217701.0,438
5,75,1204315086.0,439
5,76,267653714.0,440
5,77,21711.53902,441
5,78,4424487.5030000005,442
5,79,4446199.041999999,443
5,80,6467.898758,444
5,81,0.0,445
5,82,20312.36791,446
5,83,0.0,447
5,84,12760.44745,448
5,85,11600764.92,449
5,86,943.2136594000001,450
5,87,200690.667,451
5,88,0.0,452
5,89,557784.4374,453
5,90,5406.397767,454
5,91,2899.738701,455
6,2,4963.711303,456
6,3,3597738,457
6,1,1382159,458
6,4,1503630,459
6,5,897245,460
6,6,484912,461
6,7,121471,462
6,8,1949324,463
6,9,1799326,464
6,10,6311,465
6,11,1258,466
6,12,103914,467
6,13,198701,468
6,14,42496,469
6,15,201391,470
6,16,50842,471
6,17,13015,472
6,18,36244,473
6,19,131216,474
6,20,31215,475
6,21,129969,476
6,22,2608,477
6,23,76868,478
6,24,186629,479
6,25,276369,480
6,26,46514,481
6,27,109763,482
6,28,87670,483
6,29,66336,484
6,30,149994,485
6,31,178749,486
6,32,109831,487
6,33,50452,488
6,34,36252,489
6,35,17932,490
6,36,34540,491
6,37,26120,492
6,38,128982,493
6,39,35339,494
6,40,106022,495
6,41,50951,496
6,42,33575,497
6,43,97343,498
6,44,71750,499
6,45,71080,500
6,46,194128,501
6,47,240189,502
6,48,5174,503
6,49,82638,504
6,50,54863,505
6,51,95538,506
6,52,77873,507
6,53,93516810261.0,508
