vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2009,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,31,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011,31,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,31,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2013,31,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2014,31,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2015,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2016,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
