vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,31,0.888888888889,0.777777777778,0.666666666667,0.555555555556,0.444444444444,0.333333333333,0.222222222222,0.111111111111
2009,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
