census division,housing types,vintage,value
56,28,2009,0.392821132
56,29,2009,0.11376795
56,30,2009,0.0
57,28,2009,0.136722383
57,29,2009,0.123172333
57,30,2009,0.017976763
58,28,2009,0.000967215
58,29,2009,0.0
58,30,2009,0.0
59,28,2009,0.0
59,29,2009,0.0
59,30,2009,0.0
60,28,2009,0.00432957
60,29,2009,0.0
60,30,2009,0.0
61,28,2009,0.0
61,29,2009,0.0
61,30,2009,0.0
62,28,2009,0.0
62,29,2009,0.0
62,30,2009,0.0
63,28,2009,0.0
63,29,2009,0.0
63,30,2009,0.0
64,28,2009,0.000732003
64,29,2009,0.0
64,30,2009,0.0
