census region,housing types,technology,vintage,2009,2010,2011,2012,2013,2014,2015,2016
66,29,31,2012,0.0,0.0,0.0,9418561.65672,9418561.65672,9418561.65672,9418561.65672,9418561.65672
66,29,31,2013,0.0,0.0,0.0,0.0,1066045.29142,1066045.29142,1066045.29142,1066045.29142
66,29,31,2014,0.0,0.0,0.0,0.0,0.0,12764739.9457,12764739.9457,12764739.9457
66,29,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49946698.5611
66,29,33,2009,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675,7025146.59675
66,29,33,2010,0.0,795145.238092,795145.238092,795145.238092,795145.238092,795145.238092,795145.238092,795145.238092
66,29,33,2011,0.0,0.0,9577339.59058,9577339.59058,9577339.59058,9577339.59058,9577339.59058,9577339.59058
66,29,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,33,2013,0.0,0.0,0.0,0.0,37270918.0285,37270918.0285,37270918.0285,37270918.0285
66,29,33,2014,0.0,0.0,0.0,0.0,0.0,6989682.21429,6989682.21429,6989682.21429
66,29,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,791131.181666,791131.181666
66,29,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9588312.72301
66,29,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2010,0.0,19568341.7485,19568341.7485,19568341.7485,19568341.7485,19568341.7485,19568341.7485,19568341.7485
66,29,35,2011,0.0,0.0,3669791.28815,3669791.28815,3669791.28815,3669791.28815,3669791.28815,3669791.28815
66,29,35,2012,0.0,0.0,0.0,415367.427195,415367.427195,415367.427195,415367.427195,415367.427195
66,29,35,2013,0.0,0.0,0.0,0.0,5065015.00101,5065015.00101,5065015.00101,5065015.00101
66,29,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,19629374.3386,19629374.3386
66,29,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681237.16692
66,29,38,2009,4769263.96085,4769263.96085,4769263.96085,4769263.96085,4769263.96085,4769263.96085,4769263.96085,4769263.96085
66,29,38,2010,0.0,58251408.5664,58251408.5664,58251408.5664,58251408.5664,58251408.5664,58251408.5664,58251408.5664
66,29,38,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,29,38,2012,0.0,0.0,0.0,224059209.352,224059209.352,224059209.352,224059209.352,224059209.352
66,29,38,2013,0.0,0.0,0.0,0.0,42019428.3746,42019428.3746,42019428.3746,42019428.3746
66,29,38,2014,0.0,0.0,0.0,0.0,0.0,4755993.04858,4755993.04858,4755993.04858
66,29,38,2015,0.0,0.0,0.0,0.0,0.0,0.0,58712174.5852,58712174.5852
66,29,38,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2009,515264.551923,515264.551923,515264.551923,515264.551923,515264.551923,515264.551923,515264.551923,515264.551923
66,30,29,2010,0.0,43092.9847931,43092.9847931,43092.9847931,43092.9847931,43092.9847931,43092.9847931,43092.9847931
66,30,29,2011,0.0,0.0,402521.142114,402521.142114,402521.142114,402521.142114,402521.142114,402521.142114
66,30,29,2012,0.0,0.0,0.0,2051835.20846,2051835.20846,2051835.20846,2051835.20846,2051835.20846
66,30,29,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,29,2014,0.0,0.0,0.0,0.0,0.0,535845.480728,535845.480728,535845.480728
66,30,29,2015,0.0,0.0,0.0,0.0,0.0,0.0,44814.2242006,44814.2242006
66,30,29,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418598.822866
66,30,31,2009,2735785.15421,2735785.15421,2735785.15421,2735785.15421,2735785.15421,2735785.15421,2735785.15421,2735785.15421
66,30,31,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2011,0.0,0.0,705085.601629,705085.601629,705085.601629,705085.601629,705085.601629,705085.601629
66,30,31,2012,0.0,0.0,0.0,58968.2387338,58968.2387338,58968.2387338,58968.2387338,58968.2387338
66,30,31,2013,0.0,0.0,0.0,0.0,550808.047239,550808.047239,550808.047239,550808.047239
66,30,31,2014,0.0,0.0,0.0,0.0,0.0,2735871.03856,2735871.03856,2735871.03856
66,30,31,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,31,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700225.938614
66,30,33,2009,43921.3588609,43921.3588609,43921.3588609,43921.3588609,43921.3588609,43921.3588609,43921.3588609,43921.3588609
66,30,33,2010,0.0,410258.783809,410258.783809,410258.783809,410258.783809,410258.783809,410258.783809,410258.783809
66,30,33,2011,0.0,0.0,2052223.70447,2052223.70447,2052223.70447,2052223.70447,2052223.70447,2052223.70447
66,30,33,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,33,2013,0.0,0.0,0.0,0.0,521622.793049,521622.793049,521622.793049,521622.793049
66,30,33,2014,0.0,0.0,0.0,0.0,0.0,43624.7419015,43624.7419015,43624.7419015
66,30,33,2015,0.0,0.0,0.0,0.0,0.0,0.0,407488.156574,407488.156574
66,30,33,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053174.4869
66,30,35,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2010,0.0,273366.043689,273366.043689,273366.043689,273366.043689,273366.043689,273366.043689,273366.043689
66,30,35,2011,0.0,0.0,22862.3504561,22862.3504561,22862.3504561,22862.3504561,22862.3504561,22862.3504561
66,30,35,2012,0.0,0.0,0.0,213551.682743,213551.682743,213551.682743,213551.682743,213551.682743
66,30,35,2013,0.0,0.0,0.0,0.0,1082967.36341,1082967.36341,1082967.36341,1082967.36341
66,30,35,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,30,35,2015,0.0,0.0,0.0,0.0,0.0,0.0,273970.430006,273970.430006
66,30,35,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22912.896938
