census region,air conditioning type,technology,housing types,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,42,28,2,1999,0.329594938641,0.303698274973,0.278159925332,0.253006096364,0.228427072921,0.204211248681,0.180174819973,0.156417179208,0.133322812791,0.111112350533,0.0902766129229,0.0711813375011,0.0541132748371,0.0393881051254,0.0272286015419,0.0177030160671,0.0107203421429
66,63,42,28,2,2000,0.0244144399109,0.0242957533243,0.0241852777001,0.0240795694142,0.0239836770225,0.0238514541704,0.0236135290034,0.0232067164768,0.0225899580948,0.0216867460156,0.0204660433747,0.0188923825878,0.0169408686525,0.0146479456906,0.01210962141,0.00947655980832,0.00695133351924
66,63,42,28,2,2001,0.0,0.0260153502537,0.0258993363563,0.0257969335885,0.0257230870141,0.0256401149727,0.0254866092735,0.0252074212888,0.0247689984238,0.0240937049098,0.0231443241635,0.0218652396779,0.0201933096623,0.0181139418006,0.0156647648134,0.0129433118027,0.0101292825379
66,63,42,28,2,2002,0.0,0.0,0.0257648391629,0.0256652284972,0.025602474827,0.0255485807742,0.0254540363004,0.0252766244693,0.0249955479023,0.0245434776386,0.0238887370044,0.0229722930386,0.0217127337868,0.0200596933627,0.0179969793306,0.0155552938114,0.012853247867
66,63,42,28,2,2003,0.0,0.0,0.0,0.025461550688,0.0254015321207,0.0253586749005,0.0252932353998,0.0251747165522,0.0249950628113,0.0246996744804,0.0242675881893,0.0236457965394,0.0227491685271,0.0215095937263,0.0198752158947,0.0178219357062,0.0154044644021
66,63,42,28,2,2004,0.0,0.0,0.0,0.0,0.0248715346466,0.0248317585469,0.0247780496053,0.0246896692684,0.0245698611251,0.0243773087171,0.024103754931,0.0237077496101,0.0231109652684,0.0222426323775,0.0210340415989,0.0194254042637,0.0174191200822
66,63,42,28,2,2005,0.0,0.0,0.0,0.0,0.0,0.0245675465062,0.0245165681877,0.0244393495828,0.0243480970309,0.0242128474465,0.0240375870428,0.0237935945873,0.0234134874805,0.0228323377413,0.0219780088581,0.0207726822736,0.0191846131091
66,63,42,28,2,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0246925308084,0.0246169259767,0.0245352795938,0.0244264190907,0.0243053900308,0.0241556006225,0.0239214471669,0.0235477826673,0.0229669939735,0.0220958040766,0.0208846486987
66,63,42,28,2,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249807757288,0.024900115508,0.0248000162813,0.0247048776409,0.0246091004823,0.024468728762,0.0242402745887,0.0238654687843,0.0232643968183,0.0223826024243
66,63,42,28,2,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02498364527,0.0248854018893,0.0248003158309,0.0247319405968,0.0246474303652,0.0245156738495,0.0242906887023,0.0239023142887,0.0233010187666
66,63,42,28,2,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025171431549,0.0250875769658,0.0250288855525,0.0249714014648,0.0248950435243,0.0247659471368,0.0245255426191,0.024134142833
66,63,42,28,2,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228859547865,0.0228344249931,0.0227915203068,0.0227473714581,0.0226814626681,0.0225517785962,0.0223335423245
66,63,42,28,2,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205346157581,0.0204978375213,0.0204666980154,0.0204303388856,0.0203602496283,0.0202444494032
66,63,42,28,2,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184314768223,0.0184050973728,0.0183800936457,0.0183376296956,0.0182752722746
66,63,42,28,2,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016389846077,0.01636902172,0.0163380422624,0.0163007889105
66,63,42,28,2,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164073205239,0.0163777109556,0.0163472092567
66,63,42,28,2,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165858424156,0.0165564112049
66,63,42,28,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166283935548
66,63,42,29,2,1999,0.329609953333,0.303725811741,0.278197593333,0.253051626506,0.228478399249,0.204266338009,0.180231569999,0.15647349579,0.133376808097,0.111162263348,0.0903210877891,0.0712194085776,0.0541443660711,0.0394121564868,0.0272460770391,0.0177148189381,0.0107276878452
66,63,42,29,2,2000,0.0243994252189,0.0242819070386,0.0241725758797,0.0240679948629,0.0239732208351,0.0238421299458,0.0236053645503,0.0231997378904,0.0225841798563,0.0216821570231,0.0204626011593,0.0188900016919,0.0169394060063,0.0146472089648,0.012109389699,0.00947661437166,0.00695150203204
66,63,42,29,2,2001,0.0,0.026001659772,0.0258868651302,0.0257856599123,0.0257129956969,0.0256312111387,0.0254789101739,0.0252009418971,0.0247637445501,0.0240896588877,0.023141442355,0.0218634391753,0.0201924482582,0.0181138220039,0.0156651493662,0.012943951748,0.0101299705901
66,63,42,29,2,2002,0.0,0.0,0.0257523442088,0.0256539242246,0.0255923428844,0.0255396209656,0.0254462596004,0.0252700404548,0.0249901601013,0.0245392717632,0.023885680428,0.022970322443,0.0217117329599,0.020059491768,0.017997359293,0.0155560094442,0.0128540767802
