census region,year,housing types,value
66,2009,28,12577359.0
66,2009,29,7566402.0
66,2009,30,510487.0
66,2010,28,12619305.1609
66,2010,29,7591636.35289
66,2010,30,512189.501282
66,2011,28,12647688.8585
66,2011,29,7608711.67581
66,2011,30,513341.532376
66,2012,28,12670292.2065
66,2012,29,7622309.60347
66,2012,30,514258.951949
66,2013,28,12688371.704
66,2013,29,7633186.03194
66,2013,30,514992.758499
66,2014,28,12704447.1651
66,2014,29,7642856.85404
66,2014,30,515645.225676
66,2015,28,12727366.342
66,2015,29,7656644.78089
66,2015,30,516575.46404
66,2016,28,12749958.3293
66,2016,29,7670235.87405
66,2016,30,517492.422506
67,2009,28,19140904.0
67,2009,29,5514486.0
67,2009,30,1050743.0
67,2010,28,19199619.7631
67,2010,29,5531401.98544
67,2010,30,1053966.21125
67,2011,28,19242626.8857
67,2011,29,5543792.31851
67,2011,30,1056327.09415
67,2012,28,19282075.824
67,2012,29,5555157.54022
67,2012,30,1058492.64996
67,2013,28,19319717.0672
67,2013,29,5566001.9658
67,2013,30,1060558.97205
67,2014,28,19357246.7597
67,2014,29,5576814.25366
67,2014,30,1062619.17055
67,2015,28,19405376.6382
67,2015,29,5590680.45041
67,2015,30,1065261.26796
67,2016,28,19452614.1103
67,2016,29,5604289.54529
67,2016,30,1067854.37658
68,2009,28,29638887.0
68,2009,29,8388200.0
68,2009,30,3882733.0
68,2010,28,29964867.9229
68,2010,29,8480456.94531
68,2010,30,3925436.92767
68,2011,28,30267648.3781
68,2011,29,8566147.84912
68,2011,30,3965101.5637
68,2012,28,30569953.8632
68,2012,29,8651704.33004
68,2012,30,4004703.97803
68,2013,28,30879697.0685
68,2013,29,8739365.78489
68,2013,30,4045280.74343
68,2014,28,31201886.0589
68,2014,29,8830549.56278
68,2014,30,4087487.92298
68,2015,28,31550816.9156
68,2015,29,8929301.64521
68,2015,30,4133198.32203
68,2016,28,31905930.2141
68,2016,29,9029803.44106
68,2016,30,4179718.62904
69,2009,28,16959525.0
69,2009,29,6385236.0
69,2009,30,1399502.0
69,2010,28,17160672.3521
69,2010,29,6460967.67964
69,2010,30,1416100.70318
69,2011,28,17352057.9782
69,2011,29,6533024.08389
69,2011,30,1431893.86758
69,2012,28,17544325.4458
69,2012,29,6605412.50018
69,2012,30,1447759.80165
69,2013,28,17739070.5808
69,2013,29,6678733.75459
69,2013,30,1463830.19312
69,2014,28,17936094.7917
69,2014,29,6752913.07766
69,2014,30,1480088.6542
69,2015,28,18140937.3673
69,2015,29,6830036.00346
69,2015,30,1496992.28766
69,2016,28,18344791.713
69,2016,29,6906786.86215
69,2016,30,1513814.37227
