census region,year,housing types,value
66,2009,28,0.0
66,2009,29,0.0
66,2009,30,0.0
66,2010,28,41946.1608679
66,2010,29,25234.3528942
66,2010,30,1702.5012821
66,2011,28,28383.6976091
66,2011,29,17075.3229161
66,2011,30,1152.03109344
66,2012,28,22603.348048
66,2012,29,13597.9276633
66,2012,30,917.419573931
66,2013,28,18079.4974284
66,2013,29,10876.4284697
66,2013,30,733.806549032
66,2014,28,16075.4611419
66,2014,29,9670.82209666
66,2014,30,652.467177881
66,2015,28,22919.1768958
66,2015,29,13787.9268536
66,2015,30,930.238363716
66,2016,28,22591.987298
66,2016,29,13591.09316
66,2016,30,916.958466385
67,2009,28,0.0
67,2009,29,0.0
67,2009,30,0.0
67,2010,28,58715.7630739
67,2010,29,16915.9854441
67,2010,30,3223.21124642
67,2011,28,43007.1226412
67,2011,29,12390.333064
67,2011,30,2360.88290633
67,2012,28,39448.938246
67,2012,29,11365.2217091
67,2012,30,2165.55580235
67,2013,28,37641.24328
67,2013,29,10844.4255867
67,2013,30,2066.32209679
67,2014,28,37529.6924831
67,2014,29,10812.2878513
67,2014,30,2060.19849787
67,2015,28,48129.8784706
67,2015,29,13866.1967589
67,2015,30,2642.09741054
67,2016,28,47237.4720949
67,2016,29,13609.0948757
67,2016,30,2593.10861919
68,2009,28,0.0
68,2009,29,0.0
68,2009,30,0.0
68,2010,28,325980.92285
68,2010,29,92256.9453115
68,2010,30,42703.9276651
68,2011,28,302780.455281
68,2011,29,85690.9038111
68,2011,30,39664.6360396
68,2012,28,302305.485078
68,2012,29,85556.4809142
68,2012,30,39602.4143212
68,2013,28,309743.205278
68,2013,29,87661.4548485
68,2013,30,40576.7654048
68,2014,28,322188.990412
68,2014,29,91183.7778987
68,2014,30,42207.1795513
68,2015,28,348930.856687
68,2015,29,98752.0824268
68,2015,30,45710.3990436
68,2016,28,355113.298495
68,2016,29,100501.795848
68,2016,30,46520.3070144
69,2009,28,0.0
69,2009,29,0.0
69,2009,30,0.0
69,2010,28,201147.352124
69,2010,29,75731.6796365
69,2010,30,16598.7031826
69,2011,28,191385.62604
69,2011,29,72056.4042493
69,2011,30,15793.1643967
69,2012,28,192267.467607
69,2012,29,72388.4162908
69,2012,30,15865.9340666
69,2013,28,194745.135066
69,2013,29,73321.2544128
69,2013,30,16070.391477
69,2014,28,197024.210857
69,2014,29,74179.323067
69,2014,30,16258.4610797
69,2015,28,204842.575633
69,2015,29,77122.9258051
69,2015,30,16903.6334616
69,2016,28,203854.345674
69,2016,29,76750.8586916
69,2016,30,16822.084609
