census division,housing types,technology,year,value
56,28,29,2009,1024484.0
56,28,31,2009,1312131.0
56,28,33,2009,139395.0
56,28,35,2009,858403.0
56,28,38,2009,5863.0
56,29,29,2009,1280168.0
56,29,31,2009,233459.0
56,29,33,2009,53166.0
56,29,35,2009,485270.0
56,29,38,2009,0.0
56,30,29,2009,14153.0
56,30,31,2009,0.0
56,30,33,2009,7475.0
56,30,35,2009,62809.0
56,30,38,2009,0.0
57,28,29,2009,5437710.0
57,28,31,2009,1262916.0
57,28,33,2009,380341.0
57,28,35,2009,2156116.0
57,28,38,2009,0.0
57,29,29,2009,3587206.0
57,29,31,2009,679214.0
57,29,33,2009,50703.0
57,29,35,2009,1197216.0
57,29,38,2009,0.0
57,30,29,2009,65568.0
57,30,31,2009,7659.0
57,30,33,2009,57803.0
57,30,35,2009,295020.0
57,30,38,2009,0.0
58,28,29,2009,9173904.0
58,28,31,2009,12582.0
58,28,33,2009,556587.0
58,28,35,2009,3265406.0
58,28,38,2009,0.0
58,29,29,2009,2703876.0
58,29,31,2009,0.0
58,29,33,2009,98176.0
58,29,35,2009,1272458.0
58,29,38,2009,42609.0
58,30,29,2009,222822.0
58,30,31,2009,0.0
58,30,33,2009,44858.0
58,30,35,2009,279246.0
58,30,38,2009,0.0
59,28,29,2009,3746899.0
59,28,31,2009,0.0
59,28,33,2009,488005.0
59,28,35,2009,1897521.0
59,28,38,2009,0.0
59,29,29,2009,777920.0
59,29,31,2009,0.0
59,29,33,2009,13829.0
59,29,35,2009,605618.0
59,29,38,2009,0.0
59,30,29,2009,178956.0
59,30,31,2009,0.0
59,30,33,2009,50504.0
59,30,35,2009,274357.0
59,30,38,2009,0.0
60,28,29,2009,4426263.0
60,28,31,2009,65447.0
60,28,33,2009,400789.0
60,28,35,2009,10195786.0
60,28,38,2009,27998.0
60,29,29,2009,1048247.0
60,29,31,2009,0.0
60,29,33,2009,14467.0
60,29,35,2009,3577258.0
60,29,38,2009,0.0
60,30,29,2009,37074.0
60,30,31,2009,0.0
60,30,33,2009,20056.0
60,30,35,2009,2334755.0
60,30,38,2009,0.0
61,28,29,2009,1774705.0
61,28,31,2009,0.0
61,28,33,2009,177542.0
61,28,35,2009,3527777.0
61,28,38,2009,0.0
61,29,29,2009,196013.0
61,29,31,2009,0.0
61,29,33,2009,0.0
61,29,35,2009,749832.0
61,29,38,2009,0.0
61,30,29,2009,34045.0
61,30,31,2009,0.0
61,30,33,2009,0.0
61,30,35,2009,624426.0
61,30,38,2009,0.0
62,28,29,2009,5186040.0
62,28,31,2009,0.0
62,28,33,2009,382770.0
62,28,35,2009,3473770.0
62,28,38,2009,0.0
62,29,29,2009,758853.0
62,29,31,2009,0.0
62,29,33,2009,0.0
62,29,35,2009,2043530.0
62,29,38,2009,0.0
62,30,29,2009,107058.0
62,30,31,2009,0.0
62,30,33,2009,32829.0
62,30,35,2009,692490.0
62,30,38,2009,0.0
63,28,29,2009,3902415.0
63,28,31,2009,0.0
63,28,33,2009,369899.0
63,28,35,2009,1702092.0
63,28,38,2009,32975.0
63,29,29,2009,674330.0
63,29,31,2009,0.0
63,29,33,2009,60317.0
63,29,35,2009,523871.0
63,29,38,2009,0.0
63,30,29,2009,252519.0
63,30,31,2009,0.0
63,30,33,2009,104512.0
63,30,35,2009,273758.0
63,30,38,2009,0.0
64,28,29,2009,8141091.0
64,28,31,2009,8017.0
64,28,33,2009,337683.0
64,28,35,2009,2410976.0
64,28,38,2009,54377.0
64,29,29,2009,3347512.0
64,29,31,2009,0.0
64,29,33,2009,191859.0
64,29,35,2009,1575711.0
64,29,38,2009,11636.0
64,30,29,2009,215603.0
64,30,31,2009,0.0
64,30,33,2009,144889.0
64,30,35,2009,408221.0
64,30,38,2009,0.0
