us,year,value
65,1995,5401.0
65,1996,5066.0
65,1997,5166.0
65,1998,5325.0
65,1999,5289.0
65,2000,5574.0
65,2001,5571.0
65,2002,5314.0
65,2003,5679.932719
65,2004,5511.0
65,2005,5381.0
65,2006,5410.0
65,2007,5784.0
65,2008,6179.0
