id,name
92,SEDS Inudstrial Data (Allocation)
93,Rail Fuel Use (Allocation)
94,Aviation Fuel Use (Allocation)
95,Marine Fuel Use (Allocation)
96,LDV VMT (Allocation)
97,LDT VMT (Allocation)
98,HDV VMT
99,Total LD VMT (Allocation)
