intersection_id,geography_map_key_id,value,id
1,92,278.054849705,14106
2,92,1298.7498683,14107
3,92,454102.562246,14108
4,92,33.0568260067,14109
5,92,328665.013627,14110
6,92,14089.9744554,14111
7,92,105.17542402,14112
8,92,114083.899817,14113
9,92,53419.255206,14114
10,92,76.0193341465,14115
11,92,239304.307693,14116
12,92,8012.66602646,14117
13,92,5.45605672303,14118
14,92,139350.341411,14119
15,92,4633.63182508,14120
16,92,274619.931524,14121
17,92,64.7572105692,14122
18,92,111644.856034,14123
19,92,149241.318934,14124
20,92,228629.975444,14125
21,92,128866.244429,14126
22,92,178709.755571,14127
23,92,7.7967600262,14128
24,92,5563.4123363,14129
25,92,55391.7246429,14130
26,92,111319.355097,14131
27,92,0.0,14132
28,92,8.62020676692,14133
29,92,108865.600067,14134
30,92,22129.4889611,14135
31,92,121568.21255,14136
32,92,1289.68467515,14137
33,92,19568.8510492,14138
34,92,36318.6551504,14139
35,92,153690.48731,14140
36,92,352439.0,14141
37,92,416.012838541,14142
38,92,103.135902893,14143
39,92,83028.1489508,14144
40,92,81141.4928524,14145
41,92,12645.9841824,14146
42,92,704.512689898,14147
43,92,0.0,14148
44,92,161563.277509,14149
45,92,136913.829578,14150
46,92,42.7389585839,14151
47,92,355.866404053,14152
48,92,10.7224909913,14153
49,92,3755.03420062,14154
50,92,5998.13915542,14155
51,92,81.4504983756,14156
52,92,0.0,14157
53,92,74.7352097869,14158
54,92,3544.18434334,14159
55,92,297279.864097,14160
56,92,84062.5413646,14161
57,92,2.78455715221,14162
58,92,1450034.90299,14163
59,92,17806.6470897,14164
60,92,18.6268616486,14165
61,92,18.6268616486,14166
62,92,81682.8352053,14167
63,92,161.427497477,14168
64,92,524779.681238,14169
65,92,2182.88943891,14170
66,92,463685.446508,14171
67,92,148768.087272,14172
68,92,95742.0688737,14173
69,92,55880.5849458,14174
70,92,193913.164795,14175
71,92,2260063.31876,14176
72,92,27739.7812482,14177
73,92,21.0817618626,14178
74,92,3960.68314534,14179
75,92,232747.293015,14180
76,92,814.925197126,14181
77,92,50030.3891871,14182
78,92,101419.0,14183
79,92,91327.0,14184
80,92,21519.0,14185
81,92,1.06842647075,14186
82,92,13197.0,14187
83,92,11608.0,14188
84,92,15.6108128776,14189
85,92,65037.9684121,14190
86,92,67481.0,14191
87,92,0.0,14192
88,92,58467.2863417,14193
89,92,170156.86858,14194
90,92,42.7370588302,14195
91,92,766497.509624,14196
92,92,1798.73899784,14197
93,92,23.0071240043,14198
94,92,319147.333974,14199
95,92,309685.943174,14200
96,92,0.0,14201
97,92,4.34992086464,14202
98,92,200914.636685,14203
99,92,1200.97410464,14204
100,92,303010.315602,14205
101,92,6.960074321,14206
102,92,0.0,14207
103,92,8884.58956775,14208
104,92,24135.4104323,14209
105,92,3868.28754781,14210
106,92,2541.65156248,14211
107,92,1423.00397496,14212
108,92,137571.972839,14213
109,92,1774.50714761,14214
110,92,1785.26194399,14215
111,92,20660.0125795,14216
112,92,3970.36441779,14217
113,92,698.629057674,14218
114,92,10.3784730751,14219
115,92,14664.7181217,14220
116,92,389515.425219,14221
117,92,449.157251415,14222
118,92,411193.0,14223
119,92,174987.253357,14224
120,92,227995.248462,14225
121,92,64142.4964268,14226
122,92,57084.6504023,14227
123,92,592714.308931,14228
124,92,154399.376758,14229
125,92,703746.17033,14230
126,92,33035.8558468,14231
127,92,9322.36373747,14232
128,92,10004.8480444,14233
129,92,783090.543943,14234
130,92,201670.894236,14235
131,92,87070.9924916,14236
132,92,190824.025895,14237
133,92,137476.742508,14238
134,92,244.475687531,14239
135,92,1928.66624645,14240
136,92,173883.321385,14241
137,92,56.3106178863,14242
138,92,15779.5747813,14243
139,92,11.5047382367,14244
140,92,161247.140609,14245
141,92,167.884597376,14246
142,92,247899.687905,14247
143,92,34664.9699525,14248
144,92,782.66040915,14249
145,92,442425.658462,14250
146,92,4899.13141994,14251
147,92,124462.424147,14252
148,92,175.596139897,14253
149,92,3099.54449011,14254
150,92,4.65671541215,14255
151,92,15.811321397,14256
152,92,4597742.76817,14257
153,92,1429.61163153,14258
154,92,204555.537909,14259
155,92,30829.8019558,14260
1,93,83606904570.7,14261
2,93,3.6555877416e+11,14262
3,93,6.64704634842e+13,14263
4,93,490026080.214,14264
5,93,3.73821224495e+13,14265
6,93,3.9131405143e+12,14266
7,93,1872961396.59,14267
8,93,9.89125533315e+12,14268
9,93,2.83191763164e+12,14269
10,93,23443167416.6,14270
11,93,5.66224457892e+13,14271
12,93,1.55297161708e+12,14272
13,93,1997388536.76,14273
14,93,1.97488347897e+13,14274
15,93,8.23178526295e+11,14275
16,93,2.17492706459e+13,14276
17,93,7213282282.02,14277
18,93,1.40140887634e+13,14278
19,93,1.62071384268e+13,14279
20,93,5.65760490205e+13,14280
21,93,3.26129728481e+12,14281
22,93,1.01070271519e+12,14282
23,93,1137997537.21,14283
24,93,1.41629702142e+12,14284
25,93,7253533264.39,14285
26,93,1.71826248144e+13,14286
27,93,0.0,14287
28,93,7583591.86487,14288
29,93,1.81332674673e+13,14289
30,93,7.49534154136e+12,14290
31,93,1.56580921179e+13,14291
32,93,3.17310582972e+11,14292
33,93,6.23725741361e+12,14293
34,93,2738883143.74,14294
35,93,9.67611311325e+13,14295
36,93,8.209e+13,14296
37,93,1.22416020789e+11,14297
38,93,53145973268.5,14298
39,93,3.57677425864e+13,14299
40,93,6.21704736434e+13,14300
41,93,2.63291082181e+12,14301
42,93,4.198688675e+11,14302
43,93,3647281020.6,14303
44,93,2.82259778521e+13,14304
