census region,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,5,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51530770.8788,51530770.8788,51530770.8788
66,28,5,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2000,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171,1334302.2171
66,28,6,2001,0.0,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616,1010662.58616
66,28,6,2002,0.0,0.0,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761,2390415.6761
66,28,6,2003,0.0,0.0,0.0,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284,6951052.72284
66,28,6,2004,0.0,0.0,0.0,0.0,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618,640884.653618
66,28,6,2005,0.0,0.0,0.0,0.0,0.0,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276,13544255.8276
66,28,6,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86947702.2052,86947702.2052,86947702.2052,86947702.2052,86947702.2052,86947702.2052,86947702.2052,86947702.2052,86947702.2052
66,28,6,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332926.02021,1332926.02021,1332926.02021,1332926.02021,1332926.02021,1332926.02021
66,28,6,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010662.5862,1010662.5862,1010662.5862,1010662.5862,1010662.5862
66,28,6,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2387950.20571,2387950.20571,2387950.20571,2387950.20571
66,28,6,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6951052.72315,6951052.72315,6951052.72315
66,28,6,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640223.646349,640223.646349
66,28,6,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13544779.6755
