census region,housing types,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,-0.0210153903992,-0.018535027283,-0.0160758271568,-0.0136328370457,-0.0111904773782,-0.00874918969954,-0.00632540936968,-0.00393375435663,-0.00156481069945,0.0,-0.000442523756474,-0.00278215131968,-0.00702753422927,-0.0121906147872,-0.0173481411358,-0.0226088601361,-0.0278931947954
66,29,0.00909704373763,0.00804546504576,0.00700294092705,0.00596771436706,0.00493403485541,0.00390376066516,0.00288669453321,0.00189339226159,0.000926114062876,0.0,-0.000886133543265,-0.00172647563852,-0.00250182715744,-0.00319846010881,-0.00380330084681,-0.00429977210833,-0.00469437693322
66,30,3.33066907388e-16,3.33066907388e-16,2.22044604925e-16,0.0,3.33066907388e-16,-2.22044604925e-16,3.33066907388e-16,3.33066907388e-16,4.4408920985e-16,0.0,2.22044604925e-16,4.4408920985e-16,2.22044604925e-16,8.881784197e-16,2.22044604925e-16,3.33066907388e-16,3.33066907388e-16
67,28,-0.0172757494415,-0.0151650006309,-0.0130704497906,-0.0109936219032,-0.00892975294055,-0.00687885268975,-0.00485270372932,-0.0028483790243,-0.000855366370937,0.0,-0.000629693447087,-0.00268265778131,-0.00619237299213,-0.00870722387831,-0.011260098553,-0.0139087363683,-0.0166061554887
67,29,0.0112724801186,0.00996134184831,0.00866035919436,0.00737086376866,0.00609083790908,0.00482210719423,0.00357504466321,0.0023525108604,0.00115465017389,0.0,-0.00110632920334,-0.0021554532492,-0.00312357317206,-0.00399414420641,-0.00475320565312,-0.00538303191543,-0.00589212242527
67,30,0.0,-4.4408920985e-16,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,-2.22044604925e-16,-2.22044604925e-16,0.0,-2.22044604925e-16,-2.22044604925e-16,0.0,-4.4408920985e-16,-2.22044604925e-16,0.0,4.4408920985e-16
68,28,0.0478674214603,0.0417121576015,0.0357151318999,0.0298715415177,0.0242048585433,0.018722678273,0.0134052519691,0.00827354799748,0.00321607448692,0.0,-0.00357608019905,-0.00751697119729,-0.011752751755,-0.0166993255344,-0.0213892017357,-0.025725411163,-0.0296685210525
68,29,0.0553461156095,0.0484863473977,0.0418028853329,0.0352902201372,0.0289741759006,0.0228626244268,0.0169325870016,0.0112059511126,0.00555626416083,0.0,-0.00544561383033,-0.0108043102381,-0.0160162059923,-0.0210362013874,-0.0258066225797,-0.0302194051161,-0.0342445995814
68,30,0.0354833875895,0.0310697075368,0.0267695453187,0.0225796982149,0.0185176448949,0.0145900978467,0.0107849482944,0.00712013301775,0.00351950964967,0.0,-0.00342035813926,-0.00674997848209,-0.00994532272768,-0.0129757127884,-0.0158074577048,-0.0183810202662,-0.0206918962527
69,28,0.00196271565644,0.00173448140812,0.00151238499955,0.00129609875902,0.00108583034353,0.000882994872674,0.000689201336481,0.000505308495448,0.000333920879637,0.0,-0.00224287137957,-0.00629916251209,-0.0114720027816,-0.0172837704157,-0.022969222142,-0.0285476821506,-0.0339762916373
69,29,0.0254692362605,0.0223137883626,0.019242407882,0.0162478207075,0.0133273310189,0.0104910654913,0.00774635331391,0.00508244420068,0.00250277261168,0.0,-0.00241867203734,-0.00475495865574,-0.00697897851753,-0.00907243027397,-0.0110166761094,-0.0127755916523,-0.0143407847468
69,30,-0.0145573886755,-0.0127773554049,-0.0110445604799,-0.0093542501423,-0.0077035684419,-0.00609595250193,-0.0045319445072,-0.00300004920102,-0.00149439234447,0.0,0.00149339131853,0.00300518348205,0.00454085246476,0.00611673681575,0.00775317623703,0.0094634404631,0.0112799401038
