vintage,census region,technology,final_energy,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
1999,67,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
1999,68,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
1999,69,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2000,66,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2000,67,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2000,68,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2000,69,72,4,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2001,66,72,4,0.0,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
2001,67,72,4,0.0,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103,1.75842642103
