census region,year,value
66,2000,67202250000.0
66,2001,65221080000.0
66,2002,67822420000.0
66,2003,69465430000.0
66,2004,67018570000.0
66,2005,72621220000.0
66,2006,72116920000.0
66,2007,69667640000.0
66,2008,66597350000.0
66,2009,66950890000.0
66,2010,66800140000.0
66,2011,68481580000.0
66,2012,71918560000.0
66,2013,72652550000.0
66,2014,74131820000.0
66,2015,75845140000.0
66,2016,78021540000.0
67,2000,2.2276556e+11
67,2001,2.2448892e+11
67,2002,2.2824672e+11
67,2003,2.2824074e+11
67,2004,2.3007095e+11
67,2005,2.3506192e+11
67,2006,2.3243662e+11
67,2007,2.3722192e+11
67,2008,2.4828811e+11
67,2009,2.5145131e+11
67,2010,2.4925595e+11
67,2011,2.4795086e+11
67,2012,2.5494678e+11
67,2013,2.5508208e+11
67,2014,2.5936792e+11
67,2015,2.6348335e+11
67,2016,2.7002258e+11
68,2000,1.7233904e+11
68,2001,1.716714e+11
68,2002,1.763926e+11
68,2003,1.7871943e+11
68,2004,1.8050575e+11
68,2005,1.8605995e+11
68,2006,1.8931668e+11
68,2007,1.8743944e+11
68,2008,1.8435419e+11
68,2009,1.8699265e+11
68,2010,1.8582449e+11
68,2011,1.8775759e+11
68,2012,1.9509236e+11
68,2013,1.9707209e+11
68,2014,2.0118607e+11
68,2015,2.0526786e+11
68,2016,2.1100885e+11
69,2000,99023470000.0
69,2001,99346110000.0
69,2002,1.0240873e+11
69,2003,1.0371501e+11
69,2004,99813200000.0
69,2005,1.0484019e+11
69,2006,1.0849788e+11
69,2007,1.1333398e+11
69,2008,1.0776753e+11
69,2009,1.0782255e+11
69,2010,1.0691602e+11
69,2011,1.0831864e+11
69,2012,1.1267804e+11
69,2013,1.1327432e+11
69,2014,1.1513061e+11
69,2015,1.1714602e+11
69,2016,1.2028121e+11
