vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2009,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,38,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011,38,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,38,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2013,38,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2014,38,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2015,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2016,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
