id,name
107,SEDS Industrial Data (Allocation)
108,Rail Fuel Use 
109,Aviation Fuel Use
110,Marine Fuel Use
111,BUSES VMT Share
112,HDV VMT Share
113,LDV VMT Share
114,MDV VMT Share
115,BOM VOS
116,Bulk Chemicals VOS
117,Computer and Electronic Products VOS
118,Electrical Equipment VOS
119,Fabricated Metal Products VOS
120,Food and Kindred Products VOS
121,Glass and Cement VOS
122,Iron and Steel and Aluminum Manufacturing VOS
123,Machinery VOS
124,Paper and Allied Products VOS
125,Plastic and Rubber Products VOS
126,Transportation Equipment VOS
127,Wood Products VOS
128,Military Fuel Sales - Diesel Fule
129,Steel Production Facility GHGs
130,Domestic Shipping Ton-Miles Allocation
