vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2009,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,33,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011,33,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,33,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2013,33,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2014,33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2015,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2016,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
