census region,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,5,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19011539.1106,19011539.1106,19011539.1106,19011539.1106,19011539.1106,19011539.1106
66,28,5,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127470854.279,127470854.279,127470854.279
66,28,5,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2000,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835,1875235.54835
66,28,6,2001,0.0,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163,1420390.66163
66,28,6,2002,0.0,0.0,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235,3359503.11235
66,28,6,2003,0.0,0.0,0.0,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994,9769047.06994
66,28,6,2004,0.0,0.0,0.0,0.0,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437,900702.756437
66,28,6,2005,0.0,0.0,0.0,0.0,0.0,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524,19035170.3524
66,28,6,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122196770.667,122196770.667,122196770.667,122196770.667,122196770.667,122196770.667,122196770.667,122196770.667,122196770.667
66,28,6,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873301.43381,1873301.43381,1873301.43381,1873301.43381,1873301.43381,1873301.43381
66,28,6,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420390.66169,1420390.66169,1420390.66169,1420390.66169,1420390.66169
66,28,6,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356038.12694,3356038.12694,3356038.12694,3356038.12694
66,28,6,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9769047.07038,9769047.07038,9769047.07038
66,28,6,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899773.773248,899773.773248
66,28,6,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19035906.5709
66,28,7,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,7,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,7,2002,0.0,0.0,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241,35221480.2241
66,28,7,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,7,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
