timepoint,technology,region,power,charging,state_of_charge,goal_state_of_charge_start,goal_state_of_charge_end
89,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
89,"(1, 33, 0, 66)",1,0,0,0,,
89,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
89,"(1, 33, 0, 47)",1,0,0,0,,
89,"(2, 33, 0, 47)",2,0,0,0,,
89,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
89,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
89,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
89,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
89,"(91, 62L, 2L, 64L, 1983L)",2,81878.7,,,,
89,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
90,"(3, 33, 0, 46)",3,0,6412.41,94135.2,20371.8,8994.9
90,"(3, 33, 0, 47)",3,0,4663.36,1882.68,,
90,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
90,"(1, 33, 0, 66)",1,0,0,0,,
90,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
90,"(1, 33, 0, 47)",1,0,0,0,,
90,"(2, 33, 0, 47)",2,0,0,0,,
90,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
90,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
90,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
90,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
90,"(91, 62L, 2L, 64L, 1983L)",2,93963.8,,,,
90,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
91,"(3, 33, 0, 46)",3,0,2691.95,99695.5,20371.8,8994.9
91,"(3, 33, 0, 47)",3,0,4663.36,5926.32,,
91,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
91,"(1, 33, 0, 66)",1,0,0,0,,
91,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
91,"(1, 33, 0, 47)",1,0,0,0,,
91,"(2, 33, 0, 47)",2,0,0,0,,
91,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
91,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
91,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
91,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
91,"(91, 62L, 2L, 64L, 1983L)",2,115114,,,,
91,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
92,"(3, 33, 0, 46)",3,11376.9,0,102030,20371.8,8994.9
92,"(3, 33, 0, 47)",3,4663.36,0,9969.96,,
92,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
92,"(1, 33, 0, 66)",1,0,0,0,,
92,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
92,"(1, 33, 0, 47)",1,0,0,0,,
92,"(2, 33, 0, 47)",2,0,0,0,,
92,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
92,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
92,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
92,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
92,"(91, 62L, 2L, 64L, 1983L)",2,121185,,,,
92,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
93,"(3, 33, 0, 46)",3,11376.9,0,88909.2,20371.8,8994.9
93,"(3, 33, 0, 47)",3,3981.7,0,4591.92,,
93,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
93,"(1, 33, 0, 66)",1,0,0,0,,
93,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
93,"(1, 33, 0, 47)",1,0,0,0,,
93,"(2, 33, 0, 47)",2,0,0,0,,
93,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
93,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
93,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
93,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
93,"(91, 62L, 2L, 64L, 1983L)",2,107361,,,,
93,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
94,"(3, 33, 0, 46)",3,11376.9,0,75788.7,20371.8,8994.9
94,"(3, 33, 0, 47)",3,0,0,0,,
94,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
94,"(1, 33, 0, 66)",1,0,0,0,,
94,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
94,"(1, 33, 0, 47)",1,0,0,0,,
94,"(2, 33, 0, 47)",2,0,0,0,,
94,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
94,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
94,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
94,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
94,"(91, 62L, 2L, 64L, 1983L)",2,95915.8,,,,
94,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
95,"(3, 33, 0, 46)",3,11376.9,0,62668.2,20371.8,8994.9
95,"(3, 33, 0, 47)",3,0,0,0,,
95,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
95,"(1, 33, 0, 66)",1,0,0,0,,
95,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
95,"(1, 33, 0, 47)",1,0,0,0,,
95,"(2, 33, 0, 47)",2,0,0,0,,
95,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
95,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
95,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
95,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
95,"(91, 62L, 2L, 64L, 1983L)",2,80974,,,,
95,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
96,"(3, 33, 0, 46)",3,0,11376.9,49547.7,20371.8,8994.9
96,"(3, 33, 0, 47)",3,0,4663.36,0,,
96,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
96,"(1, 33, 0, 66)",1,0,0,0,,
96,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
96,"(1, 33, 0, 47)",1,0,0,0,,
96,"(2, 33, 0, 47)",2,0,0,0,,
96,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
96,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
96,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
96,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
96,"(91, 62L, 2L, 64L, 1983L)",2,63589,,,,
96,"(91, 62L, 3L, 64L, 1983L)",3,274895,,,,
97,"(3, 33, 0, 46)",3,0,11376.9,59412.8,20371.8,8994.9
97,"(3, 33, 0, 47)",3,0,0,4043.64,,
97,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
97,"(1, 33, 0, 66)",1,0,0,0,,
97,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
97,"(1, 33, 0, 47)",1,0,0,0,,
97,"(2, 33, 0, 47)",2,0,0,0,,
97,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
97,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
97,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
97,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
97,"(91, 62L, 2L, 64L, 1983L)",2,58440.4,,,,
97,"(91, 62L, 3L, 64L, 1983L)",3,226788,,,,
98,"(3, 33, 0, 46)",3,0,11376.9,69277.8,20371.8,8994.9
98,"(3, 33, 0, 47)",3,0,0,4043.64,,
98,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
98,"(1, 33, 0, 66)",1,0,0,0,,
98,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
98,"(1, 33, 0, 47)",1,0,0,0,,
98,"(2, 33, 0, 47)",2,0,0,0,,
98,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
98,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
98,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
98,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
98,"(91, 62L, 2L, 64L, 1983L)",2,48095.4,,,,
98,"(91, 62L, 3L, 64L, 1983L)",3,191945,,,,
99,"(3, 33, 0, 46)",3,0,11376.9,79142.8,20371.8,8994.9
99,"(3, 33, 0, 47)",3,0,0,4043.64,,
99,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
99,"(1, 33, 0, 66)",1,0,0,0,,
99,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
99,"(1, 33, 0, 47)",1,0,0,0,,
99,"(2, 33, 0, 47)",2,0,0,0,,
99,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
99,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
99,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
99,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
99,"(91, 62L, 2L, 64L, 1983L)",2,43075.7,,,,
99,"(91, 62L, 3L, 64L, 1983L)",3,187372,,,,
100,"(3, 33, 0, 46)",3,0,11376.9,89007.9,20371.8,8994.9
100,"(3, 33, 0, 47)",3,0,0,4043.64,,
100,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
100,"(1, 33, 0, 66)",1,0,0,0,,
100,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
100,"(1, 33, 0, 47)",1,0,0,0,,
100,"(2, 33, 0, 47)",2,0,0,0,,
100,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
100,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
100,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
100,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
100,"(91, 62L, 2L, 64L, 1983L)",2,37520.2,,,,
100,"(91, 62L, 3L, 64L, 1983L)",3,176686,,,,
101,"(3, 33, 0, 46)",3,0,11376.9,98872.9,20371.8,8994.9
101,"(3, 33, 0, 47)",3,0,0,4043.64,,
101,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
101,"(1, 33, 0, 66)",1,0,0,0,,
101,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
101,"(1, 33, 0, 47)",1,0,0,0,,
101,"(2, 33, 0, 47)",2,0,0,0,,
101,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
101,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
101,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
101,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
101,"(91, 62L, 2L, 64L, 1983L)",2,38688.9,,,,
101,"(91, 62L, 3L, 64L, 1983L)",3,168690,,,,
102,"(3, 33, 0, 46)",3,0,11376.9,108738,20371.8,8994.9
102,"(3, 33, 0, 47)",3,0,2858.75,4043.64,,
102,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
102,"(1, 33, 0, 66)",1,0,0,0,,
102,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
102,"(1, 33, 0, 47)",1,0,0,0,,
102,"(2, 33, 0, 47)",2,0,0,0,,
102,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
102,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
102,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
102,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
102,"(91, 62L, 2L, 64L, 1983L)",2,50178.8,,,,
102,"(91, 62L, 3L, 64L, 1983L)",3,163965,,,,
103,"(3, 33, 0, 46)",3,0,11376.9,118603,20371.8,8994.9
103,"(3, 33, 0, 47)",3,0,4663.36,6522.5,,
103,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
103,"(1, 33, 0, 66)",1,0,0,0,,
103,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
103,"(1, 33, 0, 47)",1,0,0,0,,
103,"(2, 33, 0, 47)",2,0,0,0,,
103,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
103,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
103,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
103,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
103,"(91, 62L, 2L, 64L, 1983L)",2,65967.7,,,,
103,"(91, 62L, 3L, 64L, 1983L)",3,173464,,,,
104,"(3, 33, 0, 46)",3,0,11376.9,128468,20371.8,8994.9
104,"(3, 33, 0, 47)",3,0,4663.36,10566.1,,
104,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
104,"(1, 33, 0, 66)",1,0,0,0,,
104,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
104,"(1, 33, 0, 47)",1,0,0,0,,
104,"(2, 33, 0, 47)",2,0,0,0,,
104,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
104,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
104,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
104,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
104,"(91, 62L, 2L, 64L, 1983L)",2,98211.7,,,,
104,"(91, 62L, 3L, 64L, 1983L)",3,199247,,,,
105,"(3, 33, 0, 46)",3,0,11376.9,138333,20371.8,8994.9
105,"(3, 33, 0, 47)",3,0,4663.36,14609.8,,
105,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
105,"(1, 33, 0, 66)",1,0,0,0,,
105,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
105,"(1, 33, 0, 47)",1,0,0,0,,
105,"(2, 33, 0, 47)",2,0,0,0,,
105,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
105,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
105,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
105,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
105,"(91, 62L, 2L, 64L, 1983L)",2,119322,,,,
105,"(91, 62L, 3L, 64L, 1983L)",3,248812,,,,
106,"(3, 33, 0, 46)",3,11376.9,0,148198,20371.8,8994.9
106,"(3, 33, 0, 47)",3,4663.36,0,18653.4,,
106,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
106,"(1, 33, 0, 66)",1,0,0,0,,
106,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
106,"(1, 33, 0, 47)",1,0,0,0,,
106,"(2, 33, 0, 47)",2,0,0,0,,
106,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
106,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
106,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
106,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
106,"(91, 62L, 2L, 64L, 1983L)",2,115232,,,,
106,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
107,"(3, 33, 0, 46)",3,11376.9,0,135078,20371.8,8994.9
107,"(3, 33, 0, 47)",3,4663.36,0,13275.4,,
107,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
107,"(1, 33, 0, 66)",1,0,0,0,,
107,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
107,"(1, 33, 0, 47)",1,0,0,0,,
107,"(2, 33, 0, 47)",2,0,0,0,,
107,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
107,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
107,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
107,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
107,"(91, 62L, 2L, 64L, 1983L)",2,97285.9,,,,
107,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
108,"(3, 33, 0, 46)",3,11376.9,0,121957,20371.8,8994.9
108,"(3, 33, 0, 47)",3,4663.36,0,7897.34,,
108,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
108,"(1, 33, 0, 66)",1,0,0,0,,
108,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
108,"(1, 33, 0, 47)",1,0,0,0,,
108,"(2, 33, 0, 47)",2,0,0,0,,
108,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
108,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
108,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
108,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
108,"(91, 62L, 2L, 64L, 1983L)",2,102954,,,,
108,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
109,"(3, 33, 0, 46)",3,11376.9,0,108837,20371.8,8994.9
109,"(3, 33, 0, 47)",3,0,0,2519.29,,
109,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
109,"(1, 33, 0, 66)",1,0,0,0,,
109,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
109,"(1, 33, 0, 47)",1,0,0,0,,
109,"(2, 33, 0, 47)",2,0,0,0,,
109,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
109,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
109,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
109,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
109,"(91, 62L, 2L, 64L, 1983L)",2,106742,,,,
109,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
110,"(3, 33, 0, 46)",3,11376.9,0,95716.1,20371.8,8994.9
110,"(3, 33, 0, 47)",3,0,0,2519.29,,
110,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
110,"(1, 33, 0, 66)",1,0,0,0,,
110,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
110,"(1, 33, 0, 47)",1,0,0,0,,
110,"(2, 33, 0, 47)",2,0,0,0,,
110,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
110,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
110,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
110,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
110,"(91, 62L, 2L, 64L, 1983L)",2,100906,,,,
110,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
111,"(3, 33, 0, 46)",3,11376.9,0,82595.6,20371.8,8994.9
111,"(3, 33, 0, 47)",3,0,0,2519.29,,
111,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
111,"(1, 33, 0, 66)",1,0,0,0,,
111,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
111,"(1, 33, 0, 47)",1,0,0,0,,
111,"(2, 33, 0, 47)",2,0,0,0,,
111,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
111,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
111,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
111,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
111,"(91, 62L, 2L, 64L, 1983L)",2,87327.9,,,,
111,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
112,"(3, 33, 0, 46)",3,11376.9,0,69475.1,20371.8,8994.9
112,"(3, 33, 0, 47)",3,0,0,2519.29,,
112,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
112,"(1, 33, 0, 66)",1,0,0,0,,
112,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
112,"(1, 33, 0, 47)",1,0,0,0,,
112,"(2, 33, 0, 47)",2,0,0,0,,
112,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
112,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
112,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
112,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
112,"(91, 62L, 2L, 64L, 1983L)",2,83912.8,,,,
112,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
113,"(3, 33, 0, 46)",3,0,11376.9,56354.6,20371.8,8994.9
113,"(3, 33, 0, 47)",3,0,4663.36,2519.29,,
113,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
113,"(1, 33, 0, 66)",1,0,0,0,,
113,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
113,"(1, 33, 0, 47)",1,0,0,0,,
113,"(2, 33, 0, 47)",2,0,0,0,,
113,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
113,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
113,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
113,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
113,"(91, 62L, 2L, 64L, 1983L)",2,82028,,,,
113,"(91, 62L, 3L, 64L, 1983L)",3,275277,,,,
114,"(3, 33, 0, 46)",3,0,11376.9,66219.6,20371.8,8994.9
114,"(3, 33, 0, 47)",3,0,4663.36,6562.93,,
114,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
114,"(1, 33, 0, 66)",1,0,0,0,,
114,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
114,"(1, 33, 0, 47)",1,0,0,0,,
114,"(2, 33, 0, 47)",2,0,0,0,,
114,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
114,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
114,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
114,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
114,"(91, 62L, 2L, 64L, 1983L)",2,92253.9,,,,
114,"(91, 62L, 3L, 64L, 1983L)",3,262348,,,,
115,"(3, 33, 0, 46)",3,0,11376.9,76084.7,20371.8,8994.9
115,"(3, 33, 0, 47)",3,0,4663.36,10606.6,,
115,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
115,"(1, 33, 0, 66)",1,0,0,0,,
115,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
115,"(1, 33, 0, 47)",1,0,0,0,,
115,"(2, 33, 0, 47)",2,0,0,0,,
115,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
115,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
115,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
115,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
115,"(91, 62L, 2L, 64L, 1983L)",2,109722,,,,
115,"(91, 62L, 3L, 64L, 1983L)",3,263093,,,,
116,"(3, 33, 0, 46)",3,6811.53,0,85949.7,20371.8,8994.9
116,"(3, 33, 0, 47)",3,0,0,14650.2,,
116,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
116,"(1, 33, 0, 66)",1,0,0,0,,
116,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
116,"(1, 33, 0, 47)",1,0,0,0,,
116,"(2, 33, 0, 47)",2,0,0,0,,
116,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
116,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
116,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
116,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
116,"(91, 62L, 2L, 64L, 1983L)",2,114848,,,,
116,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
117,"(3, 33, 0, 46)",3,11376.9,0,78094.3,20371.8,8994.9
117,"(3, 33, 0, 47)",3,4663.36,0,14650.2,,
117,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
117,"(1, 33, 0, 66)",1,0,0,0,,
117,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
117,"(1, 33, 0, 47)",1,0,0,0,,
117,"(2, 33, 0, 47)",2,0,0,0,,
117,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
117,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
117,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
117,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
117,"(91, 62L, 2L, 64L, 1983L)",2,101253,,,,
117,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
118,"(3, 33, 0, 46)",3,11376.9,0,64973.8,20371.8,8994.9
118,"(3, 33, 0, 47)",3,3980.75,0,9272.17,,
118,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
118,"(1, 33, 0, 66)",1,0,0,0,,
118,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
118,"(1, 33, 0, 47)",1,0,0,0,,
118,"(2, 33, 0, 47)",2,0,0,0,,
118,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
118,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
118,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
118,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
118,"(91, 62L, 2L, 64L, 1983L)",2,90001.4,,,,
118,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
119,"(3, 33, 0, 46)",3,11376.9,0,51853.3,20371.8,8994.9
119,"(3, 33, 0, 47)",3,4059.25,0,4681.36,,
119,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
119,"(1, 33, 0, 66)",1,0,0,0,,
119,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
119,"(1, 33, 0, 47)",1,0,0,0,,
119,"(2, 33, 0, 47)",2,0,0,0,,
119,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
119,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
119,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
119,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
119,"(91, 62L, 2L, 64L, 1983L)",2,75133.7,,,,
119,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
120,"(3, 33, 0, 46)",3,0,11376.9,38732.8,20371.8,8994.9
120,"(3, 33, 0, 47)",3,0,0,0,,
120,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
120,"(1, 33, 0, 66)",1,0,0,0,,
120,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
120,"(1, 33, 0, 47)",1,0,0,0,,
120,"(2, 33, 0, 47)",2,0,0,0,,
120,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
120,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
120,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
120,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
120,"(91, 62L, 2L, 64L, 1983L)",2,57403.4,,,,
120,"(91, 62L, 3L, 64L, 1983L)",3,260855,,,,
121,"(3, 33, 0, 46)",3,0,11376.9,48597.8,20371.8,8994.9
121,"(3, 33, 0, 47)",3,0,0,0,,
121,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
121,"(1, 33, 0, 66)",1,0,0,0,,
121,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
121,"(1, 33, 0, 47)",1,0,0,0,,
121,"(2, 33, 0, 47)",2,0,0,0,,
121,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
