vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2009,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,29,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011,29,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,29,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2013,29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2014,29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2015,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2016,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
