vintage,technology,2009,2010,2011,2012,2013,2014,2015,2016
2008,29,0.888888888889,0.777777777778,0.666666666667,0.555555555556,0.444444444444,0.333333333333,0.222222222222,0.111111111111
2009,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
