geography,gau
county,"boyd, nebraska"
county,"boyle, kentucky"
county,"bracken, kentucky"
county,"bradford, florida"
county,"bradford, pennsylvania"
county,"bradley, arkansas"
county,"bradley, tennessee"
county,"branch, michigan"
county,"brantley, georgia"
county,"braxton, west virginia"
county,"brazoria, texas"
county,"brazos, texas"
county,"breathitt, kentucky"
county,"breckinridge, kentucky"
county,"bremer, iowa"
county,"brevard, florida"
county,"brewster, texas"
county,"briscoe, texas"
county,"bristol bay, alaska"
county,"bristol, massachusetts"
county,"bristol, rhode island"
county,"bristol, virginia"
county,"broadwater, montana"
county,"bronx, new york"
county,"brooke, west virginia"
county,"brookings, south dakota"
county,"brooks, georgia"
county,"brooks, texas"
county,"broome, new york"
county,"broomfield, colorado"
county,"broward, florida"
county,"brown, illinois"
county,"brown, indiana"
county,"brown, kansas"
county,"brown, minnesota"
county,"brown, nebraska"
county,"brown, ohio"
county,"brown, south dakota"
county,"brown, texas"
county,"brown, wisconsin"
county,"brule, south dakota"
county,"brunswick, north carolina"
county,"brunswick, virginia"
county,"bryan, georgia"
county,"bryan, oklahoma"
county,"buchanan, iowa"
county,"buchanan, missouri"
county,"buchanan, virginia"
county,"buckingham, virginia"
county,"bucks, pennsylvania"
county,"buena vista, iowa"
county,"buena vista, virginia"
county,"buffalo, nebraska"
county,"buffalo, south dakota"
county,"buffalo, wisconsin"
county,"bullitt, kentucky"
county,"bulloch, georgia"
county,"bullock, alabama"
county,"buncombe, north carolina"
county,"bureau, illinois"
county,"burke, georgia"
county,"burke, north carolina"
county,"burke, north dakota"
county,"burleigh, north dakota"
county,"burleson, texas"
county,"burlington, new jersey"
county,"burnet, texas"
county,"burnett, wisconsin"
county,"burt, nebraska"
county,"butler, alabama"
county,"butler, iowa"
county,"butler, kansas"
county,"butler, kentucky"
county,"butler, missouri"
county,"butler, nebraska"
county,"butler, ohio"
county,"butler, pennsylvania"
county,"butte, california"
county,"butte, idaho"
county,"butte, south dakota"
county,"butts, georgia"
county,"cabarrus, north carolina"
county,"cabell, west virginia"
county,"cache, utah"
county,"caddo, louisiana"
county,"caddo, oklahoma"
county,"calaveras, california"
county,"calcasieu, louisiana"
county,"caldwell, kentucky"
county,"caldwell, louisiana"
county,"caldwell, missouri"
county,"caldwell, north carolina"
county,"caldwell, texas"
county,"caledonia, vermont"
county,"calhoun, alabama"
county,"calhoun, arkansas"
county,"calhoun, florida"
county,"calhoun, georgia"
county,"calhoun, illinois"
county,"calhoun, iowa"
county,"calhoun, michigan"
county,"calhoun, mississippi"
county,"calhoun, south carolina"
county,"calhoun, texas"
county,"calhoun, west virginia"
county,"callahan, texas"
county,"callaway, missouri"
county,"calloway, kentucky"
