census region,housing types,technology,vintage,sector,final_energy,year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,4,1999,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2000,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2001,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2002,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2003,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2004,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2005,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2006,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2007,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2008,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2009,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2010,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2011,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2012,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2013,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2014,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2015,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2016,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,1999,N/A,N/A,N/A,130885.309642,123186.174802,115487.081481,107788.322462,100090.957894,92397.704375,84714.2457249,77050.9914051,69425.2735825,61863.9117105,54405.9687285,47105.3618113,40032.7696943,33276.0206302,26937.9205672,21130.4293085,15964.4198464
66,28,5,2000,N/A,N/A,N/A,7360.00054309,7359.99956655,7359.95987689,7359.64030039,7358.30727289,7354.37730931,7345.01388963,7325.69952953,7289.81645839,7228.29529036,7129.43184639,6979.02619787,6761.05510557,6459.12446264,6058.9163183,5551.68003128,4938.45453992
66,28,5,2001,N/A,N/A,N/A,0.0,8036.41920648,8036.41814018,8036.37480286,8036.02585577,8034.57031678,8030.27917106,8020.05520908,7998.96576845,7959.78487432,7892.60962162,7784.6601622,7620.43152723,7382.42786646,7052.74837749,6615.75922253,6061.90553524
66,28,5,2002,N/A,N/A,N/A,0.0,0.0,7983.2268804,7983.22582116,7983.18277068,7982.83613324,7981.39022833,7977.12748531,7966.97119481,7946.02134326,7907.0997839,7840.36915807,7733.13420629,7569.99258567,7333.56424943,7006.06687895,6571.97011537
66,28,5,2003,N/A,N/A,N/A,0.0,0.0,0.0,7902.31750991,7902.3164614,7902.27384724,7901.93072295,7900.49947216,7896.27993171,7886.2265744,7865.48904794,7826.96195549,7760.90763926,7654.75950519,7493.27131195,7259.23915812,6935.06094748
66,28,5,2004,N/A,N/A,N/A,0.0,0.0,0.0,0.0,7691.18111015,7691.18008966,7691.13861408,7690.80465748,7689.41164727,7685.30484571,7675.52009691,7655.33664166,7617.83892718,7553.54946924,7450.23743165,7293.06392656,7065.28471136
66,28,5,2005,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,7584.8373537,7584.83634732,7584.7954452,7584.46610613,7583.09235667,7579.04233868,7569.39288079,7549.4884964,7512.50925207,7449.10870603,7347.22513437,7192.22482228
66,28,5,2006,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,7652.56584916,7652.56483379,7652.52356644,7652.19128655,7650.80527025,7646.71908779,7636.98346546,7616.90134568,7579.5918967,7515.62521807,7412.83188122
66,28,5,2007,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7793.50261474,7793.50158067,7793.4595533,7793.12115383,7791.70961137,7787.54817398,7777.63325138,7757.18128061,7719.18470614,7654.0399577
