,,,value,value,value,value,value,value,value,value,value,value,value
technology,,,4,5,6,7,8,9,10,11,12,13,71
census region,housing types,year,,,,,,,,,,,
68,28,2003,,,,,,,,,,,
68,28,2004,,,,,,,,,,,
68,28,2005,,,,,,,,,,,
68,28,2006,,,,,,,,,,,
68,28,2007,,,,,,,,,,,
68,28,2008,,,,,,,,,,,
68,28,2009,,,,,,,,,,,
68,28,2010,,,,,,,,,,,
68,28,2011,,,,,,,,,,,
68,28,2012,,,,,,,,,,,
68,28,2013,,,,,,,,,,,
68,28,2014,,,,,,,,,,,
68,28,2015,,,,,,,,,,,
68,28,2016,,,,,,,,,,,
68,29,2000,,,,,,,,,,,
68,29,2001,,,,,,,,,,,
68,29,2002,,,,,,,,,,,
68,29,2003,,,,,,,,,,,
68,29,2004,,,,,,,,,,,
68,29,2005,,,,,,,,,,,
68,29,2006,,,,,,,,,,,
68,29,2007,,,,,,,,,,,
68,29,2008,,,,,,,,,,,
68,29,2009,,,,,,,,,,,
68,29,2010,,,,,,,,,,,
68,29,2011,,,,,,,,,,,
68,29,2012,,,,,,,,,,,
68,29,2013,,,,,,,,,,,
68,29,2014,,,,,,,,,,,
68,29,2015,,,,,,,,,,,
68,29,2016,,,,,,,,,,,
68,30,2000,,,,,,,,,,,
68,30,2001,,,,,,,,,,,
68,30,2002,,,,,,,,,,,
68,30,2003,,,,,,,,,,,
68,30,2004,,,,,,,,,,,
68,30,2005,,,,,,,,,,,
68,30,2006,,,,,,,,,,,
68,30,2007,,,,,,,,,,,
68,30,2008,,,,,,,,,,,
68,30,2009,,,,,,,,,,,
68,30,2010,,,,,,,,,,,
68,30,2011,,,,,,,,,,,
68,30,2012,,,,,,,,,,,
68,30,2013,,,,,,,,,,,
68,30,2014,,,,,,,,,,,
68,30,2015,,,,,,,,,,,
68,30,2016,,,,,,,,,,,
69,28,2000,,,,,,,,,,,
69,28,2001,,,,,,,,,,,
69,28,2002,,,,,,,,,,,
69,28,2003,,,,,,,,,,,
69,28,2004,,,,,,,,,,,
69,28,2005,,,,,,,,,,,
69,28,2006,,,,,,,,,,,
69,28,2007,,,,,,,,,,,
69,28,2008,,,,,,,,,,,
69,28,2009,,,,,,,,,,,
69,28,2010,,,,,,,,,,,
69,28,2011,,,,,,,,,,,
69,28,2012,,,,,,,,,,,
69,28,2013,,,,,,,,,,,
69,28,2014,,,,,,,,,,,
69,28,2015,,,,,,,,,,,
69,28,2016,,,,,,,,,,,
69,29,2000,,,,,,,,,,,
69,29,2001,,,,,,,,,,,
69,29,2002,,,,,,,,,,,
69,29,2003,,,,,,,,,,,
69,29,2004,,,,,,,,,,,
69,29,2005,,,,,,,,,,,
69,29,2006,,,,,,,,,,,
69,29,2007,,,,,,,,,,,
69,29,2008,,,,,,,,,,,
69,29,2009,,,,,,,,,,,
69,29,2010,,,,,,,,,,,
69,29,2011,,,,,,,,,,,
69,29,2012,,,,,,,,,,,
69,29,2013,,,,,,,,,,,
69,29,2014,,,,,,,,,,,
69,29,2015,,,,,,,,,,,
69,29,2016,,,,,,,,,,,
69,30,2000,,,,,,,,,,,
69,30,2001,,,,,,,,,,,
69,30,2002,,,,,,,,,,,
69,30,2003,,,,,,,,,,,
69,30,2004,,,,,,,,,,,
69,30,2005,,,,,,,,,,,
69,30,2006,,,,,,,,,,,
69,30,2007,,,,,,,,,,,
69,30,2008,,,,,,,,,,,
69,30,2009,,,,,,,,,,,
69,30,2010,,,,,,,,,,,
69,30,2011,,,,,,,,,,,
69,30,2012,,,,,,,,,,,
69,30,2013,,,,,,,,,,,
69,30,2014,,,,,,,,,,,
69,30,2015,,,,,,,,,,,
69,30,2016,,,,,,,,,,,
