census division,housing types,technology,year,value
62,28,7,2009,3174458.0
62,28,8,2009,808047.0
62,28,9,2009,455740.0
62,28,10,2009,75853.0
62,28,11,2009,127955.0
62,28,12,2009,0.0
62,28,13,2009,4022964.0
62,28,71,2009,21446.0
62,29,4,2009,71729.0
62,29,5,2009,0.0
62,29,6,2009,0.0
62,29,7,2009,2137843.0
62,29,8,2009,129049.0
62,29,9,2009,0.0
62,29,10,2009,0.0
62,29,11,2009,0.0
62,29,12,2009,0.0
62,29,13,2009,483727.0
62,29,71,2009,0.0
62,30,4,2009,40129.0
62,30,5,2009,0.0
62,30,6,2009,0.0
62,30,7,2009,570587.0
62,30,8,2009,0.0
62,30,9,2009,48138.0
62,30,10,2009,0.0
62,30,11,2009,51285.0
62,30,12,2009,0.0
62,30,13,2009,119192.0
62,30,71,2009,0.0
63,28,4,2009,544498.0
63,28,5,2009,26365.0
63,28,6,2009,0.0
63,28,7,2009,767769.0
63,28,8,2009,419747.0
63,28,9,2009,387981.0
63,28,10,2009,48037.0
63,28,11,2009,189761.0
63,28,12,2009,0.0
63,28,13,2009,3542600.0
63,28,71,2009,52831.0
63,29,4,2009,57183.0
63,29,5,2009,0.0
63,29,6,2009,0.0
63,29,7,2009,557795.0
63,29,8,2009,25489.0
63,29,9,2009,53483.0
63,29,10,2009,0.0
63,29,11,2009,0.0
63,29,12,2009,0.0
63,29,13,2009,556608.0
63,29,71,2009,7959.0
63,30,4,2009,106797.0
63,30,5,2009,0.0
63,30,6,2009,0.0
63,30,7,2009,170873.0
63,30,8,2009,0.0
63,30,9,2009,81131.0
63,30,10,2009,0.0
63,30,11,2009,7421.0
63,30,12,2009,0.0
63,30,13,2009,275044.0
63,30,71,2009,0.0
64,28,4,2009,389067.0
64,28,5,2009,84370.0
64,28,6,2009,17720.0
64,28,7,2009,1911212.0
64,28,8,2009,1315433.0
64,28,9,2009,272256.0
64,28,10,2009,27439.0
64,28,11,2009,535473.0
64,28,12,2009,7131.0
64,28,13,2009,5956738.0
64,28,71,2009,26174.0
64,29,4,2009,67779.0
64,29,5,2009,0.0
64,29,6,2009,0.0
64,29,7,2009,2580399.0
64,29,8,2009,1190373.0
64,29,9,2009,21753.0
64,29,10,2009,0.0
64,29,11,2009,0.0
64,29,12,2009,8913.0
64,29,13,2009,979652.0
64,29,71,2009,8277.0
64,30,4,2009,77440.0
64,30,5,2009,0.0
64,30,6,2009,0.0
64,30,7,2009,387381.0
64,30,8,2009,16255.0
64,30,9,2009,40246.0
64,30,10,2009,0.0
64,30,11,2009,65171.0
64,30,12,2009,15042.0
64,30,13,2009,136942.0
64,30,71,2009,0.0
