supply_node_id,gau,oth_1,resource_bin,year,value,id
60,mountain,,,2015,0.0,29
79,pacific,,,2015,0.03,30
79,pacific,,,2016,0.23,31
79,pacific,,,2017,0.69,32
79,pacific,,,2018,1.05,33
79,pacific,,,2019,1.52,34
79,pacific,,,2020,2.08,35
79,pacific,,,2021,2.37,36
79,pacific,,,2022,2.49,37
79,pacific,,,2023,2.49,38
79,pacific,,,2024,2.49,39
79,pacific,,,2025,2.49,40
79,pacific,,,2026,2.49,41
79,pacific,,,2027,2.69,42
79,pacific,,,2028,2.89,43
79,pacific,,,2029,3.09,44
79,pacific,,,2030,3.29,45
79,pacific,,,2031,3.29,46
79,pacific,,,2032,3.29,47
79,pacific,,,2033,3.29,48
79,pacific,,,2034,3.29,49
79,pacific,,,2035,3.29,50
79,pacific,,,2036,3.29,51
79,pacific,,,2037,3.29,52
79,pacific,,,2038,3.29,53
79,pacific,,,2039,3.29,54
79,pacific,,,2040,3.29,55
60,new england,,,2015,0.0,56
60,east north central,,,2015,0.0,58
60,west north central,,,2015,0.0,59
60,south atlantic,,,2015,0.0,60
60,east south central,,,2015,0.0,61
60,pacific,,,2015,0.0,63
79,new england,,,2015,0.0,64
79,middle atlantic,,,2015,0.0,65
79,east north central,,,2015,0.0,66
79,west north central,,,2015,0.0,67
79,south atlantic,,,2015,0.0,68
79,east south central,,,2015,0.0,69
79,west south central,,,2015,0.0,70
56,us,,,2012,2535.745081,72
56,us,,,2013,2372.00538,73
56,us,,,2014,1965.086424,74
56,us,,,2015,1656.740958,75
56,us,,,2016,1685.957213,76
56,us,,,2017,1741.377214,77
56,us,,,2018,1795.364343,78
56,us,,,2019,1839.427733,79
56,us,,,2020,1922.798445,80
56,us,,,2021,1963.649238,81
56,us,,,2022,2030.428935,82
56,us,,,2023,2099.230439,83
56,us,,,2024,2170.806805,84
56,us,,,2025,2249.249648,85
56,us,,,2026,2322.204293,86
56,us,,,2027,2390.324288,87
56,us,,,2028,2417.426747,88
56,us,,,2029,2534.644123,89
56,us,,,2030,2623.162188,90
56,us,,,2031,2694.676118,91
56,us,,,2032,2774.520625,92
56,us,,,2033,2797.203387,93
56,us,,,2034,2686.474426,94
56,us,,,2035,2649.741232,95
56,us,,,2036,2690.718932,96
56,us,,,2037,2736.001719,97
56,us,,,2038,2750.517544,98
56,us,,,2039,2810.12639,99
56,us,,,2040,2838.392101,100
70,us,,,2012,143314924.2,101
70,us,,,2013,281265367.5,102
70,us,,,2014,753312126.6,103
70,us,,,2015,835782437.7,104
70,us,,,2016,961198248.6,105
70,us,,,2017,1048978374.0,106
70,us,,,2018,1139430266.0,107
70,us,,,2019,1227695719.0,108
70,us,,,2020,1317626147.0,109
70,us,,,2021,1317891969.0,110
70,us,,,2022,1318057074.0,111
70,us,,,2023,1318651724.0,112
70,us,,,2024,1319276728.0,113
70,us,,,2025,1319410559.0,114
70,us,,,2026,1320111907.0,115
70,us,,,2027,1320860854.0,116
70,us,,,2028,1321812617.0,117
70,us,,,2029,1322417615.0,118
70,us,,,2030,1323034111.0,119
70,us,,,2031,1324193749.0,120
70,us,,,2032,1325016510.0,121
70,us,,,2033,1325714409.0,122
70,us,,,2034,1326241454.0,123
70,us,,,2035,1326471864.0,124
70,us,,,2036,1326576951.0,125
70,us,,,2037,1326452778.0,126
70,us,,,2038,1326580630.0,127
70,us,,,2039,1326585459.0,128
70,us,,,2040,1326931304.0,129
99,us,,,2012,20907968.33,130
99,us,,,2013,20505267.48,131
99,us,,,2014,65893550.38,132
99,us,,,2015,90043910.06,133
99,us,,,2016,93138211.43,134
99,us,,,2017,13460600.67,135
99,us,,,2018,16644535.46,136
99,us,,,2019,22904585.12,137
99,us,,,2020,28228030.55,138
99,us,,,2021,21230129.01,139
99,us,,,2022,25463684.07,140
99,us,,,2023,24866127.97,141
99,us,,,2024,26856249.59,142
99,us,,,2025,25062282.26,143
99,us,,,2026,23363144.48,144
99,us,,,2027,24236096.0,145
99,us,,,2028,32147219.15,146
99,us,,,2029,30714383.54,147
99,us,,,2030,29039927.43,148
99,us,,,2031,27543439.11,149
99,us,,,2032,25791040.89,150
99,us,,,2033,16566593.36,151
99,us,,,2034,8089090.945,152
99,us,,,2035,5930094.775,153
99,us,,,2036,3756809.22,154
99,us,,,2037,0.0,155
99,us,,,2038,0.0,156
99,us,,,2039,0.0,157
99,us,,,2040,0.0,158
102,us,,,2011,1690.9,287
102,us,,,2012,1773.876,288
102,us,,,2013,1803.142,289
102,us,,,2014,1825.574,290
102,us,,,2015,1899.046,291
102,us,,,2016,1982.73,292
102,us,,,2017,2058.992,293
102,us,,,2018,2104.938,294
102,us,,,2019,2128.19,295
102,us,,,2020,2160.194,296
102,us,,,2021,2166.106,297
102,us,,,2022,2171.064,298
102,us,,,2023,2185.836,299
102,us,,,2024,2203.676,300
102,us,,,2025,2230.048,301
102,us,,,2026,2262.992,302
102,us,,,2027,2286.896,303
102,us,,,2028,2293.608,304
102,us,,,2029,2304.718,305
102,us,,,2030,2332.5,306
102,us,,,2031,2351.772,307
102,us,,,2032,2350.628,308
102,us,,,2033,2365.084,309
102,us,,,2034,2390.824,310
102,us,,,2035,2418.066,311
102,us,,,2036,2442.762,312
102,us,,,2037,2465.948,313
102,us,,,2038,2492.302,314
102,us,,,2039,2511.922,315
102,us,,,2040,2540.932,316
60,west south central,,,2012,1.992096,317
60,west south central,,,2013,1.857129,318
60,west south central,,,2014,1.850096,319
60,west south central,,,2015,1.677893,320
60,west south central,,,2016,1.543959,321
60,west south central,,,2017,1.258349,322
