supply_tech,definition,reference_tech_id,geography,currency,currency_year_id,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes
distillate oil combustion turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
distllate oil steam turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
residual oil combustion turbine power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
residual oil combustion turbine cogen power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
coal steam turbine IPP cogen power plant,absolute,,us,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,
gas combined cycle IPP cogen power plant,absolute,,us,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,
gas combustion turbine IPP cogen power plant,absolute,,us,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,
gas steam turbine IPP cogen power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
residual oil combustion turbine IPP cogen power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
distillate oil combustion turbine IPP cogen power plant,absolute,,us,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,
biomass cogen IPP power plant,absolute,,us,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,
Advanced Nuclear Plant,absolute,,us,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,
distributed battery storage,absolute,,us,USD,2009.0,kilowatt,,linear_interpolation,nearest,,,,,
gas cogen composite power plant,absolute,,us,USD,2005.0,kilowatt,,linear_interpolation,nearest,,,,,
H2 Natural Gas Reformation ,absolute,,us,USD,2007.0,h2_kilogram,day,linear_interpolation,nearest,,,,,
H2 Natural Gas Reformation w/ccs,absolute,,us,USD,2007.0,h2_kilogram,day,linear_interpolation,nearest,,,,,
Relicensed Nuclear Power Plants,relative,25.0,,,,,,,,,,,,
coal steam turbine cogen power plant w/ccs,relative,51.0,,,,,,,,,,,,
petroleum coke steam turbine cogen power plant w/ccs,relative,52.0,,,,,,,,,,,,
gas combined cycle cogen power plant w/ccs,relative,53.0,,,,,,,,,,,,
gas steam turbine cogen power plant w/ccs,relative,54.0,,,,,,,,,,,,
residual oil steam turbine cogen power plant w/ccs,relative,55.0,,,,,,,,,,,,
fossil waste steam turbine cogen power plant w/ccs,relative,56.0,,,,,,,,,,,,
biomass cogen power plant w/ccs,relative,57.0,,,,,,,,,,,,
landfill gas cogen power plant w/ccs,relative,58.0,,,,,,,,,,,,
municipal solid waste cogen power plant w/ccs,relative,59.0,,,,,,,,,,,,
gas combustion turbine cogen power plant w/ccs,relative,61.0,,,,,,,,,,,,
distillate oil combustion turbine cogen power plant w/ccs,relative,62.0,,,,,,,,,,,,
coal steam turbine IPP cogen power plant w/ccs,relative,67.0,,,,,,,,,,,,
gas combined cycle IPP cogen power plant w/ccs,relative,68.0,,,,,,,,,,,,
gas combustion turbine IPP cogen power plant w/ccs,relative,69.0,,,,,,,,,,,,
gas steam turbine IPP cogen power plant w/ccs,relative,70.0,,,,,,,,,,,,
residual oil combustion turbine IPP cogen power plant w/ccs,relative,71.0,,,,,,,,,,,,
distillate oil combustion turbine IPP cogen power plant w/ccs,relative,72.0,,,,,,,,,,,,
biomass cogen IPP power plant w/ccs,relative,73.0,,,,,,,,,,,,
Wave Power Plant,absolute,,us,USD,2008.0,kilowatt,,linear_interpolation,nearest,,,,http://bv.com/docs/reports-studies/nrel-cost-report.pdf,
