subsector_id,gau,oth_1,oth_2,demand_technology,year,value,id
34,east north central,single-family,,Reference Geothermal Heat Pump - Heating,2009,112580.0,215
34,west north central,single-family,,Reference Geothermal Heat Pump - Heating,2009,127509.0,216
34,south atlantic,single-family,,Reference Geothermal Heat Pump - Heating,2009,92917.0,217
34,east south central,single-family,,Reference Geothermal Heat Pump - Heating,2009,108807.0,218
34,west south central,single-family,,Reference Geothermal Heat Pump - Heating,2009,75853.0,219
34,mountain,single-family,,Reference Geothermal Heat Pump - Heating,2009,48037.0,220
34,pacific,single-family,,Reference Geothermal Heat Pump - Heating,2009,27439.0,221
34,new england,multi-family,,Reference Air Source Heat Pump - Heating,2009,4066.0,231
34,middle atlantic,multi-family,,Reference Air Source Heat Pump - Heating,2009,80453.0,232
34,east north central,multi-family,,Reference Air Source Heat Pump - Heating,2009,17881.0,233
34,west north central,multi-family,,Reference Air Source Heat Pump - Heating,2009,18511.0,234
34,south atlantic,multi-family,,Reference Air Source Heat Pump - Heating,2009,749966.0,235
34,east south central,multi-family,,Reference Air Source Heat Pump - Heating,2009,92223.0,236
34,west south central,multi-family,,Reference Air Source Heat Pump - Heating,2009,71729.0,237
34,mountain,multi-family,,Reference Air Source Heat Pump - Heating,2009,57183.0,238
34,pacific,multi-family,,Reference Air Source Heat Pump - Heating,2009,67779.0,239
34,new england,multi-family,,Reference Natural Gas Furnace,2009,398627.0,240
34,middle atlantic,multi-family,,Reference Natural Gas Furnace,2009,1140000.0,241
34,east north central,multi-family,,Reference Natural Gas Furnace,2009,1900000.0,242
34,west north central,multi-family,,Reference Natural Gas Furnace,2009,378608.0,243
34,south atlantic,multi-family,,Reference Natural Gas Furnace,2009,705876.0,244
34,east south central,multi-family,,Reference Natural Gas Furnace,2009,168393.0,245
34,west south central,multi-family,,Reference Natural Gas Furnace,2009,483727.0,246
34,mountain,multi-family,,Reference Natural Gas Furnace,2009,556608.0,247
34,pacific,multi-family,,Reference Natural Gas Furnace,2009,194165.0,248
34,new england,multi-family,,Reference Natural Gas Boiler/Radiator,2009,857599.0,249
34,middle atlantic,multi-family,,Reference Natural Gas Boiler/Radiator,2009,1920000.0,250
34,east north central,multi-family,,Reference Natural Gas Boiler/Radiator,2009,820300.0,251
34,west north central,multi-family,,Reference Natural Gas Boiler/Radiator,2009,289475.0,252
34,south atlantic,multi-family,,Reference Natural Gas Boiler/Radiator,2009,244174.0,253
34,east south central,multi-family,,Reference Natural Gas Boiler/Radiator,2009,10602.0,254
34,west south central,multi-family,,Reference Natural Gas Boiler/Radiator,2009,129049.0,255
34,mountain,multi-family,,Reference Natural Gas Boiler/Radiator,2009,25489.0,256
34,new england,multi-family,,Reference Kerosene Furnace,2009,8834.0,258
34,middle atlantic,multi-family,,Reference Kerosene Furnace,2009,10807.0,259
34,east north central,multi-family,,Reference Kerosene Furnace,2009,0.0,260
34,west north central,multi-family,,Reference Kerosene Furnace,2009,0.0,261
34,south atlantic,multi-family,,Reference Kerosene Furnace,2009,0.0,262
34,east south central,multi-family,,Reference Kerosene Furnace,2009,0.0,263
34,west south central,multi-family,,Reference Kerosene Furnace,2009,0.0,264
34,mountain,multi-family,,Reference Kerosene Furnace,2009,0.0,265
34,middle atlantic,single-family,,Reference Electric Unit Heaters,2009,494302.0,133
34,east north central,single-family,,Reference Electric Unit Heaters,2009,410913.0,134
34,south atlantic,single-family,,Reference Electric Unit Heaters,2009,422090.0,136
34,east south central,single-family,,Reference Electric Unit Heaters,2009,109426.0,137
34,west south central,single-family,,Reference Electric Unit Heaters,2009,28950.0,138
34,new england,multi-family,,Reference Electric Unit Heaters,2009,232304.0,222
34,middle atlantic,multi-family,,Reference Electric Unit Heaters,2009,595753.0,223
34,east north central,multi-family,,Reference Electric Unit Heaters,2009,660358.0,224
34,west north central,multi-family,,Reference Electric Unit Heaters,2009,200357.0,225
34,south atlantic,multi-family,,Reference Electric Unit Heaters,2009,342119.0,226
34,east south central,multi-family,,Reference Electric Unit Heaters,2009,108128.0,227
34,west south central,multi-family,,Reference Electric Unit Heaters,2009,106339.0,228
34,mountain,multi-family,,Reference Electric Unit Heaters,2009,22196.0,229
34,pacific,multi-family,,Reference Electric Unit Heaters,2009,1098630.0,230
34,pacific,multi-family,,Reference Kerosene Furnace,2009,8913.0,266
34,new england,multi-family,,Reference LPG Furnace,2009,66306.0,267
34,pacific,single-family,,Reference Electric Unit Heaters,2009,397029.0,140
34,middle atlantic,multi-family,,Reference LPG Furnace,2009,10551.0,268
34,east north central,multi-family,,Reference LPG Furnace,2009,61015.0,269
34,west north central,multi-family,,Reference LPG Furnace,2009,8317.0,270
34,south atlantic,multi-family,,Reference LPG Furnace,2009,14467.0,271
34,east south central,multi-family,,Reference LPG Furnace,2009,0.0,272
34,west south central,multi-family,,Reference LPG Furnace,2009,0.0,273
34,mountain,multi-family,,Reference LPG Furnace,2009,53483.0,274
34,pacific,multi-family,,Reference LPG Furnace,2009,21753.0,275
34,new england,multi-family,,Reference Distillate Furnace,2009,88159.0,276
