supply_node_id,gau,demand_sector,supply_technology,resource_bin,year,value,id,sensitivity
73,alabama,,,,1982,142900.0,1,
73,alabama,,,,1983,180100.0,2,
73,alabama,,,,1984,155100.0,3,
73,alabama,,,,1985,149600.0,4,
73,alabama,,,,1986,149600.0,5,
73,alabama,,,,1987,154600.0,6,
73,alabama,,,,1988,180600.0,7,
73,alabama,,,,1989,153600.0,8,
73,alabama,,,,1990,149600.0,9,
73,alabama,,,,1991,140100.0,10,
73,alabama,,,,1992,140100.0,11,
73,alabama,,,,1993,119500.0,12,
73,alabama,,,,1994,121000.0,13,
73,alabama,,,,1995,121000.0,14,
73,alabama,,,,1997,125000.0,15,
73,alabama,,,,1999,130000.0,16,
73,alabama,,,,2000,130000.0,17,
73,alabama,,,,2001,130000.0,18,
73,alabama,,,,2002,130000.0,19,
73,alabama,,,,2003,130000.0,20,
73,alabama,,,,2004,130200.0,21,
73,alabama,,,,2005,130200.0,22,
73,alabama,,,,2006,135300.0,23,
73,alabama,,,,2007,135300.0,24,
73,alabama,,,,2008,124600.0,25,
73,alabama,,,,2009,126100.0,26,
73,alabama,,,,2010,120100.0,27,
73,alabama,,,,2011,120100.0,28,
73,alabama,,,,2012,120100.0,29,
73,alabama,,,,2013,120100.0,30,
73,alabama,,,,2014,120100.0,31,
73,alabama,,,,2015,120100.0,32,
73,alaska,,,,1982,130023.0,33,
73,alaska,,,,1983,135500.0,34,
73,alaska,,,,1984,135500.0,35,
73,alaska,,,,1985,139000.0,36,
73,alaska,,,,1986,188000.0,37,
73,alaska,,,,1987,224700.0,38,
73,alaska,,,,1988,222700.0,39,
73,alaska,,,,1989,215000.0,40,
73,alaska,,,,1990,229850.0,41,
73,alaska,,,,1991,239540.0,42,
73,alaska,,,,1992,222500.0,43,
73,alaska,,,,1993,256300.0,44,
73,alaska,,,,1994,261300.0,45,
73,alaska,,,,1995,263500.0,46,
73,alaska,,,,1997,283350.0,47,
73,alaska,,,,1999,349450.0,48,
73,alaska,,,,2000,359550.0,49,
73,alaska,,,,2001,358400.0,50,
73,alaska,,,,2002,357428.0,51,
73,alaska,,,,2003,358978.0,52,
73,alaska,,,,2004,370381.0,53,
73,alaska,,,,2005,373500.0,54,
73,alaska,,,,2006,373500.0,55,
73,alaska,,,,2007,375000.0,56,
73,alaska,,,,2008,375280.0,57,
73,alaska,,,,2009,377480.0,58,
73,alaska,,,,2010,393980.0,59,
73,alaska,,,,2011,389980.0,60,
73,alaska,,,,2012,384792.0,61,
73,alaska,,,,2013,293187.0,62,
73,alaska,,,,2014,291735.0,63,
73,alaska,,,,2015,165200.0,64,
73,arizona,,,,1982,4015.0,65,
73,arizona,,,,1983,6000.0,66,
73,arizona,,,,1984,0.0,67,
73,arizona,,,,1985,0.0,68,
73,arizona,,,,1986,0.0,69,
73,arizona,,,,1987,0.0,70,
73,arizona,,,,1988,0.0,71,
73,arizona,,,,1989,0.0,72,
73,arizona,,,,1990,9600.0,73,
73,arizona,,,,1991,10000.0,74,
73,arizona,,,,1992,10000.0,75,
73,arizona,,,,1993,14000.0,76,
73,arizona,,,,1994,3800.0,77,
73,arizona,,,,1995,3800.0,78,
73,arizona,,,,1997,0.0,79,
73,arkansas,,,,1982,64200.0,80,
73,arkansas,,,,1983,65480.0,81,
73,arkansas,,,,1984,65480.0,82,
73,arkansas,,,,1985,65480.0,83,
73,arkansas,,,,1986,63900.0,84,
73,arkansas,,,,1987,64200.0,85,
73,arkansas,,,,1988,58400.0,86,
73,arkansas,,,,1989,58400.0,87,
73,arkansas,,,,1990,58400.0,88,
73,arkansas,,,,1991,59700.0,89,
73,arkansas,,,,1992,60700.0,90,
73,arkansas,,,,1993,61700.0,91,
73,arkansas,,,,1994,62900.0,92,
