name
Households 2010 (complete count)
SqMi
Resident population (April 1 - complete count) 2010
Total housing units 2010 (complete count)
Owner-occupied housing units 2010 (complete count)
Renter-occupied housing units 2010 (complete count)
Vacant housing units 2010 (complete count)
"Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2007"
Earnings in mining (NAICS 21) 2007
Earnings in construction (NAICS 23) 2007
Earnings in manufacturing (NAICS 31-33) 2007
Earnings in wholesale trade (NAICS 42) 2007
Earnings in retail trade (NAICS 44-45) 2007
Earnings in transportation and warehousing (NAICS 48-49) 2007
Earnings in utilities (NAICS 22) 2007
"Farm earnings (NAICS, no code) 2007"
Employment in mining (NAICS 21) 2006
"Employment in farming (NAICS, no code) 2007"
Employment in utilities (NAICS 22) 2007
Employment in construction (NAICS 23) 2007
Employment in manufacturing (NAICS 31-33) 2007
Employment in transportation and warehousing (NAICS 48-49) 2007
"Employment in all industries (NAICS, no code) 2007"
Cropland - harvested cropland (NAICS) 2007 (acres) (adjusted)
"Public supply water use: population served, total 2005"
Irrigation water use: total withdrawals 2005
Thermoelectric power water use: total self-supplied withdrawals 2005
Urban Utility-scale PV (GWh)
Rural Utility-scale PV (GWh)
Sum Utility-scale PV (GWh)
Rooftop PV (GWh)
CSP (GWh)
Onshore Wind (GWh)
Offshore Wind (GWh)
Biopower-Solid (GWh)
Biopower-Solid (BDT)
Biopower-Gaseous (GWh)
Biopower-Gaseous (Tonnes-CH4)
Geothermal Hydrothermal (GWh)
EGS Geothermal (GWh)
Hydropower (GWh)
Hydropower (Count of Sites)
2015 Capacity Biomass Power Plants
2015 Capacity Bulk Electricity Storage
2015 Capacity Coal Power Plants
2015 Capacity Combined Heat and Power
2015 Capacity Combined-Cycle Gas Turbines
2015 Capacity Combustion Turbines
2015 Capacity Dispatchable Hydroelectric Power Plants
2015 Capacity Fossil Steam Turbines
2015 Capacity Fuel Cell Power Plants
2015 Capacity Geothermal Power Plants
2015 Capacity Nuclear Power Plants
2015 Capacity Onshore Wind
2015 Capacity Run of River Hydroelectric Power Plants
2015 Capacity Solar Thermal Power Plants
2015 Capacity Transmission-Sited Solar PV
SEDS Industrial Data (Allocation)
Rail Fuel Use 
Aviation Fuel Use
Marine Fuel Use
BUSES VMT Share
HDV VMT Share
LDV VMT Share
MDV VMT Share
BOM VOS
Bulk Chemicals VOS
Computer and Electronic Products VOS
Electrical Equipment VOS
Fabricated Metal Products VOS
Food and Kindred Products VOS
Glass and Cement VOS
Iron and Steel and Aluminum Manufacturing VOS
Machinery VOS
Paper and Allied Products VOS
Plastic and Rubber Products VOS
Transportation Equipment VOS
Wood Products VOS
Military Fuel Sales - Diesel Fule
Steel Production Facility GHGs
Domestic Shipping Ton-Miles Allocation
pop_x_transit_share
CDD_res_sq_ft
HDD_res_sq_ft
CDD_com_sq_ft
HDD_com_sq_ft
