supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes
H2 Natural Gas Reformation ,us,absolute,,gigajoule,h2_kilogram,linear_interpolation,nearest,,,,,
H2 Natural Gas Reformation w/ccs,us,absolute,,gigajoule,h2_kilogram,linear_interpolation,nearest,,,,,
thermal biomass gasifier w/ccs,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,
lignocellulosic anaerobic digester w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
Fischer-Tropsch bio-diesel plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
Fast-pyrolysis bio-diesel plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
Hydrothermal liquefaction and hydrotreating w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
Hydroprocessed Renewable Oil  Plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
Relicensed Nuclear Power Plants,us,relative,25.0,,,,,,,,,
coal steam turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
petroleum coke steam turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
gas combined cycle cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
gas steam turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
residual oil steam turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
fossil waste steam turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
biomass cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
landfill gas cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
municipal solid waste cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
gas combustion turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
distillate oil combustion turbine cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
coal steam turbine IPP cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
gas combined cycle IPP cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
gas combustion turbine IPP cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
gas steam turbine IPP cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
residual oil combustion turbine IPP cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
distillate oil combustion turbine IPP cogen power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
biomass cogen IPP power plant w/ccs,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
Wave Power Plant,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
HQ hydro power plants,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
6 - hour bulk battery storage,us,relative,47.0,,,,,,,,,
4 - hour bulk battery storage,us,relative,47.0,,,,,,,,,
2 - hour bulk battery storage,us,relative,47.0,,,,,,,,,
6 - hour distributed battery storage,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
4 - hour distributed battery storage,us,relative,179.0,,,,,,,,,
2 - hour distributed battery storage,us,relative,179.0,,,,,,,,,
Cellulosic Ethanol Plant,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
