name,blend_node,supply_node,geography,other_index_1,interpolation_method,extrapolation_method,extrapolation_growth
gasoline blend - ethanol,Gasoline Blend,Ethanol Blend,us,,linear_interpolation,nearest,
ethanol blend - imported ethanol,Ethanol Blend,Ethanol Production Facilities,us,,linear_interpolation,nearest,
High CCS Onshore Wind,Bulk Electricity Blend,Onshore Wind,electricity interconnection,,linear_interpolation,nearest,
High Renewables Onshore Wind,Bulk Electricity Blend,Onshore Wind,electricity interconnection,,linear_interpolation,nearest,
Mixed Onshore Wind,Bulk Electricity Blend,Onshore Wind,electricity interconnection,,linear_interpolation,nearest,
High Nuclear Onshore Wind,Bulk Electricity Blend,Onshore Wind,electricity interconnection,,linear_interpolation,nearest,
Hydrogen Electrolysis,Hydrogen Blend,Hydrogen Electrolysis - Central Station,us,,linear_interpolation,nearest,
High CCS Offshore Wind,Bulk Electricity Blend,Offshore Wind,electricity interconnection,,linear_interpolation,nearest,
High Renewables Offshore Wind,Bulk Electricity Blend,Offshore Wind,electricity interconnection,,linear_interpolation,nearest,
Mixed Offshore Wind,Bulk Electricity Blend,Offshore Wind,electricity interconnection,,linear_interpolation,nearest,
High Nuclear Offshore Wind,Bulk Electricity Blend,Offshore Wind,electricity interconnection,,linear_interpolation,nearest,
75% Electrolysis,Hydrogen Blend,Hydrogen Electrolysis - Central Station,us,,linear_interpolation,nearest,
High CCS Geothermal,Bulk Electricity Blend,Geothermal Power Plants,electricity interconnection,,linear_interpolation,nearest,
High Renewables Geothermal,Bulk Electricity Blend,Geothermal Power Plants,electricity interconnection,,linear_interpolation,nearest,
Mixed Geothermal,Bulk Electricity Blend,Geothermal Power Plants,electricity interconnection,,linear_interpolation,nearest,
High Nuclear Geothermal,Bulk Electricity Blend,Geothermal Power Plants,electricity interconnection,,linear_interpolation,nearest,
High Renewables Pipeline Blend - Hydrogen ,Pipeline Gas Blend,Hydrogen Blend,us,,linear_interpolation,nearest,
High Renewables Pipeline Blend - Biomass Gasification,Pipeline Gas Blend,Biomass Gasification Facilities,us,,linear_interpolation,nearest,
High Renewables Pipeline Blend  - Power to Gas,Pipeline Gas Blend,Power-to-Gas Production Facilities,us,,linear_interpolation,nearest,
High CCS Transmission PV,Bulk Electricity Blend,Transmission-Sited Solar PV,electricity interconnection,,linear_interpolation,nearest,
High Renewables Transmission PV,Bulk Electricity Blend,Transmission-Sited Solar PV,electricity interconnection,,linear_interpolation,nearest,
Mixed Transmission PV,Bulk Electricity Blend,Transmission-Sited Solar PV,electricity interconnection,,linear_interpolation,nearest,
High Nuclear Transmission PV,Bulk Electricity Blend,Transmission-Sited Solar PV,electricity interconnection,,linear_interpolation,nearest,
Mixed Pipeline Blend - Hydrogen,Pipeline Gas Blend,Hydrogen Blend,us,,linear_interpolation,nearest,
Mixed Pipeline Blend - Biomass Gasification,Pipeline Gas Blend,Biomass Gasification Facilities,us,,linear_interpolation,nearest,
Mixed Pipeline Blend - Power to Gas,Pipeline Gas Blend,Power-to-Gas Production Facilities,us,,linear_interpolation,nearest,
High Nuclear Pipeline Blend - Hydrogen,Pipeline Gas Blend,Hydrogen Blend,us,,linear_interpolation,nearest,
High Nuclear Pipeline Blend - Biomass Gasification,Pipeline Gas Blend,Biomass Gasification Facilities,us,,linear_interpolation,nearest,
High Nuclear Pipeline Blend - Power to Gas,Pipeline Gas Blend,Power-to-Gas Production Facilities,us,,linear_interpolation,nearest,
High CCS Renewable Diesel Blend,Diesel Blend,Renewable Diesel Production Facilities,us,,linear_interpolation,nearest,
High Nuclear Diesel Blend,Diesel Blend,Renewable Diesel Production Facilities,us,,linear_interpolation,nearest,
High CCS Biomass Gasification Pipeline Blend,Pipeline Gas Blend,Biomass Gasification Facilities,us,,linear_interpolation,nearest,
Domestic Oil Share,Oil Blend,Oil Primary - Domestic,us,,linear_interpolation,nearest,
Domestic Natural Gas Default,Natural Gas Blend,Natural Gas Primary - Domestic,us,,linear_interpolation,nearest,
High CCS Renewable Diesel with CCS Blend,Diesel Blend,Renewable Diesel Production Facilities w/CCS,us,,linear_interpolation,nearest,
High CCS Biomass Gasification Pipeline with CCS Blend,Pipeline Gas Blend,Biomass Gasification Facilities w/CCS,us,,linear_interpolation,nearest,
Mixed Pipeline Blend - Biomass Gasification with CCS,Pipeline Gas Blend,Biomass Gasification Facilities w/CCS,us,,linear_interpolation,nearest,
25% Reformation with CCS,Hydrogen Blend,Hydrogen Gas Reformation w/CCS,us,,linear_interpolation,nearest,
35% Biodiesel with CCS by 2050,Diesel Blend,Renewable Diesel Production Facilities w/CCS,us,,linear_interpolation,nearest,
65% Biodiesel without CCS by 2050,Diesel Blend,Renewable Diesel Production Facilities,us,,linear_interpolation,nearest,
0% Combined Cycle w/CCS Capacity Additions in 2020 up to 25% by 2030,Thermal Dispatch Blend,Combined-Cycle Gas Turbines with CCS,us,,linear_interpolation,nearest,
50% Thermal Additions Combined Cycle Gas,Thermal Dispatch Blend,Combined-Cycle Gas Turbines,us,,linear_interpolation,nearest,
75% CCGT in 2020 down to 0% by 2030,Thermal Dispatch Blend,Combined-Cycle Gas Turbines,us,,linear_interpolation,nearest,
0% CCGT W/CCS in 2020 up to 25% in 2030,Thermal Dispatch Blend,Combined-Cycle Gas Turbines with CCS,us,,linear_interpolation,nearest,
0% coal W/CCS in 2020 up to 25% in 2030,Thermal Dispatch Blend,Coal Power Plants with CCS,us,,linear_interpolation,nearest,
100% Reformation with CCS by 2030,Hydrogen Blend,Hydrogen Gas Reformation w/CCS,us,,linear_interpolation,nearest,
Northeast Mitigation Transmission PV,Bulk Electricity Blend,Transmission-Sited Solar PV,census division,,linear_interpolation,nearest,
100% Thermal Additions Gas CC,Thermal Dispatch Blend,Combined-Cycle Gas Turbines,us,,linear_interpolation,nearest,
Northeast Mitigation Onshore Wind,Bulk Electricity Blend,Onshore Wind,census division,,linear_interpolation,nearest,
Northeast Mitigation Offshore Wind,Bulk Electricity Blend,Offshore Wind,census division,,linear_interpolation,nearest,
