parent,gau,demand_sector,resource_bin,year,value,id,sensitivity
delivery - capital,west south central,productive,,2045,-0.24,1327,
delivery - capital,west south central,productive,,2046,-0.254,1328,
delivery - capital,west south central,productive,,2047,-0.266,1329,
delivery - capital,west south central,productive,,2048,-0.272,1330,
delivery - capital,west south central,productive,,2049,-0.292,1331,
delivery - capital,west south central,productive,,2050,-0.312,1332,
delivery - capital,mountain,residential,,2015,6.276,1333,
delivery - capital,mountain,residential,,2016,6.269,1334,
delivery - capital,mountain,residential,,2017,6.643,1335,
delivery - capital,mountain,residential,,2018,6.335,1336,
delivery - capital,mountain,residential,,2019,6.106,1337,
delivery - capital,mountain,residential,,2020,5.941,1338,
delivery - capital,mountain,residential,,2021,6.052,1339,
delivery - capital,mountain,residential,,2022,6.217,1340,
delivery - capital,mountain,residential,,2023,6.296,1341,
delivery - capital,mountain,residential,,2024,6.348,1342,
delivery - capital,mountain,residential,,2025,6.346,1343,
delivery - capital,mountain,residential,,2026,6.397,1344,
delivery - capital,mountain,residential,,2027,6.463,1345,
delivery - capital,mountain,residential,,2028,6.565,1346,
delivery - capital,mountain,residential,,2029,6.63,1347,
delivery - capital,mountain,residential,,2030,6.697,1348,
delivery - capital,mountain,residential,,2031,6.763,1349,
delivery - capital,mountain,residential,,2032,6.824,1350,
delivery - capital,mountain,residential,,2033,6.908,1351,
delivery - capital,mountain,residential,,2034,6.978,1352,
delivery - capital,mountain,residential,,2035,7.08,1353,
delivery - capital,mountain,residential,,2036,7.217,1354,
delivery - capital,mountain,residential,,2037,7.298,1355,
delivery - capital,mountain,residential,,2038,7.373,1356,
delivery - capital,mountain,residential,,2039,7.452,1357,
delivery - capital,mountain,residential,,2040,7.502,1358,
delivery - capital,mountain,residential,,2041,7.574,1359,
delivery - capital,mountain,residential,,2042,7.639,1360,
delivery - capital,mountain,residential,,2043,7.734,1361,
delivery - capital,mountain,residential,,2044,7.775,1362,
delivery - capital,mountain,residential,,2045,7.843,1363,
delivery - capital,mountain,residential,,2046,7.903,1364,
delivery - capital,mountain,residential,,2047,7.96,1365,
delivery - capital,mountain,residential,,2048,8.018,1366,
delivery - capital,mountain,residential,,2049,8.072,1367,
delivery - capital,mountain,residential,,2050,8.132,1368,
delivery - capital,mountain,commercial,,2015,4.562,1369,
delivery - capital,mountain,commercial,,2016,3.342,1370,
delivery - capital,mountain,commercial,,2017,3.397,1371,
delivery - capital,mountain,commercial,,2018,3.643,1372,
delivery - capital,mountain,commercial,,2019,3.887,1373,
delivery - capital,mountain,commercial,,2020,4.206,1374,
delivery - capital,mountain,commercial,,2021,4.335,1375,
delivery - capital,mountain,commercial,,2022,4.463,1376,
delivery - capital,mountain,commercial,,2023,4.503,1377,
delivery - capital,mountain,commercial,,2024,4.518,1378,
delivery - capital,mountain,commercial,,2025,4.49,1379,
delivery - capital,mountain,commercial,,2026,4.511,1380,
delivery - capital,mountain,commercial,,2027,4.534,1381,
delivery - capital,mountain,commercial,,2028,4.598,1382,
delivery - capital,mountain,commercial,,2029,4.626,1383,
delivery - capital,mountain,commercial,,2030,4.66,1384,
delivery - capital,mountain,commercial,,2031,4.692,1385,
delivery - capital,mountain,commercial,,2032,4.718,1386,
delivery - capital,mountain,commercial,,2033,4.764,1387,
delivery - capital,mountain,commercial,,2034,4.794,1388,
delivery - capital,mountain,commercial,,2035,4.849,1389,
delivery - capital,mountain,commercial,,2036,4.935,1390,
delivery - capital,mountain,commercial,,2037,4.965,1391,
delivery - capital,mountain,commercial,,2038,4.995,1392,
delivery - capital,mountain,commercial,,2039,5.029,1393,
delivery - capital,mountain,commercial,,2040,5.036,1394,
delivery - capital,mountain,commercial,,2041,5.067,1395,
delivery - capital,mountain,commercial,,2042,5.093,1396,
delivery - capital,mountain,commercial,,2043,5.147,1397,
delivery - capital,mountain,commercial,,2044,5.147,1398,
delivery - capital,mountain,commercial,,2045,5.173,1399,
delivery - capital,mountain,commercial,,2046,5.191,1400,
delivery - capital,mountain,commercial,,2047,5.204,1401,
delivery - capital,mountain,commercial,,2048,5.219,1402,
delivery - capital,mountain,commercial,,2049,5.234,1403,
delivery - capital,mountain,commercial,,2050,5.252,1404,
delivery - capital,pacific,transportation,,2022,1.919,1405,
delivery - capital,east south central,transportation,,2044,1.192,1406,
delivery - capital,east south central,transportation,,2045,1.201,1407,
delivery - capital,pacific,transportation,,2023,2.004,1408,
delivery - capital,east south central,transportation,,2046,1.194,1409,
delivery - capital,east south central,transportation,,2047,1.201,1410,
delivery - capital,east south central,transportation,,2048,1.209,1411,
delivery - capital,east south central,transportation,,2049,1.208,1412,
delivery - capital,east south central,transportation,,2050,1.202,1413,
delivery - capital,west south central,transportation,,2015,-0.527,1414,
delivery - capital,west south central,transportation,,2016,-0.231,1415,
delivery - capital,west south central,transportation,,2017,-0.108,1416,
delivery - capital,pacific,transportation,,2045,1.836,1417,
delivery - capital,west south central,transportation,,2018,-0.006,1418,
delivery - capital,west south central,transportation,,2019,0.086,1419,
delivery - capital,west south central,transportation,,2020,0.205,1420,
delivery - capital,west south central,transportation,,2021,0.201,1421,
delivery - capital,west south central,transportation,,2022,0.181,1422,
delivery - capital,pacific,transportation,,2024,2.035,1423,
delivery - capital,west south central,transportation,,2023,0.176,1424,
delivery - capital,west south central,transportation,,2024,0.16,1425,
delivery - capital,west south central,transportation,,2025,0.15,1426,
delivery - capital,west south central,transportation,,2026,0.122,1427,
delivery - capital,west south central,transportation,,2027,0.102,1428,
delivery - capital,west south central,transportation,,2028,0.08,1429,
delivery - capital,west south central,transportation,,2029,0.061,1430,
delivery - capital,west south central,transportation,,2030,0.048,1431,
delivery - capital,west south central,transportation,,2031,0.057,1432,
delivery - capital,pacific,transportation,,2046,1.827,1433,
delivery - capital,west south central,transportation,,2032,0.035,1434,
delivery - capital,west south central,transportation,,2033,0.017,1435,
delivery - capital,west south central,transportation,,2034,-0.015,1436,
delivery - capital,west south central,transportation,,2035,-0.038,1437,
delivery - capital,pacific,transportation,,2025,1.975,1438,
delivery - capital,west south central,transportation,,2036,-0.07,1439,
delivery - capital,west south central,transportation,,2037,-0.098,1440,
delivery - capital,mountain,productive,,2015,1.632,1441,
delivery - capital,mountain,productive,,2016,1.192,1442,
delivery - capital,mountain,productive,,2017,0.996,1443,
delivery - capital,mountain,productive,,2018,1.056,1444,
delivery - capital,mountain,productive,,2019,1.054,1445,
delivery - capital,mountain,productive,,2020,1.137,1446,
delivery - capital,mountain,productive,,2021,1.186,1447,
delivery - capital,mountain,productive,,2022,1.272,1448,
delivery - capital,mountain,productive,,2023,1.269,1449,
delivery - capital,mountain,productive,,2024,1.243,1450,
delivery - capital,mountain,productive,,2025,1.142,1451,
delivery - capital,mountain,productive,,2026,1.092,1452,
delivery - capital,mountain,productive,,2027,1.078,1453,
delivery - capital,mountain,productive,,2028,1.092,1454,
delivery - capital,mountain,productive,,2029,1.072,1455,
delivery - capital,mountain,productive,,2030,1.068,1456,
delivery - capital,mountain,productive,,2031,1.056,1457,
delivery - capital,mountain,productive,,2032,1.045,1458,
delivery - capital,mountain,productive,,2033,1.053,1459,
delivery - capital,mountain,productive,,2034,1.042,1460,
delivery - capital,mountain,productive,,2035,1.06,1461,
delivery - capital,mountain,productive,,2036,1.115,1462,
delivery - capital,mountain,productive,,2037,1.122,1463,
delivery - capital,mountain,productive,,2038,1.119,1464,
delivery - capital,mountain,productive,,2039,1.119,1465,
delivery - capital,mountain,productive,,2040,1.097,1466,
delivery - capital,mountain,productive,,2041,1.097,1467,
delivery - capital,mountain,productive,,2042,1.087,1468,
delivery - capital,mountain,productive,,2043,1.106,1469,
delivery - capital,mountain,productive,,2044,1.075,1470,
delivery - capital,mountain,productive,,2045,1.07,1471,
delivery - capital,mountain,productive,,2046,1.061,1472,
delivery - capital,mountain,productive,,2047,1.045,1473,
delivery - capital,mountain,productive,,2048,1.022,1474,
delivery - capital,mountain,productive,,2049,1.01,1475,
delivery - capital,mountain,productive,,2050,0.999,1476,
delivery - capital,pacific,residential,,2015,7.77,1477,
delivery - capital,pacific,residential,,2016,7.64,1478,
delivery - capital,pacific,residential,,2017,7.68,1479,
delivery - capital,pacific,residential,,2018,7.21,1480,
delivery - capital,pacific,residential,,2019,6.96,1481,
delivery - capital,pacific,residential,,2020,6.76,1482,
delivery - capital,pacific,residential,,2021,6.82,1483,
delivery - capital,pacific,residential,,2022,6.88,1484,
delivery - capital,pacific,residential,,2023,7.02,1485,
delivery - capital,pacific,residential,,2024,7.09,1486,
delivery - capital,pacific,residential,,2025,7.05,1487,
delivery - capital,pacific,residential,,2026,7.04,1488,
delivery - capital,pacific,residential,,2027,7.12,1489,
delivery - capital,pacific,residential,,2028,7.19,1490,
delivery - capital,pacific,residential,,2029,7.26,1491,
delivery - capital,pacific,residential,,2030,7.31,1492,
delivery - capital,pacific,residential,,2031,7.37,1493,
delivery - capital,pacific,residential,,2032,7.42,1494,
delivery - capital,pacific,residential,,2033,7.47,1495,
delivery - capital,pacific,residential,,2034,7.51,1496,
delivery - capital,pacific,residential,,2035,7.56,1497,
delivery - capital,pacific,residential,,2036,7.61,1498,
delivery - capital,pacific,residential,,2037,7.65,1499,
delivery - capital,pacific,residential,,2038,7.69,1500,
delivery - capital,pacific,residential,,2039,7.73,1501,
delivery - capital,pacific,residential,,2040,7.76,1502,
delivery - capital,pacific,residential,,2041,7.8,1503,
delivery - capital,pacific,residential,,2042,7.84,1504,
delivery - capital,pacific,residential,,2043,7.88,1505,
delivery - capital,pacific,residential,,2044,7.92,1506,
delivery - capital,pacific,residential,,2045,7.97,1507,
delivery - capital,pacific,residential,,2046,8.0,1508,
delivery - capital,pacific,residential,,2047,8.04,1509,
delivery - capital,pacific,residential,,2048,8.08,1510,
delivery - capital,pacific,residential,,2049,8.12,1511,
delivery - capital,pacific,residential,,2050,8.15,1512,
delivery - capital,pacific,commercial,,2015,4.95,1513,
delivery - capital,pacific,commercial,,2016,5.5,1514,
delivery - capital,pacific,commercial,,2017,5.83,1515,
delivery - capital,pacific,commercial,,2018,6.08,1516,
delivery - capital,pacific,commercial,,2019,6.28,1517,
delivery - capital,pacific,commercial,,2020,6.52,1518,
delivery - capital,pacific,commercial,,2021,6.55,1519,
delivery - capital,pacific,commercial,,2022,6.63,1520,
delivery - capital,pacific,commercial,,2023,6.77,1521,
delivery - capital,pacific,commercial,,2024,6.84,1522,
delivery - capital,pacific,commercial,,2025,6.8,1523,
delivery - capital,pacific,commercial,,2026,6.79,1524,
delivery - capital,pacific,commercial,,2027,6.86,1525,
delivery - capital,pacific,commercial,,2028,6.94,1526,
delivery - capital,pacific,commercial,,2029,7.01,1527,
delivery - capital,pacific,commercial,,2030,7.07,1528,
delivery - capital,pacific,commercial,,2031,7.12,1529,
delivery - capital,pacific,commercial,,2032,7.16,1530,
delivery - capital,pacific,commercial,,2033,7.2,1531,
delivery - capital,pacific,commercial,,2034,7.23,1532,
delivery - capital,pacific,commercial,,2035,7.27,1533,
delivery - capital,pacific,commercial,,2036,7.31,1534,
delivery - capital,pacific,commercial,,2037,7.34,1535,
delivery - capital,pacific,commercial,,2038,7.36,1536,
delivery - capital,pacific,commercial,,2039,7.38,1537,
delivery - capital,pacific,commercial,,2040,7.4,1538,
delivery - capital,pacific,commercial,,2041,7.43,1539,
delivery - capital,pacific,commercial,,2042,7.47,1540,
delivery - capital,pacific,commercial,,2043,7.49,1541,
delivery - capital,pacific,commercial,,2044,7.52,1542,
delivery - capital,pacific,commercial,,2045,7.55,1543,
delivery - capital,pacific,commercial,,2046,7.57,1544,
delivery - capital,pacific,commercial,,2047,7.61,1545,
delivery - capital,pacific,commercial,,2048,7.62,1546,
delivery - capital,pacific,commercial,,2049,7.66,1547,
delivery - capital,pacific,commercial,,2050,7.67,1548,
delivery - capital,pacific,transportation,,2026,1.928,1549,
delivery - capital,west south central,transportation,,2038,-0.121,1550,
delivery - capital,west south central,transportation,,2039,-0.144,1551,
delivery - capital,pacific,transportation,,2027,1.982,1552,
delivery - capital,west south central,transportation,,2040,-0.168,1553,
delivery - capital,west south central,transportation,,2041,-0.182,1554,
delivery - capital,west south central,transportation,,2042,-0.196,1555,
delivery - capital,west south central,transportation,,2043,-0.202,1556,
delivery - capital,west south central,transportation,,2044,-0.22,1557,
delivery - capital,west south central,transportation,,2045,-0.24,1558,
delivery - capital,west south central,transportation,,2046,-0.254,1559,
delivery - capital,west south central,transportation,,2047,-0.266,1560,
delivery - capital,west south central,transportation,,2048,-0.272,1561,
delivery - capital,west south central,transportation,,2049,-0.292,1562,
delivery - capital,west south central,transportation,,2050,-0.312,1563,
delivery - capital,pacific,transportation,,2047,1.832,1564,
delivery - capital,mountain,transportation,,2015,1.632,1565,
delivery - capital,mountain,transportation,,2016,1.192,1566,
delivery - capital,pacific,transportation,,2028,1.975,1567,
delivery - capital,mountain,transportation,,2017,0.996,1568,
delivery - capital,mountain,transportation,,2018,1.056,1569,
delivery - capital,mountain,transportation,,2019,1.054,1570,
delivery - capital,mountain,transportation,,2020,1.137,1571,
delivery - capital,mountain,transportation,,2021,1.186,1572,
delivery - capital,mountain,transportation,,2022,1.272,1573,
delivery - capital,mountain,transportation,,2023,1.269,1574,
delivery - capital,mountain,transportation,,2024,1.243,1575,
delivery - capital,mountain,transportation,,2025,1.142,1576,
delivery - capital,mountain,transportation,,2026,1.092,1577,
delivery - capital,mountain,transportation,,2027,1.078,1578,
delivery - capital,mountain,transportation,,2028,1.092,1579,
delivery - capital,pacific,transportation,,2048,1.835,1580,
delivery - capital,mountain,transportation,,2029,1.072,1581,
delivery - capital,pacific,transportation,,2029,1.973,1582,
delivery - capital,mountain,transportation,,2030,1.068,1583,
delivery - capital,mountain,transportation,,2031,1.056,1584,
delivery - capital,pacific,productive,,2015,1.94,1585,
delivery - capital,pacific,productive,,2016,1.974,1586,
delivery - capital,pacific,productive,,2017,1.766,1587,
delivery - capital,pacific,productive,,2018,1.783,1588,
delivery - capital,pacific,productive,,2019,1.792,1589,
delivery - capital,pacific,productive,,2020,1.864,1590,
delivery - capital,pacific,productive,,2021,1.894,1591,
delivery - capital,pacific,productive,,2022,1.919,1592,
delivery - capital,pacific,productive,,2023,2.004,1593,
delivery - capital,pacific,productive,,2024,2.035,1594,
delivery - capital,pacific,productive,,2025,1.975,1595,
delivery - capital,pacific,productive,,2026,1.928,1596,
delivery - capital,pacific,productive,,2027,1.982,1597,
delivery - capital,pacific,productive,,2028,1.975,1598,
delivery - capital,pacific,productive,,2029,1.973,1599,
delivery - capital,pacific,productive,,2030,1.973,1600,
delivery - capital,pacific,productive,,2031,1.969,1601,
delivery - capital,pacific,productive,,2032,1.95,1602,
delivery - capital,pacific,productive,,2033,1.939,1603,
delivery - capital,pacific,productive,,2034,1.924,1604,
delivery - capital,pacific,productive,,2035,1.909,1605,
delivery - capital,pacific,productive,,2036,1.895,1606,
delivery - capital,pacific,productive,,2037,1.878,1607,
delivery - capital,pacific,productive,,2038,1.864,1608,
delivery - capital,pacific,productive,,2039,1.849,1609,
delivery - capital,pacific,productive,,2040,1.841,1610,
delivery - capital,pacific,productive,,2041,1.834,1611,
delivery - capital,pacific,productive,,2042,1.841,1612,
delivery - capital,pacific,productive,,2043,1.841,1613,
delivery - capital,pacific,productive,,2044,1.838,1614,
delivery - capital,pacific,productive,,2045,1.836,1615,
delivery - capital,pacific,productive,,2046,1.827,1616,
delivery - capital,pacific,productive,,2047,1.832,1617,
delivery - capital,pacific,productive,,2048,1.835,1618,
delivery - capital,pacific,productive,,2049,1.845,1619,
delivery - capital,pacific,productive,,2050,1.826,1620,
Electricity Distribution Costs,SRSO,,,2015,22.609,1621,
Electricity Distribution Costs,SRSO,,,2016,21.757,1622,
Electricity Distribution Costs,SRSO,,,2017,20.635,1623,
Electricity Distribution Costs,SRSO,,,2018,23.274,1624,
Electricity Distribution Costs,SRSO,,,2019,23.549,1625,
Electricity Distribution Costs,SRSO,,,2020,23.885,1626,
Electricity Distribution Costs,SRSO,,,2021,24.038,1627,
Electricity Distribution Costs,SRSO,,,2022,26.138,1628,
Electricity Distribution Costs,SRSO,,,2023,25.971,1629,
Electricity Distribution Costs,SRSO,,,2024,24.311,1630,
Electricity Distribution Costs,SRSO,,,2025,24.798,1631,
Electricity Distribution Costs,SRSO,,,2026,24.316,1632,
Electricity Distribution Costs,SRSO,,,2027,23.532,1633,
Electricity Distribution Costs,SRSO,,,2028,22.935,1634,
Electricity Distribution Costs,SRSO,,,2029,22.5,1635,
Electricity Distribution Costs,SRSO,,,2030,22.275,1636,
Electricity Distribution Costs,SRSO,,,2031,23.055,1637,
Electricity Distribution Costs,SRSO,,,2032,23.605,1638,
Electricity Distribution Costs,SRSO,,,2033,24.191,1639,
Electricity Distribution Costs,SRSO,,,2034,24.422,1640,
Electricity Distribution Costs,SRSO,,,2035,23.975,1641,
Electricity Distribution Costs,SRSO,,,2036,24.424,1642,
Electricity Distribution Costs,SRSO,,,2037,24.256,1643,
Electricity Distribution Costs,SRSO,,,2038,24.548,1644,
Electricity Distribution Costs,SRSO,,,2039,24.818,1645,
Electricity Distribution Costs,SRSO,,,2040,25.425,1646,
Electricity Distribution Costs,SRSO,,,2041,25.832,1647,
Electricity Distribution Costs,SRSO,,,2042,25.798,1648,
Electricity Distribution Costs,SRSO,,,2043,25.696,1649,
Electricity Distribution Costs,SRSO,,,2044,25.665,1650,
Electricity Distribution Costs,SRSO,,,2045,25.663,1651,
Electricity Distribution Costs,SRSO,,,2046,25.641,1652,
Electricity Distribution Costs,SRSO,,,2047,25.75,1653,
Electricity Distribution Costs,SRSO,,,2048,25.517,1654,
Electricity Distribution Costs,SRSO,,,2049,25.396,1655,
Electricity Distribution Costs,SRSO,,,2050,24.924,1656,
Electricity Distribution Costs,SRTV,,,2015,18.368,1657,
Electricity Distribution Costs,SRTV,,,2016,20.741,1658,
Electricity Distribution Costs,SRTV,,,2017,19.168,1659,
Electricity Distribution Costs,SRTV,,,2018,17.845,1660,
Electricity Distribution Costs,SRTV,,,2019,17.579,1661,
Electricity Distribution Costs,SRTV,,,2020,17.41,1662,
Electricity Distribution Costs,SRTV,,,2021,17.15,1663,
Electricity Distribution Costs,SRTV,,,2022,19.046,1664,
Electricity Distribution Costs,SRTV,,,2023,18.822,1665,
Electricity Distribution Costs,SRTV,,,2024,14.482,1666,
Electricity Distribution Costs,SRTV,,,2025,13.519,1667,
Electricity Distribution Costs,SRTV,,,2026,11.732,1668,
Electricity Distribution Costs,SRTV,,,2027,10.552,1669,
Electricity Distribution Costs,SRTV,,,2028,9.837,1670,
Electricity Distribution Costs,SRTV,,,2029,9.109,1671,
Electricity Distribution Costs,SRTV,,,2030,8.976,1672,
Electricity Distribution Costs,SRTV,,,2031,10.426,1673,
Electricity Distribution Costs,SRTV,,,2032,10.963,1674,
Electricity Distribution Costs,SRTV,,,2033,11.476,1675,
Electricity Distribution Costs,SRTV,,,2034,11.65,1676,
Electricity Distribution Costs,SRTV,,,2035,10.24,1677,
Electricity Distribution Costs,SRTV,,,2036,10.316,1678,
Electricity Distribution Costs,SRTV,,,2037,10.396,1679,
Electricity Distribution Costs,SRTV,,,2038,10.37,1680,
Electricity Distribution Costs,SRTV,,,2039,10.581,1681,
Electricity Distribution Costs,SRTV,,,2040,11.507,1682,
Electricity Distribution Costs,SRTV,,,2041,11.595,1683,
Electricity Distribution Costs,SRTV,,,2042,11.324,1684,
Electricity Distribution Costs,SRTV,,,2043,11.316,1685,
Electricity Distribution Costs,SRTV,,,2044,11.538,1686,
Electricity Distribution Costs,SRTV,,,2045,11.819,1687,
Electricity Distribution Costs,SRTV,,,2046,11.584,1688,
Electricity Distribution Costs,SRTV,,,2047,11.599,1689,
Electricity Distribution Costs,SRTV,,,2048,12.186,1690,
Electricity Distribution Costs,SRTV,,,2049,13.199,1691,
Electricity Distribution Costs,SRTV,,,2050,11.282,1692,
Electricity Distribution Costs,AKGD,,,2015,29.121,1693,
Electricity Distribution Costs,AKGD,,,2016,32.538,1694,
Electricity Distribution Costs,AKGD,,,2017,32.094,1695,
Electricity Distribution Costs,AKGD,,,2018,30.161,1696,
Electricity Distribution Costs,AKGD,,,2019,30.325,1697,
Electricity Distribution Costs,AKGD,,,2020,30.741,1698,
Electricity Distribution Costs,AKGD,,,2021,31.029,1699,
Electricity Distribution Costs,AKGD,,,2022,33.818,1700,
Electricity Distribution Costs,AKGD,,,2023,34.207,1701,
Electricity Distribution Costs,AKGD,,,2024,32.845,1702,
Electricity Distribution Costs,AKGD,,,2025,33.307,1703,
Electricity Distribution Costs,AKGD,,,2026,33.043,1704,
Electricity Distribution Costs,AKGD,,,2027,32.146,1705,
Electricity Distribution Costs,AKGD,,,2028,31.502,1706,
Electricity Distribution Costs,AKGD,,,2029,30.988,1707,
Electricity Distribution Costs,AKGD,,,2030,30.737,1708,
Electricity Distribution Costs,AKGD,,,2031,31.171,1709,
Electricity Distribution Costs,AKGD,,,2032,31.683,1710,
Electricity Distribution Costs,AKGD,,,2033,32.135,1711,
Electricity Distribution Costs,AKGD,,,2034,32.223,1712,
Electricity Distribution Costs,AKGD,,,2035,31.667,1713,
Electricity Distribution Costs,AKGD,,,2036,31.708,1714,
Electricity Distribution Costs,AKGD,,,2037,31.875,1715,
Electricity Distribution Costs,AKGD,,,2038,31.919,1716,
Electricity Distribution Costs,AKGD,,,2039,32.077,1717,
Electricity Distribution Costs,AKGD,,,2040,32.496,1718,
Electricity Distribution Costs,AKGD,,,2041,32.832,1719,
Electricity Distribution Costs,AKGD,,,2042,32.862,1720,
Electricity Distribution Costs,AKGD,,,2043,32.795,1721,
Electricity Distribution Costs,AKGD,,,2044,32.779,1722,
Electricity Distribution Costs,AKGD,,,2045,32.709,1723,
Electricity Distribution Costs,AKGD,,,2046,32.614,1724,
Electricity Distribution Costs,AKGD,,,2047,32.609,1725,
Electricity Distribution Costs,AKGD,,,2048,32.505,1726,
Electricity Distribution Costs,AKGD,,,2049,32.47,1727,
Electricity Distribution Costs,AKGD,,,2050,31.819,1728,
Electricity Distribution Costs,AKMS,,,2015,29.121,1729,
Electricity Distribution Costs,AKMS,,,2016,32.538,1730,
Electricity Distribution Costs,AKMS,,,2017,32.094,1731,
Electricity Distribution Costs,AKMS,,,2018,30.161,1732,
Electricity Distribution Costs,AKMS,,,2019,30.325,1733,
Electricity Distribution Costs,AKMS,,,2020,30.741,1734,
Electricity Distribution Costs,AKMS,,,2021,31.029,1735,
Electricity Distribution Costs,AKMS,,,2022,33.818,1736,
Electricity Distribution Costs,AKMS,,,2023,34.207,1737,
Electricity Distribution Costs,AKMS,,,2024,32.845,1738,
Electricity Distribution Costs,AKMS,,,2025,33.307,1739,
Electricity Distribution Costs,AKMS,,,2026,33.043,1740,
Electricity Distribution Costs,AKMS,,,2027,32.146,1741,
Electricity Distribution Costs,AKMS,,,2028,31.502,1742,
Electricity Distribution Costs,AKMS,,,2029,30.988,1743,
Electricity Distribution Costs,AKMS,,,2030,30.737,1744,
Electricity Distribution Costs,AKMS,,,2031,31.171,1745,
Electricity Distribution Costs,AKMS,,,2032,31.683,1746,
Electricity Distribution Costs,AKMS,,,2033,32.135,1747,
Electricity Distribution Costs,AKMS,,,2034,32.223,1748,
Electricity Distribution Costs,AKMS,,,2035,31.667,1749,
Electricity Distribution Costs,AKMS,,,2036,31.708,1750,
Electricity Distribution Costs,AKMS,,,2037,31.875,1751,
Electricity Distribution Costs,AKMS,,,2038,31.919,1752,
Electricity Distribution Costs,AKMS,,,2039,32.077,1753,
Electricity Distribution Costs,AKMS,,,2040,32.496,1754,
Electricity Distribution Costs,AKMS,,,2041,32.832,1755,
Electricity Distribution Costs,AKMS,,,2042,32.862,1756,
Electricity Distribution Costs,AKMS,,,2043,32.795,1757,
Electricity Distribution Costs,AKMS,,,2044,32.779,1758,
Electricity Distribution Costs,AKMS,,,2045,32.709,1759,
Electricity Distribution Costs,AKMS,,,2046,32.614,1760,
Electricity Distribution Costs,AKMS,,,2047,32.609,1761,
Electricity Distribution Costs,AKMS,,,2048,32.505,1762,
Electricity Distribution Costs,AKMS,,,2049,32.47,1763,
Electricity Distribution Costs,AKMS,,,2050,31.819,1764,
Electricity Distribution Costs,AZNM,,,2015,23.678,1765,
Electricity Distribution Costs,AZNM,,,2016,33.65,1766,
Electricity Distribution Costs,AZNM,,,2017,31.022,1767,
Electricity Distribution Costs,AZNM,,,2018,24.686,1768,
Electricity Distribution Costs,AZNM,,,2019,24.845,1769,
Electricity Distribution Costs,AZNM,,,2020,25.233,1770,
Electricity Distribution Costs,AZNM,,,2021,25.587,1771,
Electricity Distribution Costs,AZNM,,,2022,27.644,1772,
Electricity Distribution Costs,AZNM,,,2023,27.143,1773,
Electricity Distribution Costs,AZNM,,,2024,25.706,1774,
Electricity Distribution Costs,AZNM,,,2025,26.262,1775,
Electricity Distribution Costs,AZNM,,,2026,26.913,1776,
Electricity Distribution Costs,AZNM,,,2027,27.199,1777,
Electricity Distribution Costs,AZNM,,,2028,27.015,1778,
Electricity Distribution Costs,AZNM,,,2029,26.588,1779,
Electricity Distribution Costs,AZNM,,,2030,26.664,1780,
Electricity Distribution Costs,AZNM,,,2031,27.038,1781,
Electricity Distribution Costs,AZNM,,,2032,27.657,1782,
Electricity Distribution Costs,AZNM,,,2033,28.57,1783,
Electricity Distribution Costs,AZNM,,,2034,29.218,1784,
Electricity Distribution Costs,AZNM,,,2035,29.627,1785,
Electricity Distribution Costs,AZNM,,,2036,30.16,1786,
Electricity Distribution Costs,AZNM,,,2037,31.095,1787,
Electricity Distribution Costs,AZNM,,,2038,31.679,1788,
Electricity Distribution Costs,AZNM,,,2039,32.135,1789,
Electricity Distribution Costs,AZNM,,,2040,32.499,1790,
Electricity Distribution Costs,AZNM,,,2041,32.881,1791,
Electricity Distribution Costs,AZNM,,,2042,33.245,1792,
Electricity Distribution Costs,AZNM,,,2043,33.683,1793,
Electricity Distribution Costs,AZNM,,,2044,33.95,1794,
Electricity Distribution Costs,AZNM,,,2045,34.04,1795,
Electricity Distribution Costs,AZNM,,,2046,34.032,1796,
Electricity Distribution Costs,AZNM,,,2047,33.524,1797,
Electricity Distribution Costs,AZNM,,,2048,33.262,1798,
Electricity Distribution Costs,AZNM,,,2049,32.574,1799,
Electricity Distribution Costs,AZNM,,,2050,32.116,1800,
Electricity Distribution Costs,NWPP,,,2015,31.303,1801,
Electricity Distribution Costs,NWPP,,,2016,38.043,1802,
Electricity Distribution Costs,NWPP,,,2017,34.421,1803,
Electricity Distribution Costs,NWPP,,,2018,31.134,1804,
Electricity Distribution Costs,NWPP,,,2019,31.096,1805,
Electricity Distribution Costs,NWPP,,,2020,31.262,1806,
Electricity Distribution Costs,NWPP,,,2021,31.345,1807,
Electricity Distribution Costs,NWPP,,,2022,33.517,1808,
Electricity Distribution Costs,NWPP,,,2023,34.593,1809,
Electricity Distribution Costs,NWPP,,,2024,34.573,1810,
Electricity Distribution Costs,NWPP,,,2025,35.674,1811,
Electricity Distribution Costs,NWPP,,,2026,35.741,1812,
Electricity Distribution Costs,NWPP,,,2027,35.589,1813,
Electricity Distribution Costs,NWPP,,,2028,35.772,1814,
Electricity Distribution Costs,NWPP,,,2029,35.925,1815,
Electricity Distribution Costs,NWPP,,,2030,36.086,1816,
Electricity Distribution Costs,NWPP,,,2031,36.262,1817,
Electricity Distribution Costs,NWPP,,,2032,36.513,1818,
Electricity Distribution Costs,NWPP,,,2033,36.786,1819,
Electricity Distribution Costs,NWPP,,,2034,36.995,1820,
Electricity Distribution Costs,NWPP,,,2035,37.177,1821,
Electricity Distribution Costs,NWPP,,,2036,37.311,1822,
Electricity Distribution Costs,NWPP,,,2037,37.459,1823,
Electricity Distribution Costs,NWPP,,,2038,37.661,1824,
Electricity Distribution Costs,NWPP,,,2039,37.82,1825,
