parent,gau,demand_sector,resource_bin,year,value,id,sensitivity
delivery - capital,west north central,,,2030,0.777,124,
delivery - capital,west north central,,,2031,0.714,125,
delivery - capital,west north central,,,2032,0.716,126,
delivery - capital,west north central,,,2033,0.728,127,
delivery - capital,west north central,,,2034,0.732,128,
delivery - capital,west north central,,,2035,0.783,129,
delivery - capital,west north central,,,2036,0.822,130,
delivery - capital,west north central,,,2037,0.846,131,
delivery - capital,west north central,,,2038,0.879,132,
delivery - capital,west north central,,,2039,0.901,133,
delivery - capital,west north central,,,2040,0.894,134,
delivery - capital,west north central,,,2041,0.899,135,
delivery - capital,west north central,,,2042,0.88,136,
delivery - capital,west north central,,,2043,0.872,137,
delivery - capital,west north central,,,2044,0.888,138,
delivery - capital,west north central,,,2045,0.925,139,
delivery - capital,west north central,,,2046,0.954,140,
delivery - capital,west north central,,,2047,0.988,141,
delivery - capital,west north central,,,2048,1.034,142,
delivery - capital,west north central,,,2049,0.982,143,
delivery - capital,west north central,,,2050,1.03,144,
delivery - capital,south atlantic,,,2015,1.336,145,
delivery - capital,south atlantic,,,2016,1.437,146,
delivery - capital,south atlantic,,,2017,1.35,147,
delivery - capital,south atlantic,,,2018,1.135,148,
delivery - capital,south atlantic,,,2019,0.904,149,
delivery - capital,south atlantic,,,2020,0.701,150,
delivery - capital,south atlantic,,,2021,0.874,151,
delivery - capital,south atlantic,,,2022,0.967,152,
delivery - capital,south atlantic,,,2023,0.958,153,
delivery - capital,south atlantic,,,2024,1.007,154,
delivery - capital,south atlantic,,,2025,1.077,155,
delivery - capital,south atlantic,,,2026,1.093,156,
delivery - capital,south atlantic,,,2027,1.219,157,
delivery - capital,south atlantic,,,2028,1.177,158,
delivery - capital,south atlantic,,,2029,1.146,159,
delivery - capital,south atlantic,,,2030,1.142,160,
delivery - capital,south atlantic,,,2031,1.048,161,
delivery - capital,south atlantic,,,2032,1.019,162,
delivery - capital,south atlantic,,,2033,1.033,163,
delivery - capital,south atlantic,,,2034,1.053,164,
delivery - capital,south atlantic,,,2035,1.043,165,
delivery - capital,south atlantic,,,2036,1.053,166,
delivery - capital,south atlantic,,,2037,1.126,167,
delivery - capital,south atlantic,,,2038,1.137,168,
delivery - capital,south atlantic,,,2039,1.121,169,
delivery - capital,south atlantic,,,2040,1.083,170,
delivery - capital,south atlantic,,,2041,1.073,171,
delivery - capital,south atlantic,,,2042,1.024,172,
delivery - capital,south atlantic,,,2043,0.95,173,
delivery - capital,south atlantic,,,2044,0.956,174,
delivery - capital,south atlantic,,,2045,0.927,175,
delivery - capital,south atlantic,,,2046,0.906,176,
delivery - capital,south atlantic,,,2047,0.859,177,
delivery - capital,south atlantic,,,2048,0.804,178,
delivery - capital,south atlantic,,,2049,0.771,179,
delivery - capital,south atlantic,,,2050,0.815,180,
delivery - capital,east south central,,,2015,0.28,181,
delivery - capital,east south central,,,2016,0.369,182,
delivery - capital,east south central,,,2017,0.461,183,
delivery - capital,east south central,,,2018,0.416,184,
delivery - capital,east south central,,,2019,0.253,185,
delivery - capital,east south central,,,2020,0.117,186,
delivery - capital,east south central,,,2021,0.198,187,
delivery - capital,east south central,,,2022,0.268,188,
delivery - capital,east south central,,,2023,0.273,189,
delivery - capital,east south central,,,2024,0.231,190,
delivery - capital,east south central,,,2025,0.26,191,
delivery - capital,east south central,,,2026,0.249,192,
delivery - capital,east south central,,,2027,0.29,193,
delivery - capital,east south central,,,2028,0.301,194,
delivery - capital,east south central,,,2029,0.308,195,
delivery - capital,east south central,,,2030,0.294,196,
delivery - capital,east south central,,,2031,0.261,197,
delivery - capital,east south central,,,2032,0.253,198,
delivery - capital,east south central,,,2033,0.256,199,
delivery - capital,east south central,,,2034,0.264,200,
delivery - capital,east south central,,,2035,0.259,201,
delivery - capital,east south central,,,2036,0.266,202,
delivery - capital,east south central,,,2037,0.272,203,
delivery - capital,east south central,,,2038,0.282,204,
delivery - capital,east south central,,,2039,0.275,205,
delivery - capital,east south central,,,2040,0.241,206,
delivery - capital,east south central,,,2041,0.229,207,
delivery - capital,east south central,,,2042,0.197,208,
delivery - capital,east south central,,,2043,0.169,209,
delivery - capital,east south central,,,2044,0.188,210,
delivery - capital,east south central,,,2045,0.215,211,
delivery - capital,east south central,,,2046,0.214,212,
delivery - capital,east south central,,,2047,0.19,213,
delivery - capital,east south central,,,2048,0.154,214,
delivery - capital,east south central,,,2049,0.126,215,
delivery - capital,east south central,,,2050,0.134,216,
delivery - capital,west south central,,,2015,0.186,217,
delivery - capital,west south central,,,2016,-0.026,218,
delivery - capital,west south central,,,2017,0.09,219,
delivery - capital,west south central,,,2018,0.025,220,
delivery - capital,west south central,,,2019,-0.066,221,
delivery - capital,west south central,,,2020,-0.159,222,
delivery - capital,west south central,,,2021,-0.117,223,
delivery - capital,west south central,,,2022,-0.108,224,
delivery - capital,west south central,,,2023,-0.134,225,
delivery - capital,west south central,,,2024,-0.155,226,
delivery - capital,west south central,,,2025,-0.149,227,
delivery - capital,west south central,,,2026,-0.123,228,
delivery - capital,west south central,,,2027,-0.11,229,
delivery - capital,west south central,,,2028,-0.103,230,
delivery - capital,west south central,,,2029,-0.096,231,
delivery - capital,west south central,,,2030,-0.099,232,
delivery - capital,west south central,,,2031,-0.153,233,
delivery - capital,west south central,,,2032,-0.152,234,
delivery - capital,west south central,,,2033,-0.133,235,
delivery - capital,west south central,,,2034,-0.108,236,
delivery - capital,west south central,,,2035,-0.107,237,
delivery - capital,west south central,,,2036,-0.087,238,
delivery - capital,west south central,,,2037,-0.073,239,
delivery - capital,west south central,,,2038,-0.046,240,
delivery - capital,west south central,,,2039,-0.025,241,
delivery - capital,west south central,,,2040,-0.027,242,
delivery - capital,west south central,,,2041,-0.027,243,
delivery - capital,west south central,,,2042,-0.038,244,
delivery - capital,west south central,,,2043,-0.055,245,
delivery - capital,west south central,,,2044,-0.037,246,
delivery - capital,west south central,,,2045,-0.011,247,
delivery - capital,west south central,,,2046,0.004,248,
delivery - capital,west south central,,,2047,0.018,249,
delivery - capital,west south central,,,2048,0.033,250,
delivery - capital,west south central,,,2049,0.021,251,
delivery - capital,west south central,,,2050,0.024,252,
delivery - capital,mountain,,,2015,0.626,253,
delivery - capital,mountain,,,2016,0.438,254,
delivery - capital,mountain,,,2017,0.657,255,
delivery - capital,mountain,,,2018,0.561,256,
delivery - capital,mountain,,,2019,0.302,257,
delivery - capital,mountain,,,2020,-0.139,258,
delivery - capital,mountain,,,2021,-0.019,259,
delivery - capital,mountain,,,2022,-0.037,260,
delivery - capital,mountain,,,2023,-0.068,261,
delivery - capital,mountain,,,2024,-0.093,262,
delivery - capital,mountain,,,2025,0.101,263,
delivery - capital,mountain,,,2026,0.147,264,
delivery - capital,mountain,,,2027,0.069,265,
delivery - capital,mountain,,,2028,-0.024,266,
delivery - capital,mountain,,,2029,-0.083,267,
delivery - capital,mountain,,,2030,-0.166,268,
delivery - capital,mountain,,,2031,-0.305,269,
delivery - capital,mountain,,,2032,-0.301,270,
delivery - capital,mountain,,,2033,-0.246,271,
delivery - capital,mountain,,,2034,-0.204,272,
delivery - capital,mountain,,,2035,-0.255,273,
delivery - capital,mountain,,,2036,-0.2,274,
delivery - capital,mountain,,,2037,-0.15,275,
delivery - capital,mountain,,,2038,-0.13,276,
delivery - capital,mountain,,,2039,-0.126,277,
delivery - capital,mountain,,,2040,-0.055,278,
delivery - capital,mountain,,,2041,-0.088,279,
delivery - capital,mountain,,,2042,-0.125,280,
delivery - capital,mountain,,,2043,-0.203,281,
delivery - capital,mountain,,,2044,-0.127,282,
delivery - capital,mountain,,,2045,-0.094,283,
delivery - capital,mountain,,,2046,-0.077,284,
delivery - capital,mountain,,,2047,-0.043,285,
delivery - capital,mountain,,,2048,0.023,286,
delivery - capital,mountain,,,2049,0.088,287,
delivery - capital,mountain,,,2050,0.12,288,
delivery - capital,pacific,,,2015,0.653,289,
delivery - capital,pacific,,,2016,0.328,290,
delivery - capital,pacific,,,2017,0.686,291,
delivery - capital,pacific,,,2018,0.638,292,
delivery - capital,pacific,,,2019,0.364,293,
delivery - capital,pacific,,,2020,-0.091,294,
delivery - capital,pacific,,,2021,0.03,295,
delivery - capital,pacific,,,2022,0.109,296,
delivery - capital,pacific,,,2023,-0.003,297,
delivery - capital,pacific,,,2024,-0.101,298,
delivery - capital,pacific,,,2025,0.167,299,
delivery - capital,pacific,,,2026,0.293,300,
delivery - capital,pacific,,,2027,0.171,301,
delivery - capital,pacific,,,2028,0.131,302,
delivery - capital,pacific,,,2029,0.09,303,
delivery - capital,pacific,,,2030,0.022,304,
delivery - capital,pacific,,,2031,-0.097,305,
delivery - capital,pacific,,,2032,-0.091,306,
delivery - capital,pacific,,,2033,-0.031,307,
delivery - capital,pacific,,,2034,0.025,308,
delivery - capital,pacific,,,2035,-0.008,309,
delivery - capital,pacific,,,2036,0.052,310,
delivery - capital,pacific,,,2037,0.058,311,
delivery - capital,pacific,,,2038,0.064,312,
delivery - capital,pacific,,,2039,0.051,313,
delivery - capital,pacific,,,2040,0.073,314,
delivery - capital,pacific,,,2041,0.044,315,
delivery - capital,pacific,,,2042,-0.013,316,
delivery - capital,pacific,,,2043,-0.076,317,
delivery - capital,pacific,,,2044,-0.037,318,
delivery - capital,pacific,,,2045,-0.014,319,
delivery - capital,pacific,,,2046,-0.007,320,
delivery - capital,pacific,,,2047,-0.014,321,
delivery - capital,pacific,,,2048,0.029,322,
delivery - capital,pacific,,,2049,0.079,323,
delivery - capital,pacific,,,2050,0.109,324,
delivery - capital,new england,residential,,2015,8.659,325,
delivery - capital,new england,residential,,2016,9.038,326,
delivery - capital,new england,residential,,2017,8.804,327,
delivery - capital,new england,residential,,2018,8.872,328,
delivery - capital,new england,residential,,2019,8.676,329,
delivery - capital,new england,residential,,2020,8.428,330,
delivery - capital,new england,residential,,2021,8.536,331,
delivery - capital,new england,residential,,2022,8.684,332,
