demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,final_energy,utility_factor,is_numerator_service,numerator_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,geography_map_key
High Efficiency Clothes Washer - Front Loading,absolute,,us,,,electricity,1.0,False,kilowatt_hour,cubic_foot_cycle,linear_interpolation,nearest,,,,
Reference Clothes Washer - Top Loading,absolute,,us,,,electricity,1.0,False,kilowatt_hour,cubic_foot_cycle,linear_interpolation,nearest,,,,
High Efficiency Clothes Washer - Top Loading,absolute,,us,,,electricity,1.0,False,kilowatt_hour,cubic_foot_cycle,linear_interpolation,nearest,,,,
Reference Electric Clothes Dryer,absolute,,us,,,electricity,1.0,True,lb,kilowatt_hour,linear_interpolation,nearest,,,,
High Efficiency Electric Clothes Dryer,absolute,,us,,,electricity,1.0,True,lb,kilowatt_hour,linear_interpolation,nearest,,,,
Reference Gas Clothes Dryer,absolute,,us,,,pipeline gas,1.0,True,lb,kilowatt_hour,linear_interpolation,nearest,,,,
High Efficiency Gas Clothes Dryer,absolute,,us,,,pipeline gas,1.0,True,lb,kilowatt_hour,linear_interpolation,nearest,,,,
Reference Dishwasher,absolute,,us,,,electricity,1.0,False,kWh,cycle,linear_interpolation,nearest,,,,
High Efficiency Dishwasher,absolute,,us,,,electricity,1.0,True,kWh,cycle,linear_interpolation,nearest,,,,
Reference Natural Gas Heat Pump  - Heating,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Natural Gas Heat Pump  - Cooling,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Electric Booster Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference LPG Cooktop/Stove,relative,58.0,,,,lpg fuel,1.0,,,,linear_interpolation,nearest,,,,
Incandescent Reflector,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
CFL Reflector,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
Halogen Reflector,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
LED Reflector,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
T-12 Linear Fluorescent,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
T-8 Linear Fluorescent,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
LED Linear Fluorescent,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
LED Exterior,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
HID Exterior,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
CFL Exterior,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
Incandescent Exterior,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
Reference Commercial Gas Furnace,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Gas Furnace,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Distillate Furnace,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Air Source Heat Pump - Cooling,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Gas Boiler,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Gas Boiler,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Distillate Boiler,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Distillate Boiler,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Air Source Heat Pump - Heating,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Air Source Heat Pump - Heating,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Air Source Heat Pump - Heating,absolute,,IECC Climate Zone,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,HDD_res_sq_ft
Reference Commercial Gas Heat Pump - Heating,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Air Source Heat Pump - Cooling,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Gas Heat Pump - Cooling,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Electric Resistance Heat,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Ground Source Heat Pump - Heating,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Ground Source Heat Pump - Heating,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Commercial Electric Boiler,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Ground Source Heat Pump -Cooling,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Ground Source Heat Pump - Cooling,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Scroll Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Scroll Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Screw Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Screw Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Reciprocating Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Reciprocating Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Centrifugal Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Centrifugal Chiller,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Rooftop Air Conditioner,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Rooftop Air Conditioner,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Wall/Room Air Conditioner,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Wall/Room Air Conditioner,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Central Air Conditioner,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Central Air Conditioner,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Gas Absorption Chiller,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Gas Engine-Driven Chiller,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Gas-Driven AC,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Constant Air Commercial Ventilation System,absolute,,us,,,electricity,1.0,True,kilocubic_foot,kiloBtu,linear_interpolation,nearest,,,,
High Efficiency Constant Air Commercial Ventilation System,absolute,,us,,,electricity,1.0,True,kilocubic_foot,kiloBtu,linear_interpolation,nearest,,,,
Reference Variable Air Commercial Ventilation System,absolute,,us,,,electricity,1.0,True,kilocubic_foot,kiloBtu,linear_interpolation,nearest,,,,
High Efficiency Variable Air Commercial Ventilation System,absolute,,us,,,electricity,1.0,True,kilocubic_foot,kiloBtu,linear_interpolation,nearest,,,,
"Range, Electric, 4 burner, oven, 11"" griddle",absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
"Range, Electric-induction, 4 burner, oven, 11"" griddle",absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
"Range, Gas, 4 burner, oven, 11"" griddle",absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
"Range, Gas, 4 powered burners, convect. oven, 11"" griddle",absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Supermarket Display Cases,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Supermarket Display Cases,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Compressor Rack Systems,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Compressor Rack Systems,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Condensers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Condensers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Walk-in Refrigerators,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Walk-in Refrigerators,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Commercial Walk-in Freezers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Commercial Walk-in Freezers,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
