demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,reference_tech_operation
High Efficiency Scroll Chiller (with flex cost),relative,108.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Wall/Room Air Conditioner (with flex cost),relative,118.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Central Air Conditioner (with flex cost),relative,119.0,us,,,,,,linear_interpolation,nearest,,add
Reference Screw Chiller (with flex cost),relative,109.0,us,,,,,,linear_interpolation,nearest,,add
Ductless Mini-Split Heat Pump - Heating (with flex cost),relative,425.0,us,,,,,,linear_interpolation,nearest,,add
Commercial Reference Heat Pump Storage Water Heater (with flex cost),relative,196.0,us,,,,,,linear_interpolation,nearest,,add
Commercial High Efficiency Heat Pump Storage Water Heater (with flex cost),relative,197.0,us,,,,,,linear_interpolation,nearest,,add
Commercial Electric Resistance Storage Water Heater (with flex cost),relative,204.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Air Source Heat Pump - Heating (with flex cost),relative,96.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Air Source Heat Pump - Heating (with flex cost),relative,97.0,us,,,,,,linear_interpolation,nearest,,add
Electric Resistance Heat (with flex cost),relative,101.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Ground Source Heat Pump - Heating (with flex cost),relative,102.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Ground Source Heat Pump - Heating (with flex cost),relative,103.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Screw Chiller (with flex cost),relative,110.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Central Air Conditioner (with flex cost),relative,120.0,us,,,,,,linear_interpolation,nearest,,add
Through-the-wall Heat Pump - Heating (with flex cost),relative,427.0,us,,,,,,linear_interpolation,nearest,,add
Reference Clothes Washer - Top Loading (with flex cost),relative,63.0,us,,,,,,linear_interpolation,nearest,,add
Reference Electric Clothes Dryer (with flex cost),relative,65.0,us,,,,,,linear_interpolation,nearest,,add
Battery Electric Medium-Duty Vehicle,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
PHEV - Gasoline - 25 mile range - Light Duty Truck,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Reference LPG Cooktop/Stove,relative,58.0,,,,,,False,linear_interpolation,nearest,,multiply
Reference Electric Furnace,absolute,65.0,us,,,USD,2015.0,False,linear_interpolation,nearest,,
Lamp: 100 Equivalent A19 Halogen,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: 100W Equivalent CFL Bare Spiral - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: Halogen Par 38,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: LED PAR 38 ,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: LED PAR 38 - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Low-Bay LFL: Mercury Vapor,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: T5 F28,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: T5 F28 2015 - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: T8 F32 High-efficiency/High-Output,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: T8 F32 Commodity,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
4ft LFL: T8 F32 Commodity - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
High-Bay LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: T8 F59 - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: T8 F59 HE - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
High-Bay LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: T8 F96 HO,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: T8 F96 HO - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Low-Bay LFL: LED Integrated Luminaire - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
High-Bay LFL: Mercury Vapor,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
High-Bay LFL: Metal Halide,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
High-Bay LFL: Sodium Vapor,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: 100W Equivalent LED A Lamp,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: 100W A19 Incandescent,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
High-Bay LFL: T5 4xF54 HO High Bay,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: Halogen Infrared Reflector (HIR)  PAR38,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: 100W Equivalent CFL Bare Spiral,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Lamp: 100W Equivalent LED A Lamp - High Efficiency,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: T8 F59,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
8ft LFL: T8 F59 HE,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Low-Bay LFL: LED Integrated Luminaire,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Low-Bay LFL: Metal Halide,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
Low-Bay LFL: Sodium Vapor,absolute,,us,building types,,USD,2013.0,False,linear_interpolation,nearest,,
LED High-Bay Lighting,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial High Output 8 ft. T8,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
LED Low-Bay Lighting Substitute,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial High Pressure Sodium High Bay,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Mercury Vapor Low-Bay Lighting,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference 4 ft. T12 ,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial General Service Incandescent Lamp,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial High Output T5 High - Bay Lighting,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial 4 ft. T8 w/ Occupance Sensor,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
LED 4 ft. Linear Fluorescent Substitute,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial 4 ft. T8 w/ Specular Reflector,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Halogen PAR38,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Metal Halide High Bay,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial High Pressure Sodium Low-Bay Lighting,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial 4 ft. T8 w/ Occupancy Sensor and Specular Reflector,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial 4 -ft T5,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Halogen Edison A-line Lamp,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial 8 ft. T8,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial 4 ft. T8,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial <4 ft. T8,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial 8 ft. T8,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial 4 Ft. T8,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Metal Halide Low-Bay Lighting,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
LED Edison Socket Substitute,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Halogen Infrared Reflector PAR38,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Mercury Vapor High Bay,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial 8 ft. T12,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Compact Fluorescent Lamp,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Electric Furnace (with flex cost),relative,1.0,us,,,,,,linear_interpolation,nearest,,add
Reference Industrial Natural Gas Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Natural Gas HVAC,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Industrial Air Source Heat Pump,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Industrial Air Source Heat Pump,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
