demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,reference_tech_operation
High Efficiency Gas Clothes Dryer,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Dishwasher,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Dishwasher,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Natural Gas Heat Pump  - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Natural Gas Heat Pump  - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Room Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Room Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Electric Booster Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Incandescent Reflector,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
CFL Reflector,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
Halogen Reflector,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
LED Reflector,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
T-12 Linear Fluorescent,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
T-8 Linear Fluorescent,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
LED Linear Fluorescent,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
LED Exterior,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
HID Exterior,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
CFL Exterior,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
Incandescent Exterior,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
Reference Commercial Gas Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Gas Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Distillate Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Air Source Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Gas Boiler,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Gas Boiler,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Distillate Boiler,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Distillate Boiler,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Air Source Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Air Source Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Gas Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Air Source Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Gas Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Electric Resistance Heat,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Ground Source Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Ground Source Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Commercial Electric Boiler,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Ground Source Heat Pump -Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Ground Source Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Scroll Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Scroll Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Screw Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Screw Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Reciprocating Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Reciprocating Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Centrifugal Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Centrifugal Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Rooftop Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Rooftop Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Wall/Room Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Wall/Room Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Central Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Commercial Central Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Gas Absorption Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Gas Engine-Driven Chiller,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Gas-Driven AC,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Constant Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Constant Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Variable Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Variable Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
"Range, Electric, 4 burner, oven, 11"" griddle",absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
"Range, Electric-induction, 4 burner, oven, 11"" griddle",absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
"Range, Gas, 4 burner, oven, 11"" griddle",absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
"Range, Gas, 4 powered burners, convect. oven, 11"" griddle",absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Supermarket Display Cases,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Supermarket Display Cases,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Commercial Compressor Rack Systems,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
