parent,gau,oth_1,oth_2,year,value,id
commercial space heating shell improvemment,us,,,2040,0.1,1
commercial space heating shell improvemment,us,,,2003,0.0,2
commercial space cooling shell improvement,us,,,2003,0.0,1038
commercial space cooling shell improvement,us,,,2040,0.1,1039
commercial water heating service demand calibration,us,,,2050,0.52,1041
commercial water heating service demand calibration,us,,,2017,0.28,1043
commercial water heating service demand calibration,california,,,2017,0.0,1044
commercial water heating service demand calibration,california,,,2015,0.0,1047
