currency_year_id,currency,value,id
1999,USD,166.6,1
2000,USD,172.2,2
2001,USD,177.1,3
2002,USD,179.9,4
2003,USD,184.0,5
2004,USD,188.9,6
2005,USD,195.3,7
2006,USD,201.6,8
2007,USD,207.3,9
2008,USD,215.303,10
2009,USD,214.537,11
2010,USD,218.056,12
2011,USD,224.939,13
2012,USD,229.594,14
2013,USD,232.957,15
2014,USD,236.736,16
2015,USD,237.017,17
2016,USD,240.007,18
