supply_tech,definition,geography,reference_tech_id,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay
gas combined cycle power plant with CCS,absolute,us,,linear_interpolation,nearest,,,
coal steam turbine power plant with CCS,absolute,us,,linear_interpolation,nearest,,,
coal IGCC with CCS power plant,absolute,us,,linear_interpolation,nearest,,,
H2 Natural Gas Reformation w/ccs,absolute,us,,linear_interpolation,nearest,,,
thermal biomass gasifier w/ccs,absolute,us,,linear_interpolation,nearest,,,
lignocellulosic anaerobic digester w/ccs,absolute,us,,linear_interpolation,nearest,,,
Fischer-Tropsch bio-diesel plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
Fast-pyrolysis bio-diesel plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
Hydrothermal liquefaction and hydrotreating w/ccs,absolute,us,,linear_interpolation,nearest,,,
Hydroprocessed Renewable Oil  Plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
coal steam turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
petroleum coke steam turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
gas combined cycle cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
gas steam turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
residual oil steam turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
fossil waste steam turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
biomass cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
landfill gas cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
municipal solid waste cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
gas combustion turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
distillate oil combustion turbine cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
coal steam turbine IPP cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
gas combined cycle IPP cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
gas combustion turbine IPP cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
gas steam turbine IPP cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
residual oil combustion turbine IPP cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
distillate oil combustion turbine IPP cogen power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
biomass cogen IPP power plant w/ccs,absolute,us,,linear_interpolation,nearest,,,
