name,supply_type,tradable_geography,is_active,is_curtailable,is_exportable,is_flexible,residual_supply_node,mean_lifetime,lifetime_variance,max_lifetime,min_lifetime,stock_decay_function,cost_of_capital,book_life,geography_map_key,shape,max_lag_hours,max_lead_hours,enforce_potential_constraint,overflow_node
Hydrogen Blend,Blend,,True,,1.0,,Hydrogen Gas Reformation Central Station,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Pipeline Gas Blend,Blend,,True,,1.0,,Natural Gas Blend,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Diesel Blend,Blend,,True,,1.0,,Refined Fossil Diesel Product,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Gasoline Blend,Blend,,True,,1.0,,Refined Fossil Gasoline Product,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Jet Fuel Blend,Blend,,True,,1.0,,Refined Fossil Jet Fuel Product,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Bulk Electricity Blend,Blend,,True,1.0,1.0,,Thermal Dispatch Blend,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
LPG Feedstocks,Blend,,True,,,,Refined Fossil LPG Product,,,,,,,,,,,,True,False
Onshore Wind,Conversion,state,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,onshore,,,True,False
Offshore Wind,Conversion,state,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,offshore,,,True,False
Rooftop Solar PV,Conversion,state,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,pv Rooftop,,,True,False
Distribution-Sited Solar PV,Conversion,state,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,pv Distribution-Sited,,,True,False
Transmission-Sited Solar PV,Conversion,state,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,pv Transmission-Sited,,,True,False
Nuclear Power Plants,Conversion,,True,0.0,,0.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Combined-Cycle Gas Turbines,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal Power Plants,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Combustion Turbines,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Geothermal Power Plants,Conversion,state,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Run of River Hydroelectric Power Plants,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,dispatchable hydro,,,True,False
Dispatchable Hydroelectric Power Plants,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,dispatchable hydro,,,True,False
Hydrogen Electrolysis - Central Station,Conversion,,True,1.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Hydrogen Gas Reformation Central Station,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Renewable Diesel Production Facilities,Conversion,,True,1.0,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Gas Compression and Fueling Stations,Conversion,census division,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Liquefied Gas Fueling Station,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Steam Production ,Conversion,state,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Power-to-Gas Production Facilities,Conversion,,True,,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Gasification Facilities,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Renewable Jet-Fuel Production Facilities,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Ethanol Production Facilities,Conversion,us,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Electricity Distribution Grid,Delivery,,True,1.0,,,,,,40.0,40.0,weibull,0.1,40.0,,,,,True,False
Electricity Transmission Grid,Delivery,,True,1.0,,,,,,40.0,40.0,weibull,0.1,40.0,,,,,True,False
Steam Blend,Blend,,True,,,,Steam Production ,,,,,,,,,,,,,False
Gas Distribution Pipeline,Delivery,,True,1.0,,,,,,40.0,40.0,weibull,0.1,40.0,,,,,True,False
Gas Transmission Pipeline,Delivery,census division,True,1.0,,,,,,40.0,40.0,weibull,0.1,40.0,,,,,True,False
Pipeline Gas Feedstocks,Blend,,True,,,,Gas Distribution Pipeline,,,,,,,,,,,,True,False
Uranium Import,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal Import,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coke Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Refined Fossil Diesel Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Refined Fossil Gasoline Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Refined Fossil Kerosene Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Refined Fossil Jet Fuel Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Refined Fossil LPG Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Lubricants Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Petroleum Coke Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Other Petroleum Import,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Demand Response,Conversion,,True,,,1.0,,,,25.0,25.0,,,,,,,,True,False
Still Gas Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Residual Fossil Fuel Oil Product,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Natural Gas Blend,Blend,,True,,1.0,,Natural Gas - International,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Hydro Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Geothermal Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal Primary - Domestic,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Wind Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Solar Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Primary - Herbaceous,Primary,us,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Natural Gas Primary - Domestic,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Bulk Electricity Storage,Storage,,True,1.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Distributed Storage,Storage,,True,,,,,,,,,,0.07,,,,,,True,False
Oil Blend,Blend,,True,,1.0,,Oil Primary - International,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Renewable Pipeline Gas Product,Import,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Primary - Domestic Pulping Liquors,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Oil Primary - Domestic,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Primary - International,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Oil Primary - International,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
