name,supply_type,tradable_geography,is_active,is_curtailable,is_exportable,is_flexible,residual_supply_node,mean_lifetime,lifetime_variance,max_lifetime,min_lifetime,stock_decay_function,cost_of_capital,book_life,geography_map_key,shape,max_lag_hours,max_lead_hours,enforce_potential_constraint,overflow_node
Petroleum Refineries,Conversion,PADD,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Primary - MSW/Manure,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Biomass - Wood,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Biomass Primary - Domestic Lipid,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Biomass Primary - Domestic Corn,Primary,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
Solar Thermal Hydrogen Production,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Pipeline Gas Liquefaction Facilities,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.07,25.0,,,,,True,False
Hydrogen Fueling Stations,Delivery,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Liquid Hydrogen Truck Delivery,Delivery,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Motor Gasoline End-Use Delivery,Delivery,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Diesel End-Use Delivery,Delivery,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Residual Fuel-Oil End-Use Delivery,Delivery,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal - End-Use Delivery,Delivery,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Anaerobic Digesters - Lignocellulosic ,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Anaerobic Digesters - Manure,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Fossil Steam Turbines,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Power Plants,Conversion,census division,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Natural Gas - International,Primary,us,True,1.0,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Petrochemical Feedstocks,Import,,True,,1.0,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Fuel Cell Power Plants,Conversion,,True,1.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Solar Thermal Power Plants,Conversion,,True,0.0,,,,,,25.0,25.0,weibull,0.1,25.0,,direct steam power tower,,,True,False
Distributed Electricity,Blend,,True,1.0,,,Electricity Distribution Grid,,,,,weibull,0.1,25.0,,,,,True,False
Ethanol Blend,Blend,,True,1.0,,1.0,Ethanol Product - International,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Ethanol Product - International,Import,us,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal Blend,Blend,,True,,,,Coal Primary - Domestic,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Asphalt Product,Import,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Biomass Boilers,Conversion,census division,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Uranium - Primary,Primary,,True,,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Combined-Cycle Gas Turbines with CCS,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal Power Plants with CCS,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Hydrogen Gas Reformation w/CCS,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Renewable Diesel Production Facilities w/CCS,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Wave Power Plants,Conversion,,True,,,,,,,,,,,,,Wave Power,,,True,False
Biomass Gasification Facilities w/CCS,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Hydro Quebec Dedicated Imports,Conversion,,True,0.0,,1.0,,,,25.0,25.0,weibull,0.1,25.0,,dispatchable hydro,,,True,False
Landfill Gas,Primary,us,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,False,False
IPP CHP,Conversion,state,True,0.0,1.0,,,,,,,,,,,,,,True,False
Cellulosic Ethanol,Conversion,,True,1.0,,,,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
Coal  - Rail Delivery,Delivery,us,True,1.0,,,,,,1.0,1.0,weibull,0.1,1.0,,,,,True,False
Thermal Dispatch Blend,Blend,,True,,,,Combustion Turbines,,,25.0,25.0,weibull,0.1,25.0,,,,,True,False
