demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,additional_description
Reference Commercial High Output T5 High - Bay Lighting,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial 4 ft. T8 w/ Occupance Sensor,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
LED 4 ft. Linear Fluorescent Substitute,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial 4 ft. T8 w/ Specular Reflector,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Halogen PAR38,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Metal Halide High Bay,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial High Pressure Sodium Low-Bay Lighting,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial 4 ft. T8 w/ Occupancy Sensor and Specular Reflector,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial 4 -ft T5,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Halogen Edison A-line Lamp,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial 8 ft. T8,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial 4 ft. T8,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial <4 ft. T8,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial 8 ft. T8,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial 4 Ft. T8,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Metal Halide Low-Bay Lighting,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
LED Edison Socket Substitute,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Halogen Infrared Reflector PAR38,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Mercury Vapor High Bay,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial 8 ft. T12,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Commercial Compact Fluorescent Lamp,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Electric Furnace (with flex cost),relative,1.0,,,,,,,,,,,
