demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,additional_description
Reference Reciprocating Chiller,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Reciprocating Chiller,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Centrifugal Chiller,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Centrifugal Chiller,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Rooftop Air Conditioner,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Rooftop Air Conditioner,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Wall/Room Air Conditioner,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Wall/Room Air Conditioner,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Central Air Conditioner,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Central Air Conditioner,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Gas Absorption Chiller,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Gas Engine-Driven Chiller,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Gas-Driven AC,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Constant Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Constant Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Variable Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Variable Air Commercial Ventilation System,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
"Range, Electric, 4 burner, oven, 11"" griddle",absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
"Range, Electric-induction, 4 burner, oven, 11"" griddle",absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
"Range, Gas, 4 burner, oven, 11"" griddle",absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
"Range, Gas, 4 powered burners, convect. oven, 11"" griddle",absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Supermarket Display Cases,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Supermarket Display Cases,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Compressor Rack Systems,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Compressor Rack Systems,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Condensers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Condensers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Walk-in Refrigerators,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Walk-in Refrigerators,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Walk-in Freezers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Walk-in Freezers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Reach-in Refrigerators,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Reach-in Refrigerators,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Reach-in Freezers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Reach-in Freezers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Ice-Machines,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Ice-Machines,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Beverage Merchandisers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
High Efficiency Commercial Beverage Merchandisers,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
Reference Commercial Refrigerated Vending Machines,absolute,,us,,,USD,2013.0,linear_interpolation,nearest,,,,
